"","date","BRPA"
"1","2017-12-04",9.6
"2","2017-12-05",9.6
"3","2017-12-06",9.6
"4","2017-12-07",9.64
"5","2017-12-08",9.66
"6","2017-12-11",9.68
"7","2017-12-12",9.68
"8","2017-12-13",9.68
"9","2017-12-14",9.7
"10","2017-12-15",9.75
"11","2017-12-18",9.7
"12","2017-12-19",9.7
"13","2017-12-20",9.7
"14","2017-12-21",9.666
"15","2017-12-22",9.68
"16","2017-12-26",9.68
"17","2017-12-27",9.74
"18","2017-12-28",9.68
"19","2017-12-29",9.68
"20","2018-01-02",9.69
"21","2018-01-03",9.73
"22","2018-01-04",9.73
"23","2018-01-05",9.7
"24","2018-01-08",9.7
"25","2018-01-09",9.68
"26","2018-01-10",9.68
"27","2018-01-11",9.68
"28","2018-01-12",9.68
"29","2018-01-16",9.68
"30","2018-01-17",9.68
"31","2018-01-18",9.68
"32","2018-01-19",9.68
"33","2018-01-22",9.68
"34","2018-01-23",9.68
"35","2018-01-24",9.68
"36","2018-01-25",9.7
"37","2018-01-26",9.7
"38","2018-01-29",9.7
"39","2018-01-30",9.72
"40","2018-01-31",9.72
"41","2018-02-01",9.72
"42","2018-02-02",9.72
"43","2018-02-05",9.74
"44","2018-02-06",9.74
"45","2018-02-07",9.74
"46","2018-02-08",9.74
"47","2018-02-09",9.75
"48","2018-02-12",9.8
"49","2018-02-13",9.8
"50","2018-02-14",9.8
"51","2018-02-15",9.8
"52","2018-02-16",9.8
"53","2018-02-20",9.765
"54","2018-02-21",9.76
"55","2018-02-22",9.76
"56","2018-02-23",9.76
"57","2018-02-26",9.77
"58","2018-02-27",9.83
"59","2018-02-28",9.79
"60","2018-03-01",9.86
"61","2018-03-02",9.86
"62","2018-03-05",9.86
"63","2018-03-06",9.86
"64","2018-03-07",9.86
"65","2018-03-08",9.86
"66","2018-03-09",9.86
"67","2018-03-12",9.86
"68","2018-03-13",9.86
"69","2018-03-14",9.86
"70","2018-03-15",9.86
"71","2018-03-16",9.75
"72","2018-03-19",9.75
"73","2018-03-20",9.75
"74","2018-03-21",9.77
"75","2018-03-22",9.76
"76","2018-03-23",9.82
"77","2018-03-26",9.82
"78","2018-03-27",9.82
"79","2018-03-28",9.82
"80","2018-03-29",9.82
"81","2018-04-02",9.78
"82","2018-04-03",9.83
"83","2018-04-04",9.83
"84","2018-04-05",9.83
"85","2018-04-06",9.83
"86","2018-04-09",9.83
"87","2018-04-10",9.84
"88","2018-04-11",9.83
"89","2018-04-12",9.83
"90","2018-04-13",9.81
"91","2018-04-16",9.81
"92","2018-04-17",9.81
"93","2018-04-18",9.81
"94","2018-04-19",9.82
"95","2018-04-20",9.85
"96","2018-04-23",9.85
"97","2018-04-24",9.85
"98","2018-04-25",9.85
"99","2018-04-26",9.85
"100","2018-04-27",9.85
"101","2018-04-30",9.85
"102","2018-05-01",9.85
"103","2018-05-02",9.85
"104","2018-05-03",9.85
"105","2018-05-04",9.85
"106","2018-05-07",9.85
"107","2018-05-08",9.85
"108","2018-05-09",9.85
"109","2018-05-10",9.85
"110","2018-05-11",9.85
"111","2018-05-14",9.85
"112","2018-05-15",9.85
"113","2018-05-16",9.85
"114","2018-05-17",9.85
"115","2018-05-18",9.85
"116","2018-05-21",9.9
"117","2018-05-22",9.9
"118","2018-05-23",9.9
"119","2018-05-24",9.9
"120","2018-05-25",9.9
"121","2018-05-29",9.9
"122","2018-05-30",9.86
"123","2018-05-31",9.87
"124","2018-06-01",9.87
"125","2018-06-04",9.87
"126","2018-06-05",9.9
"127","2018-06-06",9.9
"128","2018-06-07",9.9
"129","2018-06-08",9.93
"130","2018-06-11",9.93
"131","2018-06-12",9.93
"132","2018-06-13",9.89
"133","2018-06-14",9.89
"134","2018-06-15",9.89
"135","2018-06-18",9.92
"136","2018-06-19",9.92
"137","2018-06-20",9.92
"138","2018-06-21",9.91
"139","2018-06-22",9.91
"140","2018-06-25",9.91
"141","2018-06-26",9.91
"142","2018-06-27",9.91
"143","2018-06-28",9.91
"144","2018-06-29",9.91
"145","2018-07-02",9.91
"146","2018-07-03",9.91
"147","2018-07-05",9.91
"148","2018-07-06",9.91
"149","2018-07-09",9.91
"150","2018-07-10",9.91
"151","2018-07-11",9.91
"152","2018-07-12",9.91
"153","2018-07-13",9.91
"154","2018-07-16",9.91
"155","2018-07-17",9.91
"156","2018-07-18",9.955
"157","2018-07-19",9.955
"158","2018-07-20",9.94
"159","2018-07-23",9.94
"160","2018-07-24",9.94
"161","2018-07-25",9.94
"162","2018-07-26",9.96
"163","2018-07-27",9.96
"164","2018-07-30",9.96
"165","2018-07-31",9.96
"166","2018-08-01",9.95
"167","2018-08-02",9.95
"168","2018-08-03",9.95
"169","2018-08-06",9.92
"170","2018-08-07",9.92
"171","2018-08-08",9.92
"172","2018-08-09",9.91
"173","2018-08-10",9.91
"174","2018-08-13",9.91
"175","2018-08-14",9.91
"176","2018-08-15",9.91
"177","2018-08-16",9.91
"178","2018-08-17",9.91
"179","2018-08-20",9.91
"180","2018-08-21",9.91
"181","2018-08-22",9.91
"182","2018-08-23",9.91
"183","2018-08-24",9.91
"184","2018-08-27",9.91
"185","2018-08-28",9.91
"186","2018-08-29",9.91
"187","2018-08-30",9.91
"188","2018-08-31",9.91
"189","2018-09-04",9.91
"190","2018-09-05",9.91
"191","2018-09-06",9.91
"192","2018-09-07",9.91
"193","2018-09-10",9.95
"194","2018-09-11",9.96
"195","2018-09-12",9.96
"196","2018-09-13",9.96
"197","2018-09-14",10
"198","2018-09-17",10
"199","2018-09-18",10
"200","2018-09-19",10
"201","2018-09-20",10
"202","2018-09-21",9.98
"203","2018-09-24",9.98
"204","2018-09-25",10.01
"205","2018-09-26",10.01
"206","2018-09-27",10.01
"207","2018-09-28",10.01
"208","2018-10-01",10.01
"209","2018-10-02",10.01
"210","2018-10-03",10.01
"211","2018-10-04",10.01
"212","2018-10-05",10.04
"213","2018-10-08",10.04
"214","2018-10-09",10.02
"215","2018-10-10",10.02
"216","2018-10-11",10.02
"217","2018-10-12",10.05
"218","2018-10-15",10.02
"219","2018-10-16",10.02
"220","2018-10-17",10.02
"221","2018-10-18",10.02
"222","2018-10-19",10.02
"223","2018-10-22",10.02
"224","2018-10-23",10.02
"225","2018-10-24",10.02
"226","2018-10-25",10.02
"227","2018-10-26",10.02
"228","2018-10-29",10.02
"229","2018-10-30",10.02
"230","2018-10-31",10.1
"231","2018-11-01",10.1
"232","2018-11-02",10.1
"233","2018-11-05",10.1
"234","2018-11-06",10.1
"235","2018-11-07",10.1
"236","2018-11-08",10.1
"237","2018-11-09",10.1
"238","2018-11-12",10.08
"239","2018-11-13",10.1
"240","2018-11-14",10.1
"241","2018-11-15",10.15
"242","2018-11-16",10.15
"243","2018-11-19",10.15
"244","2018-11-20",10.15
"245","2018-11-21",10.15
"246","2018-11-23",10.15
"247","2018-11-26",10.115
"248","2018-11-27",10.115
"249","2018-11-28",10.1
"250","2018-11-29",10.1
"251","2018-11-30",10.12
"252","2018-12-03",10.12
"253","2018-12-04",10.12
"254","2018-12-06",10.12
"255","2018-12-07",10.12
"256","2018-12-10",10.12
"257","2018-12-11",10.14
"258","2018-12-12",10.14
"259","2018-12-13",10.14
"260","2018-12-14",10.14
"261","2018-12-17",10.14
"262","2018-12-18",10.12
"263","2018-12-19",10.12
"264","2018-12-20",10.14
"265","2018-12-21",10.18
"266","2018-12-24",10.2
"267","2018-12-26",10.2
"268","2018-12-27",10.2
"269","2018-12-28",10.2
"270","2018-12-31",10.2
