"","date","NRC"
"1","2013-05-23",20
"2","2013-05-24",20
"3","2013-05-28",20.059999
"4","2013-05-29",18.219999
"5","2013-05-30",16.74
"6","2013-05-31",16.35
"7","2013-06-03",15.5
"8","2013-06-04",13.28
"9","2013-06-05",12.46
"10","2013-06-06",12.87
"11","2013-06-07",13.69
"12","2013-06-10",14.17
"13","2013-06-11",13.69
"14","2013-06-12",14.14
"15","2013-06-13",14.43
"16","2013-06-14",14.34
"17","2013-06-17",13.56
"18","2013-06-18",15.47
"19","2013-06-19",16.66
"20","2013-06-20",18.4
"21","2013-06-21",16.85
"22","2013-06-24",16.09
"23","2013-06-25",16.15
"24","2013-06-26",16.73
"25","2013-06-27",17.32
"26","2013-06-28",18
"27","2013-07-01",17.18
"28","2013-07-02",16.799999
"29","2013-07-03",16.790001
"30","2013-07-05",17.25
"31","2013-07-08",16.92
"32","2013-07-09",17.08
"33","2013-07-10",17.110001
"34","2013-07-11",17.18
"35","2013-07-12",17.139999
"36","2013-07-15",17.58
"37","2013-07-16",17.809999
"38","2013-07-17",18
"39","2013-07-18",18.030001
"40","2013-07-19",18.1
"41","2013-07-22",17.889999
"42","2013-07-23",18.09
"43","2013-07-24",17.98
"44","2013-07-25",17.959999
"45","2013-07-26",17.950001
"46","2013-07-29",17.9
"47","2013-07-30",18
"48","2013-07-31",17.98
"49","2013-08-01",17.99
"50","2013-08-02",17.610001
"51","2013-08-05",17.799999
"52","2013-08-06",18.209999
"53","2013-08-07",17.969999
"54","2013-08-08",17.540001
"55","2013-08-09",17.75
"56","2013-08-12",17.41
"57","2013-08-13",17.51
"58","2013-08-14",17.360001
"59","2013-08-15",17.120001
"60","2013-08-16",16.32
"61","2013-08-19",16.23
"62","2013-08-20",16.360001
"63","2013-08-21",16.33
"64","2013-08-22",16.76
"65","2013-08-23",16.610001
"66","2013-08-26",16.629999
"67","2013-08-27",16.5
"68","2013-08-28",16.4
"69","2013-08-29",16.540001
"70","2013-08-30",16.389999
"71","2013-09-03",16.620001
"72","2013-09-04",16.879999
"73","2013-09-05",16.52
"74","2013-09-06",16.08
"75","2013-09-09",16.530001
"76","2013-09-10",16.299999
"77","2013-09-11",15.93
"78","2013-09-12",15.93
"79","2013-09-13",17.15
"80","2013-09-16",16.15
"81","2013-09-17",16.08
"82","2013-09-18",16.870001
"83","2013-09-19",16.620001
"84","2013-09-20",16.82
"85","2013-09-23",17.27
"86","2013-09-24",17.43
"87","2013-09-25",17.549999
"88","2013-09-26",17.77
"89","2013-09-27",18.02
"90","2013-09-30",18.83
"91","2013-10-01",18.639999
"92","2013-10-02",18.280001
"93","2013-10-03",18
"94","2013-10-04",18.049999
"95","2013-10-07",17.6
"96","2013-10-08",17.23
"97","2013-10-09",17.85
"98","2013-10-10",17.99
"99","2013-10-11",18
"100","2013-10-14",17.99
"101","2013-10-15",17.790001
"102","2013-10-16",17.959999
"103","2013-10-17",17.83
"104","2013-10-18",17.99
"105","2013-10-21",18.09
"106","2013-10-22",18.4
"107","2013-10-23",18.33
"108","2013-10-24",18.6
"109","2013-10-25",18.67
"110","2013-10-28",18.6
"111","2013-10-29",18.76
"112","2013-10-30",17.9
"113","2013-10-31",17.540001
"114","2013-11-01",16.959999
"115","2013-11-04",16.639999
"116","2013-11-05",16.709999
"117","2013-11-06",16.799999
"118","2013-11-07",16.139999
"119","2013-11-08",16.959999
"120","2013-11-11",16.379999
"121","2013-11-12",16.440001
"122","2013-11-13",16.41
"123","2013-11-14",16.030001
"124","2013-11-15",16.6
"125","2013-11-18",16.35
"126","2013-11-19",16.860001
"127","2013-11-20",17.09
"128","2013-11-21",17.48
"129","2013-11-22",17.299999
"130","2013-11-25",17.459999
"131","2013-11-26",18
"132","2013-11-27",18.67
"133","2013-11-29",18.309999
"134","2013-12-02",18.049999
"135","2013-12-03",17.780001
"136","2013-12-04",17.190001
"137","2013-12-05",16.75
"138","2013-12-06",17.23
"139","2013-12-09",17.41
"140","2013-12-10",16.83
"141","2013-12-11",16.57
"142","2013-12-12",16.16
"143","2013-12-13",16.540001
"144","2013-12-16",17.004999
"145","2013-12-17",17.48
"146","2013-12-18",17.99
"147","2013-12-19",17.33
"148","2013-12-20",17.58
"149","2013-12-23",17.82
"150","2013-12-24",18
"151","2013-12-26",18.15
"152","2013-12-27",18.16
"153","2013-12-30",18.309999
"154","2013-12-31",18.82
