"","date","GHM"
"1","2007-01-03",5.34
"2","2007-01-04",5.28
"3","2007-01-05",5.224
"4","2007-01-08",5.396
"5","2007-01-09",5.312
"6","2007-01-10",5.224
"7","2007-01-11",5.288
"8","2007-01-12",5.252
"9","2007-01-16",5.068
"10","2007-01-17",5.12
"11","2007-01-18",5.16
"12","2007-01-19",5.144
"13","2007-01-22",5.192
"14","2007-01-23",5.204
"15","2007-01-24",5.2
"16","2007-01-25",5.196
"17","2007-01-26",5.356
"18","2007-01-29",5.64
"19","2007-01-30",5.696
"20","2007-01-31",5.684
"21","2007-02-01",5.836
"22","2007-02-02",5.8
"23","2007-02-05",5.76
"24","2007-02-06",5.92
"25","2007-02-07",6.12
"26","2007-02-08",6.372
"27","2007-02-09",6.72
"28","2007-02-12",6.64
"29","2007-02-13",6.44
"30","2007-02-14",6.3
"31","2007-02-15",6.32
"32","2007-02-16",6.116
"33","2007-02-20",6.064
"34","2007-02-21",6.116
"35","2007-02-22",6.04
"36","2007-02-23",6.044
"37","2007-02-26",6.108
"38","2007-02-27",6.104
"39","2007-02-28",6.06
"40","2007-03-01",6.076
"41","2007-03-02",6.04
"42","2007-03-05",6.036
"43","2007-03-06",5.96
"44","2007-03-07",6.024
"45","2007-03-08",5.96
"46","2007-03-09",6.02
"47","2007-03-12",6.04
"48","2007-03-13",6
"49","2007-03-14",6.08
"50","2007-03-15",6.08
"51","2007-03-16",6.06
"52","2007-03-19",6.18
"53","2007-03-20",6.104
"54","2007-03-21",6.096
"55","2007-03-22",6.016
"56","2007-03-23",5.98
"57","2007-03-26",5.952
"58","2007-03-27",6.136
"59","2007-03-28",6.16
"60","2007-03-29",6.504
"61","2007-03-30",6.58
"62","2007-04-02",6.476
"63","2007-04-03",6.372
"64","2007-04-04",6.388
"65","2007-04-05",6.708
"66","2007-04-09",6.708
"67","2007-04-10",6.6
"68","2007-04-11",6.708
"69","2007-04-12",6.728
"70","2007-04-13",6.636
"71","2007-04-16",6.64
"72","2007-04-17",6.828
"73","2007-04-18",6.8
"74","2007-04-19",6.876
"75","2007-04-20",6.848
"76","2007-04-23",6.896
"77","2007-04-24",6.8
"78","2007-04-25",6.86
"79","2007-04-26",6.864
"80","2007-04-27",6.864
"81","2007-04-30",6.852
"82","2007-05-01",6.86
"83","2007-05-02",6.904
"84","2007-05-03",7.14
"85","2007-05-04",7.236
"86","2007-05-07",7.14
"87","2007-05-08",6.928
"88","2007-05-09",7.1
"89","2007-05-10",7.2
"90","2007-05-11",7.124
"91","2007-05-14",7.1
"92","2007-05-15",7.196
"93","2007-05-16",7.22
"94","2007-05-17",7.14
"95","2007-05-18",7.08
"96","2007-05-21",6.98
"97","2007-05-22",6.96
"98","2007-05-23",7.02
"99","2007-05-24",6.76
"100","2007-05-25",6.8
"101","2007-05-29",6.8
"102","2007-05-30",7.208
"103","2007-05-31",6.9
"104","2007-06-01",7.008
"105","2007-06-04",7.272
"106","2007-06-05",9.276
"107","2007-06-06",9.62
"108","2007-06-07",9.24
"109","2007-06-08",9.3
"110","2007-06-11",10.16
"111","2007-06-12",9.988
"112","2007-06-13",10.32
"113","2007-06-14",10.552
"114","2007-06-15",10.256
"115","2007-06-18",10.36
"116","2007-06-19",10.572
"117","2007-06-20",10.168
"118","2007-06-21",10.944
"119","2007-06-22",10.7
"120","2007-06-25",11
"121","2007-06-26",10.724
"122","2007-06-27",10.74
"123","2007-06-28",10.92
"124","2007-06-29",11.26
"125","2007-07-02",11.62
"126","2007-07-03",12.16
"127","2007-07-05",12.52
"128","2007-07-06",12.396
"129","2007-07-09",12.472
"130","2007-07-10",12.356
"131","2007-07-11",12.152
"132","2007-07-12",12.676
"133","2007-07-13",12.84
"134","2007-07-16",12.512
"135","2007-07-17",12
"136","2007-07-18",11.688
"137","2007-07-19",11.72
"138","2007-07-20",11.736
"139","2007-07-23",11.6
"140","2007-07-24",11.54
"141","2007-07-25",11.24
"142","2007-07-26",10.84
"143","2007-07-27",10.72
"144","2007-07-30",14.2
"145","2007-07-31",14.44
"146","2007-08-01",14.3
"147","2007-08-02",14.196
"148","2007-08-03",14.332
"149","2007-08-06",15.084
"150","2007-08-07",14.44
"151","2007-08-08",14.28
"152","2007-08-09",13.4
"153","2007-08-10",12.7
"154","2007-08-13",12.76
"155","2007-08-14",12.48
"156","2007-08-15",12.52
"157","2007-08-16",12.332
"158","2007-08-17",12.728
"159","2007-08-20",12.72
"160","2007-08-21",13.14
"161","2007-08-22",14.092
"162","2007-08-23",13.956
"163","2007-08-24",14.424
"164","2007-08-27",14.504
"165","2007-08-28",14.368
"166","2007-08-29",14.5
"167","2007-08-30",14.624
"168","2007-08-31",14.52
"169","2007-09-04",15.82
"170","2007-09-05",15.732
"171","2007-09-06",16.4
"172","2007-09-07",16.299999
"173","2007-09-10",16.84
"174","2007-09-11",17.139999
"175","2007-09-12",17.68
"176","2007-09-13",17.028
"177","2007-09-14",17.068001
"178","2007-09-17",17.1
"179","2007-09-18",17.632
"180","2007-09-19",18
"181","2007-09-20",18
"182","2007-09-21",17.6
"183","2007-09-24",16.964001
"184","2007-09-25",16.684
"185","2007-09-26",15.6
"186","2007-09-27",16.5
"187","2007-09-28",16.444
"188","2007-10-01",17.26
"189","2007-10-02",17.608
"190","2007-10-03",16.68
"191","2007-10-04",16
"192","2007-10-05",16.936001
"193","2007-10-08",17.492001
"194","2007-10-09",17.996
"195","2007-10-10",18.164
"196","2007-10-11",17.368
"197","2007-10-12",18.552
"198","2007-10-15",18.708
"199","2007-10-16",18.299999
"200","2007-10-17",19.392
"201","2007-10-18",19.452
"202","2007-10-19",18.823999
"203","2007-10-22",18.76
"204","2007-10-23",19.200001
"205","2007-10-24",19.016001
"206","2007-10-25",18.24
"207","2007-10-26",23.299999
"208","2007-10-29",25
"209","2007-10-30",24.299999
"210","2007-10-31",26.416
"211","2007-11-01",25.695999
"212","2007-11-02",25.288
"213","2007-11-05",25.120001
"214","2007-11-06",26.459999
"215","2007-11-07",25.719999
"216","2007-11-08",24.156
"217","2007-11-09",21.656
"218","2007-11-12",21.200001
"219","2007-11-13",23.719999
"220","2007-11-14",24.864
"221","2007-11-15",23.628
"222","2007-11-16",23.700001
"223","2007-11-19",22.799999
"224","2007-11-20",22.368
"225","2007-11-21",23.5
"226","2007-11-23",25.200001
"227","2007-11-26",26.375999
"228","2007-11-27",26.056
"229","2007-11-28",26.700001
"230","2007-11-29",27.700001
"231","2007-11-30",28
"232","2007-12-03",29
"233","2007-12-04",28.6
"234","2007-12-05",28.780001
"235","2007-12-06",29.416
"236","2007-12-07",29
"237","2007-12-10",29.784
"238","2007-12-11",28.275999
"239","2007-12-12",26.695999
"240","2007-12-13",24.68
"241","2007-12-14",24
"242","2007-12-17",21.82
"243","2007-12-18",22.26
"244","2007-12-19",22.58
"245","2007-12-20",21.5
"246","2007-12-21",21.6
"247","2007-12-24",22.879999
"248","2007-12-26",22.412001
"249","2007-12-27",20.74
"250","2007-12-28",20.243999
"251","2007-12-31",20.959999
"252","2008-01-02",22.4
"253","2008-01-03",24.9
"254","2008-01-04",24.209999
"255","2008-01-07",23.49
"256","2008-01-08",23.195
"257","2008-01-09",22.174999
"258","2008-01-10",23.674999
"259","2008-01-11",22.485001
"260","2008-01-14",23.15
"261","2008-01-15",22.5
"262","2008-01-16",20.5
"263","2008-01-17",18.68
"264","2008-01-18",19.4
"265","2008-01-22",19.975
"266","2008-01-23",19.389999
"267","2008-01-24",21.275
"268","2008-01-25",21.325001
"269","2008-01-28",17.424999
"270","2008-01-29",15
"271","2008-01-30",15.515
"272","2008-01-31",15.725
"273","2008-02-01",17.025
"274","2008-02-04",16.450001
"275","2008-02-05",16
"276","2008-02-06",17
"277","2008-02-07",16.215
"278","2008-02-08",16
"279","2008-02-11",17.639999
"280","2008-02-12",16.5
"281","2008-02-13",16.969999
"282","2008-02-14",17.075001
"283","2008-02-15",16.264999
"284","2008-02-19",17.67
"285","2008-02-20",17.5
"286","2008-02-21",17.299999
"287","2008-02-22",17.025
"288","2008-02-25",18
"289","2008-02-26",18.754999
"290","2008-02-27",18.75
"291","2008-02-28",18.995001
"292","2008-02-29",19.24
"293","2008-03-03",17.815001
"294","2008-03-04",18.334999
"295","2008-03-05",18.98
"296","2008-03-06",18.83
"297","2008-03-07",18.459999
"298","2008-03-10",17.17
"299","2008-03-11",18.465
"300","2008-03-12",17.605
"301","2008-03-13",18.389999
"302","2008-03-14",18.299999
"303","2008-03-17",17.254999
"304","2008-03-18",18.205
"305","2008-03-19",17.049999
"306","2008-03-20",17.25
"307","2008-03-24",17.514999
"308","2008-03-25",18.165001
"309","2008-03-26",17.995001
"310","2008-03-27",17.93
"311","2008-03-28",17.485001
"312","2008-03-31",17.805
"313","2008-04-01",17.99
"314","2008-04-02",18
"315","2008-04-03",22.610001
"316","2008-04-04",24.395
"317","2008-04-07",25.43
"318","2008-04-08",25.49
"319","2008-04-09",25.135
"320","2008-04-10",25.625
"321","2008-04-11",25.645
"322","2008-04-14",23.549999
"323","2008-04-15",25.42
"324","2008-04-16",26
"325","2008-04-17",25.775
"326","2008-04-18",26.690001
"327","2008-04-21",27.32
"328","2008-04-22",27.49
"329","2008-04-23",27.514999
"330","2008-04-24",27.4
"331","2008-04-25",28.950001
"332","2008-04-28",29.475
"333","2008-04-29",28.535
"334","2008-04-30",28.59
"335","2008-05-01",29.115
"336","2008-05-02",31.35
"337","2008-05-05",27.57
"338","2008-05-06",30.525
"339","2008-05-07",28.75
"340","2008-05-08",30.745001
"341","2008-05-09",30.42
"342","2008-05-12",31.120001
"343","2008-05-13",32.474998
"344","2008-05-14",32.095001
"345","2008-05-15",33.125
"346","2008-05-16",33.275002
"347","2008-05-19",34.615002
"348","2008-05-20",34.650002
"349","2008-05-21",31.049999
"350","2008-05-22",30.375
"351","2008-05-23",28.299999
"352","2008-05-27",30.4
"353","2008-05-28",31.75
"354","2008-05-29",30.875
"355","2008-05-30",34.220001
"356","2008-06-02",35.994999
"357","2008-06-03",37.490002
"358","2008-06-04",37.064999
"359","2008-06-05",38.25
"360","2008-06-06",37.25
"361","2008-06-09",36.689999
"362","2008-06-10",34.514999
"363","2008-06-11",34.875
"364","2008-06-12",33.5
"365","2008-06-13",34.134998
"366","2008-06-16",35.404999
"367","2008-06-17",37.525002
"368","2008-06-18",37.404999
"369","2008-06-19",37.185001
"370","2008-06-20",35.825001
"371","2008-06-23",36.810001
"372","2008-06-24",35.465
"373","2008-06-25",33.875
"374","2008-06-26",33.625
"375","2008-06-27",34.91
"376","2008-06-30",37.055
"377","2008-07-01",38.165001
"378","2008-07-02",36.110001
"379","2008-07-03",34.775002
"380","2008-07-07",36.889999
"381","2008-07-08",37.275002
