"","date","RGR"
"1","2007-01-03",9.6
"2","2007-01-04",9.3
"3","2007-01-05",9.38
"4","2007-01-08",9.78
"5","2007-01-09",9.82
"6","2007-01-10",10
"7","2007-01-11",9.68
"8","2007-01-12",9.5
"9","2007-01-16",9.44
"10","2007-01-17",9.24
"11","2007-01-18",9.45
"12","2007-01-19",9.68
"13","2007-01-22",9.62
"14","2007-01-23",9.87
"15","2007-01-24",9.8
"16","2007-01-25",9.91
"17","2007-01-26",10
"18","2007-01-29",10.65
"19","2007-01-30",10.35
"20","2007-01-31",10.41
"21","2007-02-01",10.64
"22","2007-02-02",10.48
"23","2007-02-05",10.35
"24","2007-02-06",10.64
"25","2007-02-07",10.64
"26","2007-02-08",10.63
"27","2007-02-09",10.36
"28","2007-02-12",10.29
"29","2007-02-13",10.07
"30","2007-02-14",9.91
"31","2007-02-15",10.02
"32","2007-02-16",10.38
"33","2007-02-20",10.76
"34","2007-02-21",11
"35","2007-02-22",10.98
"36","2007-02-23",11.06
"37","2007-02-26",10.99
"38","2007-02-27",10.61
"39","2007-02-28",10.51
"40","2007-03-01",10.5
"41","2007-03-02",10.19
"42","2007-03-05",10.09
"43","2007-03-06",10.45
"44","2007-03-07",10.92
"45","2007-03-08",11.16
"46","2007-03-09",11.46
"47","2007-03-12",11.48
"48","2007-03-13",11.96
"49","2007-03-14",12.01
"50","2007-03-15",12.48
"51","2007-03-16",12.36
"52","2007-03-19",12.3
"53","2007-03-20",12.97
"54","2007-03-21",12.55
"55","2007-03-22",12.87
"56","2007-03-23",13.01
"57","2007-03-26",13.14
"58","2007-03-27",13.2
"59","2007-03-28",13.4
"60","2007-03-29",13.55
"61","2007-03-30",13.45
"62","2007-04-02",13.64
"63","2007-04-03",13.62
"64","2007-04-04",13.51
"65","2007-04-05",13.63
"66","2007-04-09",13.7
"67","2007-04-10",12.75
"68","2007-04-11",12.51
"69","2007-04-12",12.23
"70","2007-04-13",12.28
"71","2007-04-16",12.29
"72","2007-04-17",12.14
"73","2007-04-18",12.17
"74","2007-04-19",11.89
"75","2007-04-20",12.09
"76","2007-04-23",12.05
"77","2007-04-24",13.39
"78","2007-04-25",13.11
"79","2007-04-26",13
"80","2007-04-27",12.95
"81","2007-04-30",12.91
"82","2007-05-01",13
"83","2007-05-02",13.53
"84","2007-05-03",13.72
"85","2007-05-04",13.61
"86","2007-05-07",13.37
"87","2007-05-08",13.18
"88","2007-05-09",13.19
"89","2007-05-10",13.34
"90","2007-05-11",13.41
"91","2007-05-14",13.42
"92","2007-05-15",13.07
"93","2007-05-16",13.17
"94","2007-05-17",13.24
"95","2007-05-18",13.23
"96","2007-05-21",12.85
"97","2007-05-22",12.7
"98","2007-05-23",13.21
"99","2007-05-24",13.51
"100","2007-05-25",13.56
"101","2007-05-29",13.85
"102","2007-05-30",13.7
"103","2007-05-31",13.87
"104","2007-06-01",14.04
"105","2007-06-04",14.7
"106","2007-06-05",14.33
"107","2007-06-06",14.56
"108","2007-06-07",14.26
"109","2007-06-08",14.22
"110","2007-06-11",14.39
"111","2007-06-12",14.26
"112","2007-06-13",14.46
"113","2007-06-14",14.78
"114","2007-06-15",14.91
"115","2007-06-18",14.92
"116","2007-06-19",15.15
"117","2007-06-20",14.98
"118","2007-06-21",15
"119","2007-06-22",14.56
"120","2007-06-25",14.59
"121","2007-06-26",15.05
"122","2007-06-27",15.42
"123","2007-06-28",15.63
"124","2007-06-29",15.52
"125","2007-07-02",15.83
"126","2007-07-03",15.87
"127","2007-07-05",15.64
"128","2007-07-06",15.94
"129","2007-07-09",16.02
"130","2007-07-10",15.87
"131","2007-07-11",15.8
"132","2007-07-12",16.190001
"133","2007-07-13",16.049999
"134","2007-07-16",16.07
"135","2007-07-17",16.41
"136","2007-07-18",16.559999
"137","2007-07-19",16.51
"138","2007-07-20",16.66
"139","2007-07-23",16.93
"140","2007-07-24",16.860001
"141","2007-07-25",18.549999
"142","2007-07-26",18.85
"143","2007-07-27",19.34
"144","2007-07-30",19.83
"145","2007-07-31",19.530001
"146","2007-08-01",20.370001
"147","2007-08-02",20.780001
"148","2007-08-03",20.370001
"149","2007-08-06",21.889999
"150","2007-08-07",22.26
"151","2007-08-08",16.719999
"152","2007-08-09",14.55
"153","2007-08-10",16.77
"154","2007-08-13",17.219999
"155","2007-08-14",17.190001
"156","2007-08-15",17.209999
"157","2007-08-16",17.940001
"158","2007-08-17",17.33
"159","2007-08-20",17.530001
"160","2007-08-21",17.940001
"161","2007-08-22",18.290001
"162","2007-08-23",18.91
"163","2007-08-24",19.33
"164","2007-08-27",18.700001
"165","2007-08-28",18.190001
"166","2007-08-29",18.57
"167","2007-08-30",18.879999
"168","2007-08-31",18.24
"169","2007-09-04",17.74
"170","2007-09-05",17.33
"171","2007-09-06",17.35
"172","2007-09-07",16.67
"173","2007-09-10",16.4
"174","2007-09-11",16.940001
"175","2007-09-12",17.110001
"176","2007-09-13",17.35
"177","2007-09-14",17.309999
"178","2007-09-17",17.450001
"179","2007-09-18",18.35
"180","2007-09-19",19.48
"181","2007-09-20",19.41
"182","2007-09-21",19.309999
"183","2007-09-24",18.66
"184","2007-09-25",18.530001
"185","2007-09-26",18.25
"186","2007-09-27",18.43
"187","2007-09-28",17.91
"188","2007-10-01",18.15
"189","2007-10-02",18.57
"190","2007-10-03",18.469999
"191","2007-10-04",18.450001
"192","2007-10-05",18.51
"193","2007-10-08",18.35
"194","2007-10-09",18.190001
"195","2007-10-10",18.030001
"196","2007-10-11",18
"197","2007-10-12",18.219999
"198","2007-10-15",18.07
"199","2007-10-16",18.120001
"200","2007-10-17",18.09
"201","2007-10-18",17.469999
"202","2007-10-19",16.860001
"203","2007-10-22",17.17
"204","2007-10-23",17.530001
"205","2007-10-24",17.1
"206","2007-10-25",10.65
"207","2007-10-26",10.58
"208","2007-10-29",9.65
"209","2007-10-30",9.36
"210","2007-10-31",9.35
"211","2007-11-01",8.56
"212","2007-11-02",8.4
"213","2007-11-05",8.05
"214","2007-11-06",7.95
"215","2007-11-07",7.4
"216","2007-11-08",7.88
"217","2007-11-09",8.01
"218","2007-11-12",8.37
"219","2007-11-13",8.79
"220","2007-11-14",8.61
"221","2007-11-15",8.54
"222","2007-11-16",8.73
"223","2007-11-19",8.8
"224","2007-11-20",8.38
"225","2007-11-21",8.86
"226","2007-11-23",9.37
"227","2007-11-26",8.95
"228","2007-11-27",9.93
"229","2007-11-28",9.72
"230","2007-11-29",9.25
"231","2007-11-30",9.25
"232","2007-12-03",8.76
"233","2007-12-04",8.32
"234","2007-12-05",8.35
"235","2007-12-06",8.44
"236","2007-12-07",8.3
"237","2007-12-10",8.53
"238","2007-12-11",8.24
"239","2007-12-12",8.3
"240","2007-12-13",8.35
"241","2007-12-14",8.28
"242","2007-12-17",8.27
"243","2007-12-18",8.6
"244","2007-12-19",8.34
"245","2007-12-20",8.35
"246","2007-12-21",8.91
"247","2007-12-24",9.12
"248","2007-12-26",9.72
"249","2007-12-27",9.07
"250","2007-12-28",8.43
"251","2007-12-31",8.28
"252","2008-01-02",8.38
"253","2008-01-03",8.01
"254","2008-01-04",8.11
"255","2008-01-07",8.57
"256","2008-01-08",7.76
"257","2008-01-09",7.93
"258","2008-01-10",7.59
"259","2008-01-11",7.7
"260","2008-01-14",7.7
"261","2008-01-15",7.46
"262","2008-01-16",8.15
"263","2008-01-17",7.95
"264","2008-01-18",8.1
"265","2008-01-22",7.51
"266","2008-01-23",8.2
"267","2008-01-24",7.93
"268","2008-01-25",8.2
"269","2008-01-28",8.3
"270","2008-01-29",8.28
"271","2008-01-30",8.36
"272","2008-01-31",9
"273","2008-02-01",8.95
"274","2008-02-04",8.44
"275","2008-02-05",7.97
"276","2008-02-06",8.01
"277","2008-02-07",8.1
"278","2008-02-08",7.6
"279","2008-02-11",8.84
"280","2008-02-12",8.55
"281","2008-02-13",9.08
