"","date","CVEO"
"190","2015-02-18",48.599998
"191","2015-02-19",46.200001
"192","2015-02-20",44.400002
"193","2015-02-23",44.279999
"194","2015-02-24",45.360001
"195","2015-02-25",45.360001
"196","2015-02-26",45.119999
"197","2015-02-27",47.279999
"198","2015-03-02",45.720001
"199","2015-03-03",45.240002
"200","2015-03-04",44.400002
"201","2015-03-05",44.16
"202","2015-03-06",43.68
"203","2015-03-09",41.16
"204","2015-03-10",40.439999
"205","2015-03-11",41.16
"206","2015-03-12",42.240002
"207","2015-03-13",35.040001
"208","2015-03-16",32.759998
"209","2015-03-17",30.360001
"210","2015-03-18",30
"211","2015-03-19",28.92
"212","2015-03-20",28.92
"213","2015-03-23",31.08
"214","2015-03-24",31.559999
"215","2015-03-25",31.559999
"216","2015-03-26",31.08
"217","2015-03-27",30.719999
"218","2015-03-30",30.360001
"219","2015-03-31",30.48
"220","2015-04-01",33.119999
"221","2015-04-02",35.040001
"222","2015-04-06",37.439999
"223","2015-04-07",38.639999
"224","2015-04-08",39.48
"225","2015-04-09",40.439999
"226","2015-04-10",41.759998
"227","2015-04-13",42.119999
"228","2015-04-14",43.439999
"229","2015-04-15",48
"230","2015-04-16",46.32
"231","2015-04-17",43.200001
"232","2015-04-20",42.720001
"233","2015-04-21",40.68
"234","2015-04-22",39.599998
"235","2015-04-23",41.880001
"236","2015-04-24",41.16
"237","2015-04-27",41.639999
"238","2015-04-28",45.84
"239","2015-04-29",47.16
"240","2015-04-30",56.040001
"241","2015-05-01",54
"242","2015-05-04",55.68
"243","2015-05-05",57.599998
"244","2015-05-06",56.16
"245","2015-05-07",53.16
"246","2015-05-08",54.599998
"247","2015-05-11",55.32
"248","2015-05-12",54.240002
"249","2015-05-13",54.240002
"250","2015-05-14",53.52
"251","2015-05-15",52.200001
"252","2015-05-18",52.439999
"253","2015-05-19",47.639999
"254","2015-05-20",47.639999
"255","2015-05-21",48.48
"256","2015-05-22",48.360001
"257","2015-05-26",47.880001
"258","2015-05-27",47.400002
"259","2015-05-28",46.080002
"260","2015-05-29",48
"261","2015-06-01",45.119999
"262","2015-06-02",46.32
"263","2015-06-03",45.240002
"264","2015-06-04",44.639999
"265","2015-06-05",45.240002
"266","2015-06-08",42.720001
"267","2015-06-09",41.279999
"268","2015-06-10",43.32
"269","2015-06-11",41.759998
"270","2015-06-12",40.919998
"271","2015-06-15",42.119999
"272","2015-06-16",40.799999
"273","2015-06-17",40.799999
"274","2015-06-18",41.400002
"275","2015-06-19",42.119999
"276","2015-06-22",41.759998
"277","2015-06-23",41.52
"278","2015-06-24",40.560001
"279","2015-06-25",37.799999
"280","2015-06-26",38.880001
"281","2015-06-29",36.48
"282","2015-06-30",36.84
"283","2015-07-01",34.32
"284","2015-07-02",35.279999
"285","2015-07-06",33.599998
"286","2015-07-07",34.799999
"287","2015-07-08",36
"288","2015-07-09",36.240002
"289","2015-07-10",34.439999
"290","2015-07-13",34.439999
"291","2015-07-14",34.68
"292","2015-07-15",32.880001
"293","2015-07-16",33.240002
"294","2015-07-17",31.92
"295","2015-07-20",28.799999
"296","2015-07-21",28.68
"297","2015-07-22",26.040001
"298","2015-07-23",27
"299","2015-07-24",24.24
"300","2015-07-27",22.440001
"301","2015-07-28",19.92
"302","2015-07-29",22.32
"303","2015-07-30",21.959999
"304","2015-07-31",25.68
"305","2015-08-03",22.200001
"306","2015-08-04",23.040001
"307","2015-08-05",23.280001
"308","2015-08-06",24
"309","2015-08-07",22.799999
"310","2015-08-10",23.16
"311","2015-08-11",21.719999
"312","2015-08-12",20.639999
"313","2015-08-13",19.799999
"314","2015-08-14",18.959999
"315","2015-08-17",17.4
"316","2015-08-18",17.280001
"317","2015-08-19",15.48
"318","2015-08-20",15.24
"319","2015-08-21",15.36
"320","2015-08-24",14.64
"321","2015-08-25",15
"322","2015-08-26",17.639999
"323","2015-08-27",18.6
"324","2015-08-28",21.48
"325","2015-08-31",23.4
"326","2015-09-01",22.32
"327","2015-09-02",24
"328","2015-09-03",25.200001
"329","2015-09-04",24.48
"330","2015-09-08",22.32
"331","2015-09-09",20.639999
"332","2015-09-10",22.68
"333","2015-09-11",20.879999
"334","2015-09-14",21.360001
"335","2015-09-15",21.6
"336","2015-09-16",23.280001
"337","2015-09-17",22.200001
"338","2015-09-18",21.719999
"339","2015-09-21",21.48
"340","2015-09-22",21.360001
"341","2015-09-23",20.040001
"342","2015-09-24",20.4
"343","2015-09-25",21.24
"344","2015-09-28",19.200001
"345","2015-09-29",18.24
"346","2015-09-30",17.76
"347","2015-10-01",16.92
