"","date","ZCMD"
"1","2020-02-25",4.03
"2","2020-02-26",4.13
"3","2020-02-27",3.9
"4","2020-02-28",3.91
"5","2020-03-02",3.6
"6","2020-03-03",3.48
"7","2020-03-04",3.5
"8","2020-03-05",3.21
"9","2020-03-06",2.91
"10","2020-03-09",2.27
"11","2020-03-10",2.32
"12","2020-03-11",2.33
"13","2020-03-12",2.361
"14","2020-03-13",2.35
"15","2020-03-16",2.33
"16","2020-03-17",2.46
"17","2020-03-18",2.2
"18","2020-03-19",2.28
"19","2020-03-20",2.09
"20","2020-03-23",2.37
"21","2020-03-24",2.22
"22","2020-03-25",2.42
"23","2020-03-26",2.4
"24","2020-03-27",2.412
"25","2020-03-30",2.28
"26","2020-03-31",2.45
"27","2020-04-01",2.21
"28","2020-04-02",2.35
"29","2020-04-03",2.38
"30","2020-04-06",2.4
"31","2020-04-07",2.35
"32","2020-04-08",2.38
"33","2020-04-09",2.4
"34","2020-04-13",2.38
"35","2020-04-14",2.31
"36","2020-04-15",2.4
"37","2020-04-16",2.34
"38","2020-04-17",2.36
"39","2020-04-20",2.38
"40","2020-04-21",2.3
"41","2020-04-22",2.3
"42","2020-04-23",2.368
"43","2020-04-24",2.42
"44","2020-04-27",2.3
"45","2020-04-28",2.4
"46","2020-04-29",2.234
"47","2020-04-30",2.24
"48","2020-05-01",2.25
"49","2020-05-04",2.19
"50","2020-05-05",2.1
"51","2020-05-06",2.09
"52","2020-05-07",2.055
"53","2020-05-08",2.06
"54","2020-05-11",2.08
"55","2020-05-12",2.025
"56","2020-05-13",2.075
"57","2020-05-14",2.07
"58","2020-05-15",2.01
"59","2020-05-18",1.85
"60","2020-05-19",2
"61","2020-05-20",1.91
"62","2020-05-21",1.87
"63","2020-05-22",1.95
"64","2020-05-26",1.83
"65","2020-05-27",1.79
"66","2020-05-28",1.86
"67","2020-05-29",2.1
"68","2020-06-01",2.19
"69","2020-06-02",2.2
"70","2020-06-03",2.375
"71","2020-06-04",2.39
"72","2020-06-05",2.43
"73","2020-06-08",2.65
"74","2020-06-09",2.39
"75","2020-06-10",2.43
"76","2020-06-11",2.2
"77","2020-06-12",2.24
"78","2020-06-15",2.21
"79","2020-06-16",2.19
"80","2020-06-17",2.18
"81","2020-06-18",2.18
"82","2020-06-19",2.18
"83","2020-06-22",2.22
"84","2020-06-23",2.29
"85","2020-06-24",2.2
"86","2020-06-25",2.24
"87","2020-06-26",2.19
"88","2020-06-29",2.16
"89","2020-06-30",2.18
"90","2020-07-01",2.19
"91","2020-07-02",2.16
"92","2020-07-06",2.28
"93","2020-07-07",2.28
"94","2020-07-08",2.28
"95","2020-07-09",2.27
"96","2020-07-10",2.34
"97","2020-07-13",2.425
"98","2020-07-14",2.46
"99","2020-07-15",2.51
"100","2020-07-16",2.52
"101","2020-07-17",2.5
"102","2020-07-20",2.55
"103","2020-07-21",2.5
"104","2020-07-22",2.54
"105","2020-07-23",2.55
"106","2020-07-24",2.5
"107","2020-07-27",2.48
"108","2020-07-28",2.34
"109","2020-07-29",2.332
"110","2020-07-30",2.32
"111","2020-07-31",2.41
"112","2020-08-03",2.4
"113","2020-08-04",2.85
"114","2020-08-05",2.44
"115","2020-08-06",2.43
"116","2020-08-07",2.34
"117","2020-08-10",2.31
"118","2020-08-11",2.26
"119","2020-08-12",2.16
"120","2020-08-13",2.18
"121","2020-08-14",2.22
"122","2020-08-17",2.11
"123","2020-08-18",2.17
"124","2020-08-19",2.18
"125","2020-08-20",2.24
"126","2020-08-21",2.195
"127","2020-08-24",2.18
"128","2020-08-25",2.22
"129","2020-08-26",2.15
"130","2020-08-27",2.11
"131","2020-08-28",2.08
"132","2020-08-31",2.03
"133","2020-09-01",1.93
"134","2020-09-02",1.87
"135","2020-09-03",1.82
"136","2020-09-04",1.72
"137","2020-09-08",1.71
"138","2020-09-09",1.75
"139","2020-09-10",1.734
"140","2020-09-11",1.74
"141","2020-09-14",1.78
"142","2020-09-15",1.77
"143","2020-09-16",1.82
"144","2020-09-17",1.775
"145","2020-09-18",1.76
"146","2020-09-21",1.74
"147","2020-09-22",1.77
"148","2020-09-23",1.75
"149","2020-09-24",1.77
"150","2020-09-25",1.75
"151","2020-09-28",1.74
"152","2020-09-29",1.74
"153","2020-09-30",1.724
"154","2020-10-01",1.715
"155","2020-10-02",1.7
"156","2020-10-05",1.7
"157","2020-10-06",1.73
"158","2020-10-07",1.72
"159","2020-10-08",1.82
"160","2020-10-09",1.74
"161","2020-10-12",1.73
"162","2020-10-13",1.71
"163","2020-10-14",1.756
"164","2020-10-15",1.71
"165","2020-10-16",1.73
"166","2020-10-19",1.81
"167","2020-10-20",1.92
"168","2020-10-21",1.86
"169","2020-10-22",1.905
"170","2020-10-23",1.89
"171","2020-10-26",1.94
"172","2020-10-27",1.9
"173","2020-10-28",1.8
"174","2020-10-29",1.825
"175","2020-10-30",1.71
"176","2020-11-02",1.78
"177","2020-11-03",1.76
"178","2020-11-04",1.79
"179","2020-11-05",1.9
"180","2020-11-06",1.86
"181","2020-11-09",1.82
"182","2020-11-10",1.82
"183","2020-11-11",1.88
"184","2020-11-12",2.15
"185","2020-11-13",2.02
"186","2020-11-16",1.89
"187","2020-11-17",1.8
"188","2020-11-18",1.77
"189","2020-11-19",1.76
"190","2020-11-20",1.84
"191","2020-11-23",1.82
"192","2020-11-24",1.82
"193","2020-11-25",1.82
"194","2020-11-27",1.83
