"","date","NSYS"
"1","2007-01-03",7.69
"2","2007-01-04",7.55
"3","2007-01-05",7.51
"4","2007-01-08",7.51
"5","2007-01-09",7.51
"6","2007-01-10",7.51
"7","2007-01-11",7.73
"8","2007-01-12",7.65
"9","2007-01-16",7.64
"10","2007-01-17",7.51
"11","2007-01-18",7.6
"12","2007-01-19",7.6
"13","2007-01-22",7.72
"14","2007-01-23",7.75
"15","2007-01-24",7.75
"16","2007-01-25",7.75
"17","2007-01-26",7.75
"18","2007-01-29",7.85
"19","2007-01-30",7.8
"20","2007-01-31",7.99
"21","2007-02-01",7.99
"22","2007-02-02",7.85
"23","2007-02-05",7.9
"24","2007-02-06",7.99
"25","2007-02-07",8.04
"26","2007-02-08",7.95
"27","2007-02-09",8.05
"28","2007-02-12",8.05
"29","2007-02-13",7.72
"30","2007-02-14",7.72
"31","2007-02-15",7.9
"32","2007-02-16",7.9
"33","2007-02-20",7.63
"34","2007-02-21",7.98
"35","2007-02-22",8.48
"36","2007-02-23",8.07
"37","2007-02-26",7.9
"38","2007-02-27",7.66
"39","2007-02-28",7.7
"40","2007-03-01",7.7
"41","2007-03-02",7.91
"42","2007-03-05",7.75
"43","2007-03-06",8.12
"44","2007-03-07",8.26
"45","2007-03-08",8.05
"46","2007-03-09",8.2
"47","2007-03-12",8.36
"48","2007-03-13",8.36
"49","2007-03-14",8.1
"50","2007-03-15",8.2
"51","2007-03-16",8.1
"52","2007-03-19",8.14
"53","2007-03-20",8.14
"54","2007-03-21",8.1
"55","2007-03-22",8.11
"56","2007-03-23",8.14
"57","2007-03-26",8.13
"58","2007-03-27",8.2
"59","2007-03-28",8.2
"60","2007-03-29",8.26
"61","2007-03-30",8.2
"62","2007-04-02",8.32
"63","2007-04-03",8.32
"64","2007-04-04",8.32
"65","2007-04-05",8.11
"66","2007-04-09",8.12
"67","2007-04-10",8.12
"68","2007-04-11",8
"69","2007-04-12",8
"70","2007-04-13",7.93
"71","2007-04-16",8.03
"72","2007-04-17",8.05
"73","2007-04-18",8.04
"74","2007-04-19",8.04
"75","2007-04-20",8.04
"76","2007-04-23",8.04
"77","2007-04-24",8.37
"78","2007-04-25",8.25
"79","2007-04-26",8.25
"80","2007-04-27",8.07
"81","2007-04-30",8.07
"82","2007-05-01",8.07
"83","2007-05-02",8.31
"84","2007-05-03",8.02
"85","2007-05-04",8.26
"86","2007-05-07",8.03
"87","2007-05-08",8.59
"88","2007-05-09",8.2
"89","2007-05-10",8.2
"90","2007-05-11",8.26
"91","2007-05-14",8.12
"92","2007-05-15",8.34
"93","2007-05-16",8.11
"94","2007-05-17",8.06
"95","2007-05-18",8.01
"96","2007-05-21",8.01
"97","2007-05-22",7.97
"98","2007-05-23",8.19
"99","2007-05-24",7.72
"100","2007-05-25",7.75
"101","2007-05-29",7.75
"102","2007-05-30",8.14
"103","2007-05-31",8.23
"104","2007-06-01",8.02
"105","2007-06-04",7.75
"106","2007-06-05",7.98
"107","2007-06-06",7.8
"108","2007-06-07",7.58
"109","2007-06-08",7.66
"110","2007-06-11",7.16
"111","2007-06-12",7.03
"112","2007-06-13",7.48
"113","2007-06-14",7.6
"114","2007-06-15",7.6
"115","2007-06-18",7.83
"116","2007-06-19",8.02
"117","2007-06-20",7.7
"118","2007-06-21",7.75
"119","2007-06-22",7.75
"120","2007-06-25",7.75
"121","2007-06-26",7.29
"122","2007-06-27",7.2
"123","2007-06-28",7.2
"124","2007-06-29",7.42
"125","2007-07-02",7.72
"126","2007-07-03",8.08
"127","2007-07-05",8.08
"128","2007-07-06",8.08
"129","2007-07-09",7.72
"130","2007-07-10",7.75
"131","2007-07-11",7.5
"132","2007-07-12",8.09
"133","2007-07-13",8.15
"134","2007-07-16",8.15
"135","2007-07-17",8.15
"136","2007-07-18",8.1
"137","2007-07-19",8.16
"138","2007-07-20",8.05
"139","2007-07-23",8
"140","2007-07-24",7.76
"141","2007-07-25",8
"142","2007-07-26",7.66
"143","2007-07-27",7.69
"144","2007-07-30",7.61
"145","2007-07-31",7.62
"146","2007-08-01",7.98
"147","2007-08-02",7.98
"148","2007-08-03",7.98
"149","2007-08-06",7.98
"150","2007-08-07",7.89
"151","2007-08-08",7.52
"152","2007-08-09",7.37
"153","2007-08-10",7.51
"154","2007-08-13",7.66
"155","2007-08-14",7.17
"156","2007-08-15",7.39
"157","2007-08-16",7.39
"158","2007-08-17",7.35
"159","2007-08-20",7.85
"160","2007-08-21",7.49
"161","2007-08-22",7.47
"162","2007-08-23",7.47
"163","2007-08-24",7.85
"164","2007-08-27",8.09
"165","2007-08-28",8.09
"166","2007-08-29",7.9
"167","2007-08-30",7.69
"168","2007-08-31",7.54
"169","2007-09-04",7.54
"170","2007-09-05",7.54
"171","2007-09-06",7.4
"172","2007-09-07",7.75
"173","2007-09-10",7.25
"174","2007-09-11",7.49
"175","2007-09-12",7.49
"176","2007-09-13",7.49
"177","2007-09-14",7.15
"178","2007-09-17",7.5
"179","2007-09-18",7.64
"180","2007-09-19",7.5
"181","2007-09-20",7.5
"182","2007-09-21",7.5
"183","2007-09-24",7.49
"184","2007-09-25",7.25
"185","2007-09-26",7.19
"186","2007-09-27",7.2
"187","2007-09-28",7.2
"188","2007-10-01",7.49
"189","2007-10-02",7.49
