"","date","VBTX"
"1","2014-10-09",13.95
"2","2014-10-10",14.89
"3","2014-10-13",14.5
"4","2014-10-14",13.66
"5","2014-10-15",13.8
"6","2014-10-16",13.65
"7","2014-10-17",13.7
"8","2014-10-20",13.65
"9","2014-10-21",13.8
"10","2014-10-22",13.77
"11","2014-10-23",13.75
"12","2014-10-24",13.68
"13","2014-10-27",13.75
"14","2014-10-28",13.79
"15","2014-10-29",13.96
"16","2014-10-30",13.75
"17","2014-10-31",13.98
"18","2014-11-03",13.9
"19","2014-11-04",14.5
"20","2014-11-05",14.5
"21","2014-11-06",15.02
"22","2014-11-07",15.08
"23","2014-11-10",14.6
"24","2014-11-11",14.99
"25","2014-11-12",14.89
"26","2014-11-13",14.9
"27","2014-11-14",14.89
"28","2014-11-17",14.95
"29","2014-11-18",15.22
"30","2014-11-19",15.45
"31","2014-11-20",15.925
"32","2014-11-21",15.43
"33","2014-11-24",16.440001
"34","2014-11-25",16.219999
"35","2014-11-26",15.89
"36","2014-11-28",15.98
"37","2014-12-01",15.43
"38","2014-12-02",15.61
"39","2014-12-03",15.76
"40","2014-12-04",15.16
"41","2014-12-05",15.36
"42","2014-12-08",15.1
"43","2014-12-09",15.44
"44","2014-12-10",14.51
"45","2014-12-11",14.93
"46","2014-12-12",14.69
"47","2014-12-15",14.7
"48","2014-12-16",14.26
"49","2014-12-17",14.1
"50","2014-12-18",14.12
"51","2014-12-19",12.86
"52","2014-12-22",14.26
"53","2014-12-23",14.25
"54","2014-12-24",14.01
"55","2014-12-26",13.76
"56","2014-12-29",13.77
"57","2014-12-30",14.13
"58","2014-12-31",14.17
"59","2015-01-02",14.37
"60","2015-01-05",13.82
"61","2015-01-06",14.03
"62","2015-01-07",13.95
"63","2015-01-08",14.2
"64","2015-01-09",14.09
"65","2015-01-12",13.99
"66","2015-01-13",13.52
"67","2015-01-14",13.75
"68","2015-01-15",13.3
"69","2015-01-16",13.32
"70","2015-01-20",13
"71","2015-01-21",13
"72","2015-01-22",13.25
"73","2015-01-23",13.37
"74","2015-01-26",13.27
"75","2015-01-27",12.88
"76","2015-01-28",13.17
"77","2015-01-29",13.08
"78","2015-01-30",13.15
"79","2015-02-02",13.24
"80","2015-02-03",13.3
"81","2015-02-04",13.44
"82","2015-02-05",14.18
"83","2015-02-06",14.7
"84","2015-02-09",14.37
"85","2015-02-10",14.72
"86","2015-02-11",14.48
"87","2015-02-12",14.14
"88","2015-02-13",14.45
"89","2015-02-17",14.26
"90","2015-02-18",13.9
"91","2015-02-19",13.96
"92","2015-02-20",14.2
"93","2015-02-23",13.88
"94","2015-02-24",14.21
"95","2015-02-25",14.33
"96","2015-02-26",14.01
"97","2015-02-27",14.11
"98","2015-03-02",14.27
"99","2015-03-03",13.83
"100","2015-03-04",14.35
"101","2015-03-05",13.87
"102","2015-03-06",13.9
"103","2015-03-09",13.63
"104","2015-03-10",13.77
"105","2015-03-11",13.975
