"","date","ITRM"
"1","2018-05-25",12.85
"2","2018-05-29",12.24
"3","2018-05-30",12.15
"4","2018-05-31",11.44
"5","2018-06-01",12.24
"6","2018-06-04",12.16
"7","2018-06-05",12.1
"8","2018-06-06",12.06
"9","2018-06-07",12
"10","2018-06-08",12.11
"11","2018-06-11",12
"12","2018-06-12",12.2
"13","2018-06-13",12.2
"14","2018-06-14",12.25
"15","2018-06-15",12.25
"16","2018-06-18",12
"17","2018-06-19",12.35
"18","2018-06-20",12.3
"19","2018-06-21",12
"20","2018-06-22",12.17
"21","2018-06-25",12.11
"22","2018-06-26",12.07
"23","2018-06-27",11.5
"24","2018-06-28",11.5
"25","2018-06-29",10.67
"26","2018-07-02",9.85
"27","2018-07-03",9.96
"28","2018-07-05",9.34
"29","2018-07-06",8.77
"30","2018-07-09",8.65
"31","2018-07-10",8.45
"32","2018-07-11",8.3
"33","2018-07-12",8.64
"34","2018-07-13",8.84
"35","2018-07-16",8.55
"36","2018-07-17",8.785
"37","2018-07-18",8.35
"38","2018-07-19",8.37
"39","2018-07-20",8.37
"40","2018-07-23",8.45
"41","2018-07-24",8.83
"42","2018-07-25",8.36
"43","2018-07-26",8.35
"44","2018-07-27",9.21
"45","2018-07-30",8.914
"46","2018-07-31",9.29
"47","2018-08-01",9.05
"48","2018-08-02",8.6
"49","2018-08-03",8.62
"50","2018-08-06",8.55
"51","2018-08-07",8.52
"52","2018-08-08",8.53
"53","2018-08-09",8.88
"54","2018-08-10",8.785
"55","2018-08-13",8.567
"56","2018-08-14",8.605
"57","2018-08-15",8.4
"58","2018-08-16",8.67
"59","2018-08-17",8.7
"60","2018-08-20",8.95
"61","2018-08-21",9.23
"62","2018-08-22",9.5
"63","2018-08-23",10
"64","2018-08-24",10.05
"65","2018-08-27",10.055
"66","2018-08-28",10.125
"67","2018-08-29",10.4
"68","2018-08-30",10.18
"69","2018-08-31",10.06
"70","2018-09-04",9.4
"71","2018-09-05",9.45
"72","2018-09-06",9.14
"73","2018-09-07",9.4
"74","2018-09-10",8.41
"75","2018-09-11",8.41
"76","2018-09-12",9.06
"77","2018-09-13",8.91
"78","2018-09-14",8.69
"79","2018-09-17",8.55
"80","2018-09-18",8.57
"81","2018-09-19",8.26
"82","2018-09-20",6.87
"83","2018-09-21",7.49
"84","2018-09-24",6.71
"85","2018-09-25",6.33
"86","2018-09-26",6.24
"87","2018-09-27",6.4
"88","2018-09-28",6.625
"89","2018-10-01",6.76
"90","2018-10-02",6.8
"91","2018-10-03",7.28
"92","2018-10-04",6.75
"93","2018-10-05",6.68
"94","2018-10-08",6.6
"95","2018-10-09",6.72
"96","2018-10-10",6.1
"97","2018-10-11",6.38
"98","2018-10-12",6.4
"99","2018-10-15",6.14
"100","2018-10-16",5.95
"101","2018-10-17",6.1
"102","2018-10-18",6.49
"103","2018-10-19",6.33
"104","2018-10-22",5.77
"105","2018-10-23",5.85
"106","2018-10-24",5.75
"107","2018-10-25",6.2
"108","2018-10-26",6.24
"109","2018-10-29",6
"110","2018-10-30",6.23
"111","2018-10-31",6.095
"112","2018-11-01",6.07
"113","2018-11-02",6.05
"114","2018-11-05",6.02
"115","2018-11-06",5.82
"116","2018-11-07",6.02
"117","2018-11-08",5.94
"118","2018-11-09",5.74
"119","2018-11-12",5.75
"120","2018-11-13",5.93
"121","2018-11-14",5.31
"122","2018-11-15",5.7
"123","2018-11-16",5.81
"124","2018-11-19",5.34
"125","2018-11-20",5.69
"126","2018-11-21",6.2
"127","2018-11-23",6.035
"128","2018-11-26",6.44
"129","2018-11-27",6.53
"130","2018-11-28",6.49
"131","2018-11-29",6.41
"132","2018-11-30",6.27
"133","2018-12-03",5.96
"134","2018-12-04",7.06
"135","2018-12-06",7.47
"136","2018-12-07",7.9
"137","2018-12-10",7.741
"138","2018-12-11",7.4
"139","2018-12-12",7.38
"140","2018-12-13",7.55
"141","2018-12-14",7.28
"142","2018-12-17",7.459
"143","2018-12-18",7.22
"144","2018-12-19",7
"145","2018-12-20",6.39
"146","2018-12-21",5.38
"147","2018-12-24",5.34
"148","2018-12-26",5.68
"149","2018-12-27",5.621
"150","2018-12-28",5.5
"151","2018-12-31",5.01
"152","2019-01-02",5.75
"153","2019-01-03",5.5
"154","2019-01-04",6
"155","2019-01-07",5.69
"156","2019-01-08",5.836
"157","2019-01-09",5.74
"158","2019-01-10",5.86
"159","2019-01-11",6.08
"160","2019-01-14",5.73
"161","2019-01-15",5.77
"162","2019-01-16",5.85
"163","2019-01-17",5.911
"164","2019-01-18",5.95
"165","2019-01-22",6.44
"166","2019-01-23",6.76
"167","2019-01-24",6.72
"168","2019-01-25",6.85
"169","2019-01-28",6.85
"170","2019-01-29",6.29
"171","2019-01-30",6.73
"172","2019-01-31",6.14
"173","2019-02-01",6.5
"174","2019-02-04",6.26
"175","2019-02-05",6.3
"176","2019-02-06",6.405
"177","2019-02-07",6.24
"178","2019-02-08",6.02
"179","2019-02-11",6.11
"180","2019-02-12",6
"181","2019-02-13",6
"182","2019-02-14",6
"183","2019-02-15",5.8
"184","2019-02-19",5.815
"185","2019-02-20",5.783
"186","2019-02-21",5.78
"187","2019-02-22",5.61
"188","2019-02-25",5.5
"189","2019-02-26",5.43
"190","2019-02-27",5.66
"191","2019-02-28",5.67
"192","2019-03-01",5.54
"193","2019-03-04",5.425
"194","2019-03-05",5.36
"195","2019-03-06",5.38
"196","2019-03-07",5.21
"197","2019-03-08",5.02
"198","2019-03-11",4.88
"199","2019-03-12",4.99
"200","2019-03-13",4.9
"201","2019-03-14",5.16
"202","2019-03-15",5.42
"203","2019-03-18",5.6
"204","2019-03-19",6.9
"205","2019-03-20",6.8
"206","2019-03-21",7.6
"207","2019-03-22",7.27
"208","2019-03-25",8.01
"209","2019-03-26",8.171
"210","2019-03-27",8
"211","2019-03-28",8.107
"212","2019-03-29",7.922
"213","2019-04-01",8.05
"214","2019-04-02",8.584
"215","2019-04-03",8.55
"216","2019-04-04",8.36
"217","2019-04-05",9.1
"218","2019-04-08",8.63
"219","2019-04-09",9.084
"220","2019-04-10",9.1
"221","2019-04-11",8.7
"222","2019-04-12",8.868
"223","2019-04-15",8.54
"224","2019-04-16",8.502
"225","2019-04-17",8.53
"226","2019-04-18",8.18
"227","2019-04-22",8.18
"228","2019-04-23",8.163
"229","2019-04-24",8.11
"230","2019-04-25",8.1
"231","2019-04-26",8.08
"232","2019-04-29",8.02
"233","2019-04-30",8.1
"234","2019-05-01",8.03
"235","2019-05-02",7.4
"236","2019-05-03",7.26
"237","2019-05-06",7.36
"238","2019-05-07",7.31
"239","2019-05-08",7.8
"240","2019-05-09",7.31
"241","2019-05-10",7.01
"242","2019-05-13",7.01
"243","2019-05-14",7.25
"244","2019-05-15",7.2
"245","2019-05-16",7.34
"246","2019-05-17",7.08
"247","2019-05-20",7.03
"248","2019-05-21",7.05
"249","2019-05-22",6.51
"250","2019-05-23",6.3
"251","2019-05-24",6.26
"252","2019-05-28",6.749
"253","2019-05-29",6.749
"254","2019-05-30",6.749
"255","2019-05-31",6.26
"256","2019-06-03",6.092
"257","2019-06-04",6.26
"258","2019-06-05",7.13
"259","2019-06-06",7.13
"260","2019-06-07",6.45
"261","2019-06-10",6.95
"262","2019-06-11",6.72
"263","2019-06-12",6.85
"264","2019-06-13",6.741
"265","2019-06-14",7.38
"266","2019-06-17",7.06
"267","2019-06-18",6.8
"268","2019-06-19",6.48
"269","2019-06-20",6.6
"270","2019-06-21",6.76
"271","2019-06-24",6.75
"272","2019-06-25",6.09
"273","2019-06-26",6.25
"274","2019-06-27",6.527
"275","2019-06-28",6.88
"276","2019-07-01",6.35
"277","2019-07-02",6.521
"278","2019-07-03",6.64
"279","2019-07-05",6.64
"280","2019-07-08",6.52
"281","2019-07-09",6.55
"282","2019-07-10",6.502
"283","2019-07-11",6.47
"284","2019-07-12",6.638
"285","2019-07-15",6.72
"286","2019-07-16",6.49
"287","2019-07-17",6.5
"288","2019-07-18",6.68
"289","2019-07-19",6.68
"290","2019-07-22",6.663
"291","2019-07-23",6.46
"292","2019-07-24",6.523
"293","2019-07-25",6.37
"294","2019-07-26",6.5
"295","2019-07-29",6.45
"296","2019-07-30",6.58
"297","2019-07-31",6.55
"298","2019-08-01",6.59
"299","2019-08-02",6.58
"300","2019-08-05",6.6
"301","2019-08-06",6.5
"302","2019-08-07",6.5
"303","2019-08-08",6.78
"304","2019-08-09",6.8
"305","2019-08-12",6.92
"306","2019-08-13",7.65
"307","2019-08-14",6.805
"308","2019-08-15",6.7
"309","2019-08-16",6.76
"310","2019-08-19",6.85
"311","2019-08-20",6.7
"312","2019-08-21",6.49
"313","2019-08-22",6.43
"314","2019-08-23",6.41
"315","2019-08-26",6.39
"316","2019-08-27",6.28
"317","2019-08-28",6.23
"318","2019-08-29",6.28
"319","2019-08-30",6.251
"320","2019-09-03",6.259
"321","2019-09-04",6.273
"322","2019-09-05",6.13
"323","2019-09-06",6.96
"324","2019-09-09",6.34
"325","2019-09-10",6.287
"326","2019-09-11",6.261
"327","2019-09-12",6.75
"328","2019-09-13",6.25
"329","2019-09-16",6.45
"330","2019-09-17",6.49
"331","2019-09-18",6.41
"332","2019-09-19",6.31
"333","2019-09-20",6.3
"334","2019-09-23",6.31
"335","2019-09-24",6.2
"336","2019-09-25",6.261
"337","2019-09-26",6.09
"338","2019-09-27",5.96
"339","2019-09-30",5.77
"340","2019-10-01",5.953
"341","2019-10-02",5.99
"342","2019-10-03",5.7
"343","2019-10-04",5.08
"344","2019-10-07",4.8
"345","2019-10-08",4.58
"346","2019-10-09",4.3
"347","2019-10-10",4.49
"348","2019-10-11",4.33
"349","2019-10-14",3.88
"350","2019-10-15",3.91
"351","2019-10-16",3.95
"352","2019-10-17",3.96
"353","2019-10-18",3.36
"354","2019-10-21",3.66
"355","2019-10-22",3.6
"356","2019-10-23",3.53
"357","2019-10-24",3.5
"358","2019-10-25",3.48
"359","2019-10-28",3.49
"360","2019-10-29",3.5
"361","2019-10-30",2.89
"362","2019-10-31",2.7
"363","2019-11-01",2.75
"364","2019-11-04",2.73
"365","2019-11-05",2.81
"366","2019-11-06",2.62
"367","2019-11-07",2.23
"368","2019-11-08",2.5
"369","2019-11-11",2.3
"370","2019-11-12",2.43
"371","2019-11-13",2.413
"372","2019-11-14",2.14
"373","2019-11-15",2.24
"374","2019-11-18",2.374
"375","2019-11-19",2.16
"376","2019-11-20",2.07
"377","2019-11-21",1.7
"378","2019-11-22",1.94
"379","2019-11-25",1.94
"380","2019-11-26",2.1
"381","2019-11-27",2.295
"382","2019-11-29",2.389
"383","2019-12-02",2.62
"384","2019-12-03",3.15
"385","2019-12-04",2.75
"386","2019-12-05",3.55
"387","2019-12-06",3.28
"388","2019-12-09",3.98
"389","2019-12-10",4.85
"390","2019-12-11",3.12
"391","2019-12-12",2.9
"392","2019-12-13",2.88
"393","2019-12-16",2.66
"394","2019-12-17",2.36
"395","2019-12-18",2.41
"396","2019-12-19",2.89
"397","2019-12-20",2.658
"398","2019-12-23",2.54
"399","2019-12-24",2.49
"400","2019-12-26",2.43
"401","2019-12-27",4.75
"402","2019-12-30",4.63
"403","2019-12-31",4.5
"404","2020-01-02",4.36
"405","2020-01-03",4.38
"406","2020-01-06",4.54
"407","2020-01-07",4.56
"408","2020-01-08",4.5
"409","2020-01-09",4.29
"410","2020-01-10",4.02
"411","2020-01-13",4.02
"412","2020-01-14",4.03
"413","2020-01-15",4.37
"414","2020-01-16",4.46
"415","2020-01-17",3.3
