"","date","THCBU"
"1","2019-03-05",10.12
"2","2019-03-06",10.15
"3","2019-03-07",10.11
"4","2019-03-08",10.15
"5","2019-03-11",10.168
"6","2019-03-12",10.18
"7","2019-03-13",10.182
"8","2019-03-14",10.16
"9","2019-03-15",10.17
"10","2019-03-18",10.18
"11","2019-03-19",10.19
"12","2019-03-20",10.2
"13","2019-03-21",10.2
"14","2019-03-22",10.2
"15","2019-03-25",10.19
"16","2019-03-26",10.24
"17","2019-03-27",10.36
"18","2019-03-28",10.4
"19","2019-03-29",10.428
"20","2019-04-01",10.44
"21","2019-04-02",10.45
"22","2019-04-03",10.49
"23","2019-04-04",10.45
"24","2019-04-05",10.45
"25","2019-04-08",10.45
"26","2019-04-09",10.45
"27","2019-04-10",10.45
"28","2019-04-11",10.444
"29","2019-04-12",10.45
"30","2019-04-15",10.5
"31","2019-04-16",10.5
"32","2019-04-17",10.5
"33","2019-04-18",10.5
"34","2019-04-22",10.49
"35","2019-04-23",10.5
"36","2019-04-24",10.5
"37","2019-04-25",10.52
"38","2019-04-26",10.504
"39","2019-04-29",10.52
"40","2019-04-30",10.52
"41","2019-05-01",10.55
"42","2019-05-02",10.552
"43","2019-05-03",10.54
"44","2019-05-06",10.54
"45","2019-05-07",10.54
"46","2019-05-08",10.52
"47","2019-05-09",10.52
"48","2019-05-10",10.52
"49","2019-05-13",10.52
"50","2019-05-14",10.52
"51","2019-05-15",10.52
"52","2019-05-16",10.52
"53","2019-05-17",10.52
"54","2019-05-20",10.52
"55","2019-05-21",10.52
"56","2019-05-22",10.52
"57","2019-05-23",10.5
"58","2019-05-24",10.5
"59","2019-05-28",10.484
"60","2019-05-29",10.59
"61","2019-05-30",10.59
"62","2019-05-31",10.51
"63","2019-06-03",10.49
"64","2019-06-04",10.49
"65","2019-06-05",10.47
"66","2019-06-06",10.47
"67","2019-06-07",10.48
"68","2019-06-10",10.48
"69","2019-06-11",10.48
"70","2019-06-12",10.49
"71","2019-06-13",10.49
"72","2019-06-14",10.45
"73","2019-06-17",10.5
"74","2019-06-18",10.539
"75","2019-06-19",10.507
"76","2019-06-20",10.52
"77","2019-06-21",10.55
"78","2019-06-24",10.56
"79","2019-06-25",10.55
"80","2019-06-26",10.56
"81","2019-06-27",10.55
"82","2019-06-28",10.6
"83","2019-07-01",10.6
"84","2019-07-02",10.76
"85","2019-07-03",10.75
"86","2019-07-05",10.75
"87","2019-07-08",10.73
"88","2019-07-09",10.75
"89","2019-07-10",10.77
"90","2019-07-11",10.75
"91","2019-07-12",10.78
"92","2019-07-15",10.786
"93","2019-07-16",10.78
"94","2019-07-17",10.77
"95","2019-07-18",10.788
"96","2019-07-19",10.788
"97","2019-07-22",10.7
"98","2019-07-23",10.7
"99","2019-07-24",10.7
"100","2019-07-25",10.75
"101","2019-07-26",10.76
"102","2019-07-29",10.74
"103","2019-07-30",10.74
"104","2019-07-31",10.743
"105","2019-08-01",10.74
"106","2019-08-02",10.74
"107","2019-08-05",10.73
"108","2019-08-06",10.72
"109","2019-08-07",10.73
"110","2019-08-08",10.73
"111","2019-08-09",10.714
"112","2019-08-12",10.71
"113","2019-08-13",10.7
"114","2019-08-14",10.7
"115","2019-08-15",10.68
"116","2019-08-16",10.68
"117","2019-08-19",10.703
"118","2019-08-20",10.703
"119","2019-08-21",10.75
"120","2019-08-22",10.75
"121","2019-08-23",10.69
"122","2019-08-26",10.69
"123","2019-08-27",10.69
"124","2019-08-28",10.779
"125","2019-08-29",10.74
"126","2019-08-30",10.74
"127","2019-09-03",10.74
"128","2019-09-04",10.735
"129","2019-09-05",10.743
"130","2019-09-06",10.8
"131","2019-09-09",10.78
"132","2019-09-10",10.78
"133","2019-09-11",10.7
"134","2019-09-12",10.7
"135","2019-09-13",10.7
"136","2019-09-16",10.65
"137","2019-09-17",10.69
"138","2019-09-18",10.69
"139","2019-09-19",10.69
"140","2019-09-20",10.69
"141","2019-09-23",10.69
"142","2019-09-24",10.692
"143","2019-09-25",10.58
"144","2019-09-26",10.58
"145","2019-09-27",10.69
"146","2019-09-30",10.69
"147","2019-10-01",10.69
"148","2019-10-02",10.56
"149","2019-10-03",10.56
"150","2019-10-04",10.56
"151","2019-10-07",10.4
"152","2019-10-08",10.4
"153","2019-10-09",10.4
"154","2019-10-10",10.4
"155","2019-10-11",10.6
"156","2019-10-14",10.6
"157","2019-10-15",10.59
"158","2019-10-16",10.59
"159","2019-10-17",10.566
"160","2019-10-18",10.56
"161","2019-10-21",10.56
"162","2019-10-22",10.44
"163","2019-10-23",10.4
"164","2019-10-24",10.4
"165","2019-10-25",10.5
"166","2019-10-28",10.5
"167","2019-10-29",10.547
"168","2019-10-30",10.547
"169","2019-10-31",10.53
"170","2019-11-01",10.61
"171","2019-11-04",10.59
"172","2019-11-05",10.59
"173","2019-11-06",10.59
"174","2019-11-07",10.59
"175","2019-11-08",10.59
"176","2019-11-11",10.59
"177","2019-11-12",10.55
"178","2019-11-13",10.55
"179","2019-11-14",10.499
"180","2019-11-15",10.5
"181","2019-11-18",10.46
"182","2019-11-19",10.497
"183","2019-11-20",10.48
"184","2019-11-21",10.444
"185","2019-11-22",10.47
"186","2019-11-25",10.48
"187","2019-11-26",10.48
"188","2019-11-27",10.54
"189","2019-11-29",10.5
"190","2019-12-02",10.5
"191","2019-12-03",10.48
"192","2019-12-04",10.49
"193","2019-12-05",10.49
"194","2019-12-06",10.49
"195","2019-12-09",10.5
"196","2019-12-10",10.54
"197","2019-12-11",10.48
"198","2019-12-12",10.55
"199","2019-12-13",10.55
"200","2019-12-16",10.54
"201","2019-12-17",10.54
"202","2019-12-18",10.53
"203","2019-12-19",10.53
"204","2019-12-20",10.51
"205","2019-12-23",10.5
"206","2019-12-24",10.5
"207","2019-12-26",10.5
"208","2019-12-27",10.5
"209","2019-12-30",10.5
"210","2019-12-31",10.5
"211","2020-01-02",10.5
"212","2020-01-03",10.5
"213","2020-01-06",10.5
"214","2020-01-07",10.5
"215","2020-01-08",10.567
"216","2020-01-09",10.567
"217","2020-01-10",10.567
"218","2020-01-13",10.567
"219","2020-01-14",10.567
"220","2020-01-15",10.567
"221","2020-01-16",10.567
"222","2020-01-17",10.567
"223","2020-01-21",10.567
"224","2020-01-22",10.35
"225","2020-01-23",10.35
"226","2020-01-24",10.4
"227","2020-01-27",10.4
"228","2020-01-28",10.4
"229","2020-01-29",10.4
"230","2020-01-30",10.4
"231","2020-01-31",10.4
"232","2020-02-03",10.4
"233","2020-02-04",10.4
"234","2020-02-05",10.4
"235","2020-02-06",10.4
"236","2020-02-07",10.4
"237","2020-02-10",10.4
"238","2020-02-11",10.35
"239","2020-02-12",10.35
"240","2020-02-13",10.35
"241","2020-02-14",10.35
"242","2020-02-18",10.35
"243","2020-02-19",10.35
"244","2020-02-20",10.35
"245","2020-02-21",10.35
"246","2020-02-24",10.36
"247","2020-02-25",10.36
"248","2020-02-26",10.45
"249","2020-02-27",10.45
"250","2020-02-28",10.775
"251","2020-03-02",10.775
"252","2020-03-03",10.775
"253","2020-03-04",10.775
"254","2020-03-05",10.775
"255","2020-03-06",10.775
"256","2020-03-09",10.36
"257","2020-03-10",10.4
"258","2020-03-11",10.4
"259","2020-03-12",10.2
"260","2020-03-13",10.2
"261","2020-03-16",10.17
"262","2020-03-17",10.149
"263","2020-03-18",10.149
"264","2020-03-19",9.9
"265","2020-03-20",9.9
"266","2020-03-23",9.9
"267","2020-03-24",9.9
"268","2020-03-25",9.9
"269","2020-03-26",9.9
"270","2020-03-27",9.9
"271","2020-03-30",10.1
"272","2020-03-31",10.11
"273","2020-04-01",10.2
