"","date","MGYR"
"1","2007-01-03",13.75
"2","2007-01-04",13.83
"3","2007-01-05",13.83
"4","2007-01-08",13.86
"5","2007-01-09",13.75
"6","2007-01-10",13.71
"7","2007-01-11",13.71
"8","2007-01-12",13.71
"9","2007-01-16",13.76
"10","2007-01-17",13.7
"11","2007-01-18",13.6
"12","2007-01-19",13.65
"13","2007-01-22",13.74
"14","2007-01-23",13.76
"15","2007-01-24",13.78
"16","2007-01-25",13.75
"17","2007-01-26",13.75
"18","2007-01-29",13.76
"19","2007-01-30",13.79
"20","2007-01-31",13.77
"21","2007-02-01",13.93
"22","2007-02-02",13.95
"23","2007-02-05",14.05
"24","2007-02-06",14.19
"25","2007-02-07",14.19
"26","2007-02-08",14.25
"27","2007-02-09",14.48
"28","2007-02-12",14.75
"29","2007-02-13",14.88
"30","2007-02-14",14.81
"31","2007-02-15",14.69
"32","2007-02-16",14.77
"33","2007-02-20",14.74
"34","2007-02-21",14.69
"35","2007-02-22",14.65
"36","2007-02-23",14.75
"37","2007-02-26",14.7
"38","2007-02-27",14.6
"39","2007-02-28",14.61
"40","2007-03-01",14.55
"41","2007-03-02",14.55
"42","2007-03-05",14.44
"43","2007-03-06",14.5
"44","2007-03-07",14.25
"45","2007-03-08",14.2
"46","2007-03-09",14.2
"47","2007-03-12",14.18
"48","2007-03-13",14.15
"49","2007-03-14",14.03
"50","2007-03-15",14
"51","2007-03-16",13.89
"52","2007-03-19",14.25
"53","2007-03-20",14.2
"54","2007-03-21",14.24
"55","2007-03-22",14.24
"56","2007-03-23",14.13
"57","2007-03-26",14.1
"58","2007-03-27",14.22
"59","2007-03-28",14.23
"60","2007-03-29",14.4
"61","2007-03-30",14.25
"62","2007-04-02",14.09
"63","2007-04-03",14.27
"64","2007-04-04",14.27
"65","2007-04-05",14.5
"66","2007-04-09",14.25
"67","2007-04-10",14.25
"68","2007-04-11",14.25
"69","2007-04-12",14.25
"70","2007-04-13",14.25
"71","2007-04-16",14.25
"72","2007-04-17",14.29
"73","2007-04-18",14.35
"74","2007-04-19",14.5
"75","2007-04-20",14.52
"76","2007-04-23",14.5
"77","2007-04-24",14.7
"78","2007-04-25",14.99
"79","2007-04-26",14.7
