"","date","HEES"
"1","2007-01-03",24.41
"2","2007-01-04",24.370001
"3","2007-01-05",23.32
"4","2007-01-08",23.629999
"5","2007-01-09",23.34
"6","2007-01-10",23.370001
"7","2007-01-11",23.49
"8","2007-01-12",23.190001
"9","2007-01-16",23.75
"10","2007-01-17",24.27
"11","2007-01-18",23.84
"12","2007-01-19",23.940001
"13","2007-01-22",23.57
"14","2007-01-23",24.52
"15","2007-01-24",24.51
"16","2007-01-25",24.01
"17","2007-01-26",24
"18","2007-01-29",23.950001
"19","2007-01-30",23.799999
"20","2007-01-31",23.540001
"21","2007-02-01",24.26
"22","2007-02-02",24.16
"23","2007-02-05",24.17
"24","2007-02-06",25.360001
"25","2007-02-07",25.530001
"26","2007-02-08",25.73
"27","2007-02-09",25.209999
"28","2007-02-12",24.32
"29","2007-02-13",24.5
"30","2007-02-14",24.23
"31","2007-02-15",25.85
"32","2007-02-16",26.639999
"33","2007-02-20",26.709999
"34","2007-02-21",27.610001
"35","2007-02-22",27.389999
"36","2007-02-23",27.18
"37","2007-02-26",27.24
"38","2007-02-27",26.49
"39","2007-02-28",26.41
"40","2007-03-01",26.059999
"41","2007-03-02",25.16
"42","2007-03-05",24.4
"43","2007-03-06",24.370001
"44","2007-03-07",24.360001
"45","2007-03-08",24.4
"46","2007-03-09",24.18
"47","2007-03-12",24.16
"48","2007-03-13",23.610001
"49","2007-03-14",23.18
"50","2007-03-15",22.48
"51","2007-03-16",22.549999
"52","2007-03-19",22.700001
"53","2007-03-20",22.540001
"54","2007-03-21",22.700001
"55","2007-03-22",22.549999
"56","2007-03-23",22.65
"57","2007-03-26",22.709999
"58","2007-03-27",22.49
"59","2007-03-28",21.93
"60","2007-03-29",21.299999
"61","2007-03-30",21.5
"62","2007-04-02",21.5
"63","2007-04-03",21.17
"64","2007-04-04",20.33
"65","2007-04-05",21
"66","2007-04-09",22.379999
"67","2007-04-10",22.959999
"68","2007-04-11",23.16
"69","2007-04-12",23.219999
"70","2007-04-13",23.799999
"71","2007-04-16",23.5
"72","2007-04-17",23.059999
"73","2007-04-18",23.040001
"74","2007-04-19",23.07
"75","2007-04-20",23.459999
"76","2007-04-23",23.290001
"77","2007-04-24",23.209999
"78","2007-04-25",23.42
"79","2007-04-26",23.42
"80","2007-04-27",23.41
"81","2007-04-30",23.66
"82","2007-05-01",24.059999
"83","2007-05-02",23.559999
"84","2007-05-03",23.99
"85","2007-05-04",24.610001
"86","2007-05-07",24.77
"87","2007-05-08",24.889999
"88","2007-05-09",24.6
"89","2007-05-10",25.83
"90","2007-05-11",26.629999
"91","2007-05-14",26.15
"92","2007-05-15",25.99
"93","2007-05-16",27.059999
"94","2007-05-17",26.41
"95","2007-05-18",26.190001
"96","2007-05-21",26.459999
"97","2007-05-22",26.65
"98","2007-05-23",26.59
"99","2007-05-24",26.290001
"100","2007-05-25",26.42
"101","2007-05-29",26.299999
"102","2007-05-30",26.290001
"103","2007-05-31",26.120001
"104","2007-06-01",26.190001
"105","2007-06-04",26.299999
"106","2007-06-05",26.27
"107","2007-06-06",25.99
"108","2007-06-07",25.549999
"109","2007-06-08",26.25
"110","2007-06-11",26.629999
"111","2007-06-12",26.08
"112","2007-06-13",26.27
"113","2007-06-14",26.5
"114","2007-06-15",27.08
"115","2007-06-18",27.440001
"116","2007-06-19",27.57
"117","2007-06-20",26.74
"118","2007-06-21",26.76
"119","2007-06-22",26.75
"120","2007-06-25",26.68
"121","2007-06-26",27.42
"122","2007-06-27",27.43
"123","2007-06-28",27.51
"124","2007-06-29",27.74
"125","2007-07-02",27.530001
"126","2007-07-03",27.73
"127","2007-07-05",27.9
"128","2007-07-06",27.99
"129","2007-07-09",28.92
"130","2007-07-10",29.530001
"131","2007-07-11",30
"132","2007-07-12",30.469999
"133","2007-07-13",30
"134","2007-07-16",29.440001
"135","2007-07-17",29.549999
"136","2007-07-18",29
"137","2007-07-19",28.889999
"138","2007-07-20",28.110001
"139","2007-07-23",28.35
"140","2007-07-24",27.41
"141","2007-07-25",26.98
"142","2007-07-26",25.799999
"143","2007-07-27",26.65
"144","2007-07-30",27.15
"145","2007-07-31",27.17
"146","2007-08-01",26.110001
