"","date","COO"
"1","2007-01-03",43.790001
"2","2007-01-04",45.610001
"3","2007-01-05",47.009998
"4","2007-01-08",46.75
"5","2007-01-09",46.259998
"6","2007-01-10",51.389999
"7","2007-01-11",51.439999
"8","2007-01-12",51.639999
"9","2007-01-16",51.48
"10","2007-01-17",50.650002
"11","2007-01-18",50.189999
"12","2007-01-19",50.080002
"13","2007-01-22",46.830002
"14","2007-01-23",47.599998
"15","2007-01-24",47.610001
"16","2007-01-25",47.91
"17","2007-01-26",47.169998
"18","2007-01-29",46.740002
"19","2007-01-30",46.68
"20","2007-01-31",47.700001
"21","2007-02-01",48.299999
"22","2007-02-02",48.360001
"23","2007-02-05",47.75
"24","2007-02-06",47.209999
"25","2007-02-07",46.330002
"26","2007-02-08",46.66
"27","2007-02-09",46.349998
"28","2007-02-12",46.049999
"29","2007-02-13",46.080002
"30","2007-02-14",46.139999
"31","2007-02-15",46.41
"32","2007-02-16",46.650002
"33","2007-02-20",46.900002
"34","2007-02-21",47.41
"35","2007-02-22",47.110001
"36","2007-02-23",47.18
"37","2007-02-26",46.470001
"38","2007-02-27",46
"39","2007-02-28",45.91
"40","2007-03-01",45.970001
"41","2007-03-02",46
"42","2007-03-05",45.849998
"43","2007-03-06",45.310001
"44","2007-03-07",45.25
"45","2007-03-08",45.709999
"46","2007-03-09",47.82
"47","2007-03-12",46.990002
"48","2007-03-13",46.139999
"49","2007-03-14",46.610001
"50","2007-03-15",46.830002
"51","2007-03-16",46.560001
"52","2007-03-19",46.59
"53","2007-03-20",47.310001
"54","2007-03-21",47.259998
"55","2007-03-22",48.080002
"56","2007-03-23",48.630001
"57","2007-03-26",48.52
"58","2007-03-27",48.610001
"59","2007-03-28",48.720001
"60","2007-03-29",48.599998
"61","2007-03-30",48.619999
"62","2007-04-02",48.849998
"63","2007-04-03",49.029999
"64","2007-04-04",48.75
"65","2007-04-05",49.68
"66","2007-04-09",49.939999
"67","2007-04-10",49.459999
"68","2007-04-11",50.529999
"69","2007-04-12",50.720001
"70","2007-04-13",50.360001
