"","date","VAPO"
"1","2018-11-14",16
"2","2018-11-15",17.59
"3","2018-11-16",16.959999
"4","2018-11-19",17.139999
"5","2018-11-20",15.98
"6","2018-11-21",16.15
"7","2018-11-23",16.85
"8","2018-11-26",18
"9","2018-11-27",17.84
"10","2018-11-28",18.15
"11","2018-11-29",18.65
"12","2018-11-30",18.389999
"13","2018-12-03",20.65
"14","2018-12-04",21
"15","2018-12-06",20.690001
"16","2018-12-07",20.93
"17","2018-12-10",19
"18","2018-12-11",18.93
"19","2018-12-12",18.35
"20","2018-12-13",18
"21","2018-12-14",18.129999
"22","2018-12-17",17.6
"23","2018-12-18",17.4
"24","2018-12-19",16.9
"25","2018-12-20",16.17
"26","2018-12-21",16.49
"27","2018-12-24",16.299999
"28","2018-12-26",17.23
"29","2018-12-27",18.25
"30","2018-12-28",19
"31","2018-12-31",19.950001
"32","2019-01-02",18.459999
"33","2019-01-03",17.530001
"34","2019-01-04",18.030001
"35","2019-01-07",16.690001
"36","2019-01-08",16.02
"37","2019-01-09",16.950001
"38","2019-01-10",17.440001
"39","2019-01-11",17.15
"40","2019-01-14",16.799999
"41","2019-01-15",16.450001
"42","2019-01-16",16.34
"43","2019-01-17",16.309999
"44","2019-01-18",16.33
"45","2019-01-22",16.34
"46","2019-01-23",16.17
"47","2019-01-24",16.6
"48","2019-01-25",16.42
"49","2019-01-28",16.27
"50","2019-01-29",16.24
"51","2019-01-30",16.33
"52","2019-01-31",16.83
"53","2019-02-01",16.690001
"54","2019-02-04",16.49
"55","2019-02-05",16.620001
"56","2019-02-06",16.5
"57","2019-02-07",16.6
"58","2019-02-08",16.48
"59","2019-02-11",16.66
"60","2019-02-12",16.709999
"61","2019-02-13",17
"62","2019-02-14",16.65
"63","2019-02-15",16.5
"64","2019-02-19",17.049999
"65","2019-02-20",17.190001
"66","2019-02-21",17.190001
"67","2019-02-22",17.940001
"68","2019-02-25",18.200001
"69","2019-02-26",18.379999
"70","2019-02-27",19.370001
"71","2019-02-28",19.440001
"72","2019-03-01",20.559999
"73","2019-03-04",19.6
"74","2019-03-05",18.950001
"75","2019-03-06",18.85
"76","2019-03-07",19.01
"77","2019-03-08",19.99
"78","2019-03-11",20.25
"79","2019-03-12",19.85
"80","2019-03-13",19.610001
"81","2019-03-14",20
"82","2019-03-15",20
"83","2019-03-18",19.889999
"84","2019-03-19",20
"85","2019-03-20",19.74
"86","2019-03-21",22.17
"87","2019-03-22",20.01
"88","2019-03-25",20
"89","2019-03-26",19.65
"90","2019-03-27",18.82
"91","2019-03-28",18.77
"92","2019-03-29",19.65
"93","2019-04-01",19.75
"94","2019-04-02",19.780001
"95","2019-04-03",19.959999
"96","2019-04-04",19.27
"97","2019-04-05",19.99
"98","2019-04-08",20
"99","2019-04-09",20
"100","2019-04-10",19.790001
"101","2019-04-11",18.99
"102","2019-04-12",19.280001
"103","2019-04-15",19
"104","2019-04-16",17.66
"105","2019-04-17",17.299999
"106","2019-04-18",17.68
"107","2019-04-22",16.809999
"108","2019-04-23",17.139999
"109","2019-04-24",16.940001
"110","2019-04-25",16.9
"111","2019-04-26",17.85
"112","2019-04-29",17.809999
"113","2019-04-30",16.93
"114","2019-05-01",16.73
"115","2019-05-02",18.32
"116","2019-05-03",17.85
"117","2019-05-06",17.75
"118","2019-05-07",18.52
"119","2019-05-08",17.85
"120","2019-05-09",19.379999
"121","2019-05-10",18.76
"122","2019-05-13",18.09
"123","2019-05-14",17.5
"124","2019-05-15",16.16
"125","2019-05-16",15.75
"126","2019-05-17",16.23
"127","2019-05-20",16.639999
"128","2019-05-21",16.35
"129","2019-05-22",16.42
"130","2019-05-23",16
"131","2019-05-24",16.35
"132","2019-05-28",16.25
"133","2019-05-29",16.700001
"134","2019-05-30",17.48
"135","2019-05-31",16.82
"136","2019-06-03",17.08
"137","2019-06-04",17.6
"138","2019-06-05",18.99
"139","2019-06-06",17.98
"140","2019-06-07",18.450001
"141","2019-06-10",18.450001
"142","2019-06-11",19.540001
"143","2019-06-12",19.280001
"144","2019-06-13",19.59
"145","2019-06-14",19.5
"146","2019-06-17",20.879999
"147","2019-06-18",20.530001
"148","2019-06-19",20.870001
"149","2019-06-20",21.469999
"150","2019-06-21",20.93
"151","2019-06-24",21.42
"152","2019-06-25",21.190001
"153","2019-06-26",21.049999
"154","2019-06-27",21.5
"155","2019-06-28",23
"156","2019-07-01",23.459999
"157","2019-07-02",22
"158","2019-07-03",21.809999
"159","2019-07-05",20.950001
"160","2019-07-08",20.709999
"161","2019-07-09",20.190001
"162","2019-07-10",21.120001
"163","2019-07-11",20.74
"164","2019-07-12",20.360001
"165","2019-07-15",19.84
"166","2019-07-16",19.370001
"167","2019-07-17",19.4
"168","2019-07-18",18.780001
"169","2019-07-19",18.379999
"170","2019-07-22",17.959999
"171","2019-07-23",18.120001
"172","2019-07-24",18.75
"173","2019-07-25",19.379999
"174","2019-07-26",19.719999
"175","2019-07-29",19.200001
"176","2019-07-30",18.15
"177","2019-07-31",16.09
"178","2019-08-01",15.18
"179","2019-08-02",14.55
"180","2019-08-05",14.4
"181","2019-08-06",13.83
"182","2019-08-07",13.41
"183","2019-08-08",13.5
"184","2019-08-09",13.77
"185","2019-08-12",14.6
"186","2019-08-13",14.65
"187","2019-08-14",14.45
"188","2019-08-15",14.35
"189","2019-08-16",13.97
"190","2019-08-19",14
"191","2019-08-20",13.52
"192","2019-08-21",13.11
"193","2019-08-22",12.85
"194","2019-08-23",12.83
"195","2019-08-26",13.35
"196","2019-08-27",13.66
"197","2019-08-28",12.88
"198","2019-08-29",12.5
"199","2019-08-30",11.6
"200","2019-09-03",9.5
"201","2019-09-04",10.18
"202","2019-09-05",11.12
"203","2019-09-06",11.27
"204","2019-09-09",9.5
"205","2019-09-10",9.02
"206","2019-09-11",8.7
"207","2019-09-12",9.43
"208","2019-09-13",9.06
"209","2019-09-16",9.41
