"","date","TDACU"
"1","2018-05-30",10.03
"2","2018-05-31",10.056
"3","2018-06-01",10.09
"4","2018-06-04",10.1
"5","2018-06-05",10.06
"6","2018-06-06",10.1
"7","2018-06-07",10.09
"8","2018-06-08",10.06
"9","2018-06-11",10.08
"10","2018-06-12",10.115
"11","2018-06-13",10.08
"12","2018-06-14",10.07
"13","2018-06-15",10.06
"14","2018-06-18",10.09
"15","2018-06-19",10.09
"16","2018-06-20",10.08
"17","2018-06-21",10.09
"18","2018-06-22",10.09
"19","2018-06-25",10.06
"20","2018-06-26",10.03
"21","2018-06-27",10.03
"22","2018-06-28",10.03
"23","2018-06-29",10.08
"24","2018-07-02",10.04
"25","2018-07-03",10.04
"26","2018-07-05",10.045
"27","2018-07-06",10.08
"28","2018-07-09",10.05
"29","2018-07-10",10.077
"30","2018-07-11",10.077
"31","2018-07-12",10.01
"32","2018-07-13",10.03
"33","2018-07-16",10.03
"34","2018-07-17",10.03
"35","2018-07-18",10.03
"36","2018-07-19",10.03
"37","2018-07-20",10.08
"38","2018-07-23",10.056
"39","2018-07-24",10.056
"40","2018-07-25",10.056
"41","2018-07-26",10.056
"42","2018-07-27",10.05
"43","2018-07-30",10.08
"44","2018-07-31",10.03
"45","2018-08-01",10.07
"46","2018-08-02",10.07
"47","2018-08-03",10.07
"48","2018-08-06",10.02
"49","2018-08-07",10.02
"50","2018-08-08",10.01
"51","2018-08-09",10.06
"52","2018-08-10",10.06
"53","2018-08-13",10.06
"54","2018-08-14",10.06
"55","2018-08-15",10.07
"56","2018-08-16",10.07
"57","2018-08-17",10.07
"58","2018-08-20",10.02
"59","2018-08-21",10.09
"60","2018-08-22",10.09
"61","2018-08-23",10.09
"62","2018-08-24",10.09
"63","2018-08-27",10.09
"64","2018-08-28",10.09
"65","2018-08-29",10.09
"66","2018-08-30",10.09
"67","2018-08-31",10.07
"68","2018-09-04",10.1
"69","2018-09-05",10.1
"70","2018-09-06",10.1
"71","2018-09-07",10.1
"72","2018-09-10",10.1
"73","2018-09-11",10.1
"74","2018-09-12",10.1
"75","2018-09-13",10.1
"76","2018-09-14",10.06
"77","2018-09-17",10.02
"78","2018-09-18",10.02
"79","2018-09-19",10.2
"80","2018-09-20",10.124
"81","2018-09-21",10.04
"82","2018-09-24",10.17
"83","2018-09-25",10.12
"84","2018-09-26",10.12
"85","2018-09-27",10.12
"86","2018-09-28",10.12
"87","2018-10-01",10.12
"88","2018-10-02",10.115
"89","2018-10-03",10.1
"90","2018-10-04",10.1
"91","2018-10-05",10.09
"92","2018-10-08",10.1
"93","2018-10-09",10.1
"94","2018-10-10",10.1
"95","2018-10-11",10.1
"96","2018-10-12",10.1
"97","2018-10-15",10.09
"98","2018-10-16",10.08
"99","2018-10-17",10.09
"100","2018-10-18",10.09
"101","2018-10-19",10.09
"102","2018-10-22",10.09
"103","2018-10-23",10.1
"104","2018-10-24",10.1
"105","2018-10-25",10.1
"106","2018-10-26",10.1
"107","2018-10-29",10.1
"108","2018-10-30",10.1
"109","2018-10-31",10.1
"110","2018-11-01",10.1
"111","2018-11-02",10.1
"112","2018-11-05",10.1
"113","2018-11-06",10.1
"114","2018-11-07",10.1
"115","2018-11-08",10.1
"116","2018-11-09",10.1
"117","2018-11-12",10.1
"118","2018-11-13",10.2
"119","2018-11-14",10.2
"120","2018-11-15",10.22
"121","2018-11-16",10.2
"122","2018-11-19",10.2
"123","2018-11-20",10.21
"124","2018-11-21",10.21
"125","2018-11-23",10.25
"126","2018-11-26",10.25
"127","2018-11-27",10.25
"128","2018-11-28",10.24
"129","2018-11-29",10.11
"130","2018-11-30",10.1
"131","2018-12-03",10.15
"132","2018-12-04",10.2
"133","2018-12-06",10.2
"134","2018-12-07",10.2
"135","2018-12-10",10.2
"136","2018-12-11",10.2
"137","2018-12-12",10.2
"138","2018-12-13",10.2
"139","2018-12-14",10.2
"140","2018-12-17",10.2
"141","2018-12-18",10.19
"142","2018-12-19",10.2
"143","2018-12-20",10.19
"144","2018-12-21",10.19
"145","2018-12-24",10.19
"146","2018-12-26",10.19
"147","2018-12-27",10.19
"148","2018-12-28",10.19
"149","2018-12-31",10.19
"150","2019-01-02",10.19
"151","2019-01-03",10.19
"152","2019-01-04",10.2
"153","2019-01-07",10.2
"154","2019-01-08",10.2
"155","2019-01-09",10.21
"156","2019-01-10",10.21
"157","2019-01-11",10.25
"158","2019-01-14",10.25
"159","2019-01-15",10.25
"160","2019-01-16",10.25
"161","2019-01-17",10.25
"162","2019-01-18",10.21
"163","2019-01-22",10.19
"164","2019-01-23",10.2
"165","2019-01-24",10.19
"166","2019-01-25",10.19
"167","2019-01-28",10.19
"168","2019-01-29",10.23
"169","2019-01-30",10.25
"170","2019-01-31",10.25
