"","date","NBIX"
"1","2007-01-03",10.27
"2","2007-01-04",10.23
"3","2007-01-05",10.66
"4","2007-01-08",10.33
"5","2007-01-09",10.45
"6","2007-01-10",10.7
"7","2007-01-11",11.44
"8","2007-01-12",11.54
"9","2007-01-16",11.74
"10","2007-01-17",12.63
"11","2007-01-18",12.7
"12","2007-01-19",13.1
"13","2007-01-22",12.95
"14","2007-01-23",13.88
"15","2007-01-24",14.24
"16","2007-01-25",14.02
"17","2007-01-26",13.75
"18","2007-01-29",13.95
"19","2007-01-30",14.02
"20","2007-01-31",13.98
"21","2007-02-01",14.45
"22","2007-02-02",13.27
"23","2007-02-05",13.04
"24","2007-02-06",13.32
"25","2007-02-07",13.51
"26","2007-02-08",13.29
"27","2007-02-09",13.03
"28","2007-02-12",12.95
"29","2007-02-13",12.98
"30","2007-02-14",13.25
"31","2007-02-15",13.41
"32","2007-02-16",13.26
"33","2007-02-20",13.44
"34","2007-02-21",13.37
"35","2007-02-22",13.11
"36","2007-02-23",13.01
"37","2007-02-26",13.03
"38","2007-02-27",12.95
"39","2007-02-28",12.61
"40","2007-03-01",12.04
"41","2007-03-02",11.28
"42","2007-03-05",10.94
"43","2007-03-06",11.34
"44","2007-03-07",11.36
"45","2007-03-08",11.29
"46","2007-03-09",11.44
"47","2007-03-12",11.38
"48","2007-03-13",11.05
"49","2007-03-14",10.87
"50","2007-03-15",11.03
"51","2007-03-16",10.98
"52","2007-03-19",11
"53","2007-03-20",11.02
"54","2007-03-21",11.07
"55","2007-03-22",11.3
"56","2007-03-23",12.85
"57","2007-03-26",12.13
"58","2007-03-27",12.37
"59","2007-03-28",12.39
"60","2007-03-29",12.26
"61","2007-03-30",12.5
"62","2007-04-02",12.45
"63","2007-04-03",12.49
"64","2007-04-04",12.87
"65","2007-04-05",13.66
"66","2007-04-09",13.99
"67","2007-04-10",14.05
"68","2007-04-11",14.15
"69","2007-04-12",14.05
"70","2007-04-13",14.14
"71","2007-04-16",14.25
"72","2007-04-17",13.87
"73","2007-04-18",13.86
"74","2007-04-19",13.58
"75","2007-04-20",13.64
"76","2007-04-23",13.63
"77","2007-04-24",13.41
"78","2007-04-25",13.7
"79","2007-04-26",13.51
"80","2007-04-27",13.15
"81","2007-04-30",12.73
"82","2007-05-01",12.84
"83","2007-05-02",13.05
"84","2007-05-03",13.09
"85","2007-05-04",11.85
"86","2007-05-07",11.9
"87","2007-05-08",12.01
"88","2007-05-09",12
"89","2007-05-10",11.71
"90","2007-05-11",11.6
"91","2007-05-14",11.72
"92","2007-05-15",11.37
"93","2007-05-16",11.57
"94","2007-05-17",11.3
"95","2007-05-18",11.47
"96","2007-05-21",11.38
"97","2007-05-22",11.33
"98","2007-05-23",11.48
"99","2007-05-24",11.38
"100","2007-05-25",11.39
"101","2007-05-29",11.46
"102","2007-05-30",11.44
"103","2007-05-31",11.62
"104","2007-06-01",12.37
"105","2007-06-04",12.34
