"","date","RNGR"
"1","2017-08-11",14.22
"2","2017-08-14",14
"3","2017-08-15",14
"4","2017-08-16",14.01
"5","2017-08-17",13.75
"6","2017-08-18",14.15
"7","2017-08-21",13.99
"8","2017-08-22",14.05
"9","2017-08-23",14
"10","2017-08-24",14
"11","2017-08-25",14
"12","2017-08-28",14.05
"13","2017-08-29",13.98
"14","2017-08-30",14.2
"15","2017-08-31",14.2
"16","2017-09-01",14.92
"17","2017-09-05",14.57
"18","2017-09-06",14.53
"19","2017-09-07",14.37
"20","2017-09-08",14.55
"21","2017-09-11",13.93
"22","2017-09-12",14.2
"23","2017-09-13",14.36
"24","2017-09-14",15.5
"25","2017-09-15",14.5
"26","2017-09-18",14.08
"27","2017-09-19",14.16
"28","2017-09-20",14.25
"29","2017-09-21",14.35
"30","2017-09-22",14.51
"31","2017-09-25",14.87
"32","2017-09-26",14.6
"33","2017-09-27",14.52
"34","2017-09-28",14.66
"35","2017-09-29",14.7
"36","2017-10-02",14.6
"37","2017-10-03",14.52
"38","2017-10-04",14.5
"39","2017-10-05",14.59
"40","2017-10-06",14.58
"41","2017-10-09",14.75
"42","2017-10-10",14.88
"43","2017-10-11",14.77
"44","2017-10-12",14.8
"45","2017-10-13",14.58
"46","2017-10-16",14.58
"47","2017-10-17",13.92
"48","2017-10-18",13.16
"49","2017-10-19",13.18
"50","2017-10-20",13.16
"51","2017-10-23",12.75
"52","2017-10-24",12.35
"53","2017-10-25",11.75
"54","2017-10-26",11.39
"55","2017-10-27",11
"56","2017-10-30",11.92
"57","2017-10-31",11.6
"58","2017-11-01",12.24
"59","2017-11-02",11.39
"60","2017-11-03",11.38
"61","2017-11-06",11.85
"62","2017-11-07",11.43
"63","2017-11-08",11.22
"64","2017-11-09",10.61
"65","2017-11-10",8.96
"66","2017-11-13",9.12
"67","2017-11-14",8.82
"68","2017-11-15",9.17
"69","2017-11-16",9.26
"70","2017-11-17",9.32
"71","2017-11-20",9.18
"72","2017-11-21",9.11
"73","2017-11-22",9.16
"74","2017-11-24",9.25
"75","2017-11-27",9.12
"76","2017-11-28",9.23
"77","2017-11-29",9.19
"78","2017-11-30",9.43
"79","2017-12-01",9.47
"80","2017-12-04",9.9
"81","2017-12-05",9.71
"82","2017-12-06",9.63
"83","2017-12-07",9.65
"84","2017-12-08",9.85
"85","2017-12-11",9.8
"86","2017-12-12",9.79
"87","2017-12-13",9.79
"88","2017-12-14",9.69
"89","2017-12-15",9.82
"90","2017-12-18",9.68
"91","2017-12-19",9.56
"92","2017-12-20",9.3
"93","2017-12-21",9.26
"94","2017-12-22",9.26
"95","2017-12-26",9.27
"96","2017-12-27",9.29
"97","2017-12-28",9.27
"98","2017-12-29",9.23
"99","2018-01-02",9.15
"100","2018-01-03",9.2
"101","2018-01-04",9.36
"102","2018-01-05",9.25
"103","2018-01-08",9.34
"104","2018-01-09",9.29
"105","2018-01-10",9.22
"106","2018-01-11",10.02
"107","2018-01-12",10.27
"108","2018-01-16",10.08
"109","2018-01-17",10.24
"110","2018-01-18",9.98
"111","2018-01-19",10.27
"112","2018-01-22",10.34
"113","2018-01-23",10.7
"114","2018-01-24",10.55
"115","2018-01-25",10.6
"116","2018-01-26",11.15
"117","2018-01-29",10.95
"118","2018-01-30",10.77
"119","2018-01-31",10.8
"120","2018-02-01",10.44
"121","2018-02-02",10.69
"122","2018-02-05",10.51
"123","2018-02-06",10.37
"124","2018-02-07",10.1
"125","2018-02-08",9.88
"126","2018-02-09",9.74
"127","2018-02-12",9.51
"128","2018-02-13",9.4
"129","2018-02-14",9.83
"130","2018-02-15",9.49
"131","2018-02-16",9.51
"132","2018-02-20",9.42
"133","2018-02-21",8.86
"134","2018-02-22",9.07
"135","2018-02-23",8.7
"136","2018-02-26",8.85
"137","2018-02-27",8.91
"138","2018-02-28",8.93
"139","2018-03-01",8.63
"140","2018-03-02",8.64
"141","2018-03-05",9.2
"142","2018-03-06",9
"143","2018-03-07",8.83
"144","2018-03-08",8.71
"145","2018-03-09",8.44
"146","2018-03-12",8.46
"147","2018-03-13",8.41
"148","2018-03-14",8.2
"149","2018-03-15",8.24
"150","2018-03-16",8.26
"151","2018-03-19",8.13
"152","2018-03-20",7.8
"153","2018-03-21",7.93
"154","2018-03-22",7.9
"155","2018-03-23",7.76
"156","2018-03-26",7.86
"157","2018-03-27",7.77
"158","2018-03-28",7.9
"159","2018-03-29",8.14
"160","2018-04-02",7.82
"161","2018-04-03",7.45
"162","2018-04-04",7.27
"163","2018-04-05",7.3
"164","2018-04-06",7.05
"165","2018-04-09",6.91
"166","2018-04-10",7.14
"167","2018-04-11",7.26
"168","2018-04-12",7.17
"169","2018-04-13",7.37
"170","2018-04-16",7.71
"171","2018-04-17",8.19
"172","2018-04-18",8.54
"173","2018-04-19",8.55
"174","2018-04-20",8.52
"175","2018-04-23",8.25
"176","2018-04-24",8.32
"177","2018-04-25",8.4
"178","2018-04-26",8.42
"179","2018-04-27",8.37
"180","2018-04-30",8.25
"181","2018-05-01",8.41
"182","2018-05-02",8.53
"183","2018-05-03",8.35
"184","2018-05-04",8.49
"185","2018-05-07",8.54
"186","2018-05-08",8.35
"187","2018-05-09",8.3
"188","2018-05-10",8.31
"189","2018-05-11",8.34
"190","2018-05-14",8.45
"191","2018-05-15",8.49
"192","2018-05-16",8.5
"193","2018-05-17",8.53
"194","2018-05-18",8.43
