"","date","HSDT"
"1","2014-06-27",10.81
"2","2014-06-30",10.81
"3","2014-07-01",10.81
"4","2014-07-02",10.81
"5","2014-07-03",11.28
"6","2014-07-07",11.36
"7","2014-07-08",11.55
"8","2014-07-09",10.93
"9","2014-07-10",11.05
"10","2014-07-11",11.22
"11","2014-07-14",11.04
"12","2014-07-15",10.98
"13","2014-07-16",11.25
"14","2014-07-17",11
"15","2014-07-18",10.93
"16","2014-07-21",11.63
"17","2014-07-22",11.1
"18","2014-07-23",10.96
"19","2014-07-24",10.97
"20","2014-07-25",10.985
"21","2014-07-28",11.405
"22","2014-07-29",11.405
"23","2014-07-30",11.4
"24","2014-07-31",11.4
"25","2014-08-01",11.4
"26","2014-08-04",11.4
"27","2014-08-05",11.785
"28","2014-08-06",11.785
"29","2014-08-07",11.785
"30","2014-08-08",11.785
"31","2014-08-11",11.225
"32","2014-08-12",10.99
"33","2014-08-13",11.5
"34","2014-08-14",11.5
"35","2014-08-15",11.415
"36","2014-08-18",11.415
"37","2014-08-19",11.5
"38","2014-08-20",11.25
"39","2014-08-21",11.25
"40","2014-08-22",11.25
"41","2014-08-25",11.415
"42","2014-08-26",11.355
"43","2014-08-27",11.5
"44","2014-08-28",11.5
"45","2014-08-29",11.55
"46","2014-09-02",11.945
"47","2014-09-03",12.015
"48","2014-09-04",12.21
"49","2014-09-05",12.205
"50","2014-09-08",12.14
"51","2014-09-09",12.285
"52","2014-09-10",11.85
"53","2014-09-11",12.025
"54","2014-09-12",11.79
"55","2014-09-15",11.715
"56","2014-09-16",11.73
"57","2014-09-17",11.8
"58","2014-09-18",11.755
"59","2014-09-19",11.745
"60","2014-09-22",11.68
"61","2014-09-23",10.835
"62","2014-09-24",10.865
"63","2014-09-25",11
"64","2014-09-26",10.945
"65","2014-09-29",10.21
"66","2014-09-30",10.75
"67","2014-10-01",10.7
"68","2014-10-02",10.8
"69","2014-10-03",10.525
"70","2014-10-06",10.76
"71","2014-10-07",10.3
"72","2014-10-08",10.15
"73","2014-10-09",10.35
"74","2014-10-10",10.5
"75","2014-10-13",10.75
"76","2014-10-14",10.395
"77","2014-10-15",9.53
"78","2014-10-16",10.05
"79","2014-10-17",10.32
