"","date","HCAP"
"1","2013-05-03",15
"2","2013-05-06",15.12
"3","2013-05-07",15
"4","2013-05-08",15.1
"5","2013-05-09",15.01
"6","2013-05-10",15.09
"7","2013-05-13",15.1
"8","2013-05-14",15.06
"9","2013-05-15",15.1
"10","2013-05-16",15.06
"11","2013-05-17",15.02
"12","2013-05-20",15.09
"13","2013-05-21",15.02
"14","2013-05-22",15.1
"15","2013-05-23",15.1
"16","2013-05-24",15.24
"17","2013-05-28",14.91
"18","2013-05-29",14.95
"19","2013-05-30",15.02
"20","2013-05-31",15.06
"21","2013-06-03",15.07
"22","2013-06-04",15.12
"23","2013-06-05",15.15
"24","2013-06-06",15.05
"25","2013-06-07",15.07
"26","2013-06-10",14.86
"27","2013-06-11",15
"28","2013-06-12",14.83
"29","2013-06-13",14.98
"30","2013-06-14",14.93
"31","2013-06-17",15.64
"32","2013-06-18",15.11
"33","2013-06-19",14.95
"34","2013-06-20",15
"35","2013-06-21",15.14
"36","2013-06-24",15.18
"37","2013-06-25",15.19
"38","2013-06-26",15.06
"39","2013-06-27",15.2
"40","2013-06-28",15.09
"41","2013-07-01",14.93
"42","2013-07-02",14.96
"43","2013-07-03",15.09
"44","2013-07-05",15.2
"45","2013-07-08",15.05
"46","2013-07-09",15.17
"47","2013-07-10",15.15
"48","2013-07-11",15.14
"49","2013-07-12",15.09
"50","2013-07-15",15.05
"51","2013-07-16",15.19
"52","2013-07-17",15.05
"53","2013-07-18",15.15
"54","2013-07-19",14.85
"55","2013-07-22",14.75
"56","2013-07-23",14.81
"57","2013-07-24",14.87
"58","2013-07-25",14.99
"59","2013-07-26",15.14
"60","2013-07-29",15
"61","2013-07-30",15.55
"62","2013-07-31",15.29
"63","2013-08-01",15.31
"64","2013-08-02",15.5
"65","2013-08-05",15.35
"66","2013-08-06",15.01
"67","2013-08-07",15.08
"68","2013-08-08",15.3
"69","2013-08-09",15.17
"70","2013-08-12",15
"71","2013-08-13",14.73
"72","2013-08-14",14.9
"73","2013-08-15",14.8
"74","2013-08-16",14.89
"75","2013-08-19",15.3
"76","2013-08-20",15.2
"77","2013-08-21",14.86
"78","2013-08-22",15.2
"79","2013-08-23",14.87
"80","2013-08-26",15.1
"81","2013-08-27",14.73
"82","2013-08-28",14.71
"83","2013-08-29",15
"84","2013-08-30",14.7
"85","2013-09-03",14.67
"86","2013-09-04",14.82
"87","2013-09-05",14.91
"88","2013-09-06",15.14
"89","2013-09-09",15.2
"90","2013-09-10",15.25
"91","2013-09-11",15.24
"92","2013-09-12",15.3
"93","2013-09-13",15.3
"94","2013-09-16",15.27
"95","2013-09-17",14.97
"96","2013-09-18",14.8
"97","2013-09-19",14.76
"98","2013-09-20",14.71
"99","2013-09-23",14.51
"100","2013-09-24",14.85
"101","2013-09-25",15.01
"102","2013-09-26",14.91
"103","2013-09-27",15.08
"104","2013-09-30",15.02
"105","2013-10-01",15.09
"106","2013-10-02",15.12
"107","2013-10-03",14.94
"108","2013-10-04",14.9
"109","2013-10-07",15.03
"110","2013-10-08",14.7
"111","2013-10-09",14.36
"112","2013-10-10",14.5
"113","2013-10-11",14.7
"114","2013-10-14",14.8
"115","2013-10-15",14.52
"116","2013-10-16",14.81
"117","2013-10-17",15.04
"118","2013-10-18",14.94
"119","2013-10-21",14.68
"120","2013-10-22",15.01
"121","2013-10-23",15.25
"122","2013-10-24",15.49
"123","2013-10-25",15.29
"124","2013-10-28",14.84
"125","2013-10-29",15.35
"126","2013-10-30",15.5
"127","2013-10-31",14.8
"128","2013-11-01",15.2
