"","date","AGLE"
"1","2016-04-07",9.77
"2","2016-04-08",11.99
"3","2016-04-11",10.42
"4","2016-04-12",9.65
"5","2016-04-13",10.07
"6","2016-04-14",9.76
"7","2016-04-15",9.96
"8","2016-04-18",9.71
"9","2016-04-19",8.49
"10","2016-04-20",8.54
"11","2016-04-21",8.59
"12","2016-04-22",9.19
"13","2016-04-25",9.7
"14","2016-04-26",9.89
"15","2016-04-27",9.52
"16","2016-04-28",9.19
"17","2016-04-29",8.76
"18","2016-05-02",9.76
"19","2016-05-03",9.4
"20","2016-05-04",9.1
"21","2016-05-05",8.615
"22","2016-05-06",8.71
"23","2016-05-09",8.81
"24","2016-05-10",8.77
"25","2016-05-11",8.145
"26","2016-05-12",7.46
"27","2016-05-13",7.17
"28","2016-05-16",7.23
"29","2016-05-17",7.28
"30","2016-05-18",7.41
"31","2016-05-19",7.36
"32","2016-05-20",7.46
"33","2016-05-23",7.31
"34","2016-05-24",7.36
"35","2016-05-25",7.38
"36","2016-05-26",7.45
"37","2016-05-27",7.24
"38","2016-05-31",7.5
"39","2016-06-01",7.38
"40","2016-06-02",7.68
"41","2016-06-03",7.6
"42","2016-06-06",7.59
"43","2016-06-07",7.35
"44","2016-06-08",7.26
"45","2016-06-09",7.25
"46","2016-06-10",6.28
"47","2016-06-13",6.17
"48","2016-06-14",5.89
"49","2016-06-15",5.36
"50","2016-06-16",5.2
"51","2016-06-17",4.46
"52","2016-06-20",4.47
"53","2016-06-21",4.36
"54","2016-06-22",4.455
"55","2016-06-23",4.8
"56","2016-06-24",5.36
"57","2016-06-27",5.45
"58","2016-06-28",5.45
"59","2016-06-29",5.23
"60","2016-06-30",4.86
"61","2016-07-01",4.85
"62","2016-07-05",4.58
"63","2016-07-06",4.56
"64","2016-07-07",3.96
"65","2016-07-08",4.21
"66","2016-07-11",4.12
"67","2016-07-12",4.2
"68","2016-07-13",4.75
"69","2016-07-14",4.65
"70","2016-07-15",4.52
"71","2016-07-18",4.48
"72","2016-07-19",4.64
"73","2016-07-20",4.57
"74","2016-07-21",4.54
"75","2016-07-22",4.65
"76","2016-07-25",4.51
"77","2016-07-26",4.7
"78","2016-07-27",4.7
"79","2016-07-28",4.81
"80","2016-07-29",4.8
"81","2016-08-01",4.77
"82","2016-08-02",4.58
"83","2016-08-03",4.62
"84","2016-08-04",4.79
"85","2016-08-05",4.69
"86","2016-08-08",4.6
"87","2016-08-09",4.74
"88","2016-08-10",4.6
"89","2016-08-11",4.59
"90","2016-08-12",4.6
"91","2016-08-15",4.69
"92","2016-08-16",5.2
"93","2016-08-17",5.9
"94","2016-08-18",5.88
"95","2016-08-19",5.16
"96","2016-08-22",5.64
"97","2016-08-23",5.57
"98","2016-08-24",5.79
"99","2016-08-25",5.87
"100","2016-08-26",5.895
"101","2016-08-29",5.84
"102","2016-08-30",5.79
"103","2016-08-31",5.64
"104","2016-09-01",5.785
"105","2016-09-02",6.25
"106","2016-09-06",6.97
"107","2016-09-07",6.95
"108","2016-09-08",7.33
"109","2016-09-09",6.95
"110","2016-09-12",7.45
"111","2016-09-13",7.77
"112","2016-09-14",8.11
"113","2016-09-15",7.76
"114","2016-09-16",7.71
"115","2016-09-19",6.94
"116","2016-09-20",6.88
"117","2016-09-21",6.37
"118","2016-09-22",6.42
"119","2016-09-23",6.49
"120","2016-09-26",6.8
"121","2016-09-27",6.86
"122","2016-09-28",7.01
"123","2016-09-29",6.65
"124","2016-09-30",6.41
"125","2016-10-03",6.41
"126","2016-10-04",6.78
"127","2016-10-05",6.83
"128","2016-10-06",6.99
"129","2016-10-07",6.84
"130","2016-10-10",6.5
"131","2016-10-11",6.9
"132","2016-10-12",6.9
"133","2016-10-13",6.72
"134","2016-10-14",6.75
"135","2016-10-17",6.74
"136","2016-10-18",6.74
"137","2016-10-19",6.58
"138","2016-10-20",6.33
"139","2016-10-21",6.27
"140","2016-10-24",6.12
"141","2016-10-25",5.98
"142","2016-10-26",6.03
"143","2016-10-27",5.875
"144","2016-10-28",5.8
"145","2016-10-31",5.36
"146","2016-11-01",5.86
"147","2016-11-02",5.7
"148","2016-11-03",5.93
"149","2016-11-04",6.12
"150","2016-11-07",6.08
"151","2016-11-08",5.97
"152","2016-11-09",5.86
"153","2016-11-10",5.9
"154","2016-11-11",5.93
"155","2016-11-14",6.05
"156","2016-11-15",6
"157","2016-11-16",6.03
"158","2016-11-17",6.2
"159","2016-11-18",5.83
"160","2016-11-21",5.89
"161","2016-11-22",5.285
"162","2016-11-23",5.01
"163","2016-11-25",5.09
"164","2016-11-28",5.34
"165","2016-11-29",5.315
"166","2016-11-30",5.17
"167","2016-12-01",5.7
"168","2016-12-02",5.7
"169","2016-12-05",5.74
"170","2016-12-06",6.08
"171","2016-12-07",5.97
"172","2016-12-08",5.7
"173","2016-12-09",5.52
"174","2016-12-12",5.35
"175","2016-12-13",5.37
"176","2016-12-14",5.48
"177","2016-12-15",5.23
"178","2016-12-16",5.4
"179","2016-12-19",5.01
"180","2016-12-20",5.06
"181","2016-12-21",5.11
"182","2016-12-22",5.12
"183","2016-12-23",5.1
"184","2016-12-27",5.07
"185","2016-12-28",4.77
"186","2016-12-29",4.64
"187","2016-12-30",4.35
"188","2017-01-03",4.57
"189","2017-01-04",4.99
"190","2017-01-05",4.94
"191","2017-01-06",5.26
"192","2017-01-09",5.21
"193","2017-01-10",5.01
"194","2017-01-11",5.33
"195","2017-01-12",5.18
"196","2017-01-13",5.19
"197","2017-01-17",5.07
"198","2017-01-18",5.18
"199","2017-01-19",4.89
"200","2017-01-20",4.61
"201","2017-01-23",4.62
"202","2017-01-24",4.38
"203","2017-01-25",4.21
"204","2017-01-26",4.1
"205","2017-01-27",4.02
"206","2017-01-30",4.01
"207","2017-01-31",3.99
"208","2017-02-01",4.089
"209","2017-02-02",4.09
"210","2017-02-03",4.02
"211","2017-02-06",4.29
"212","2017-02-07",4.189
"213","2017-02-08",4.21
"214","2017-02-09",4.595
"215","2017-02-10",4.71
"216","2017-02-13",4.8
"217","2017-02-14",5.18
"218","2017-02-15",5.04
"219","2017-02-16",5.1
"220","2017-02-17",5.22
"221","2017-02-21",5.6
"222","2017-02-22",6
"223","2017-02-23",5.8
"224","2017-02-24",5.83
"225","2017-02-27",5.94
"226","2017-02-28",6.2
"227","2017-03-01",6.16
"228","2017-03-02",6.13
"229","2017-03-03",6.13
"230","2017-03-06",6.09
"231","2017-03-07",5.94
"232","2017-03-08",6.32
"233","2017-03-09",6.55
"234","2017-03-10",6.53
"235","2017-03-13",6.92
"236","2017-03-14",7
"237","2017-03-15",7.31
"238","2017-03-16",7.19
"239","2017-03-17",7.74
"240","2017-03-20",8.03
"241","2017-03-21",7.52
"242","2017-03-22",7.71
"243","2017-03-23",7.32
"244","2017-03-24",7.37
"245","2017-03-27",7.29
"246","2017-03-28",7.18
"247","2017-03-29",7.23
"248","2017-03-30",7.34
"249","2017-03-31",7.45
"250","2017-04-03",7.19
"251","2017-04-04",7.19
"252","2017-04-05",7.19
"253","2017-04-06",7.05
"254","2017-04-07",7.25
