"","date","CUTR"
"1","2007-01-03",27.209999
"2","2007-01-04",27.65
"3","2007-01-05",27.700001
"4","2007-01-08",27.889999
"5","2007-01-09",27.16
"6","2007-01-10",27.059999
"7","2007-01-11",27.83
"8","2007-01-12",28.5
"9","2007-01-16",28.48
"10","2007-01-17",28.59
"11","2007-01-18",28.32
"12","2007-01-19",28.01
"13","2007-01-22",28.07
"14","2007-01-23",27.209999
"15","2007-01-24",27.620001
"16","2007-01-25",28.280001
"17","2007-01-26",28.1
"18","2007-01-29",28.280001
"19","2007-01-30",28.030001
"20","2007-01-31",28.620001
"21","2007-02-01",33.380001
"22","2007-02-02",34.450001
"23","2007-02-05",33.939999
"24","2007-02-06",34.029999
"25","2007-02-07",34.150002
"26","2007-02-08",34.900002
"27","2007-02-09",34.540001
"28","2007-02-12",34.540001
"29","2007-02-13",34.380001
"30","2007-02-14",36.049999
"31","2007-02-15",35.720001
"32","2007-02-16",36.310001
"33","2007-02-20",37.470001
"34","2007-02-21",37.279999
"35","2007-02-22",37.48
"36","2007-02-23",37.380001
"37","2007-02-26",37.220001
"38","2007-02-27",34.959999
"39","2007-02-28",34.950001
"40","2007-03-01",33.400002
"41","2007-03-02",33.869999
"42","2007-03-05",33.209999
"43","2007-03-06",33.490002
"44","2007-03-07",33.389999
"45","2007-03-08",33.240002
"46","2007-03-09",33.169998
"47","2007-03-12",33.150002
"48","2007-03-13",32.490002
"49","2007-03-14",32.189999
"50","2007-03-15",32.790001
"51","2007-03-16",32.880001
"52","2007-03-19",33.799999
"53","2007-03-20",34.040001
"54","2007-03-21",34.279999
"55","2007-03-22",35
"56","2007-03-23",35.549999
"57","2007-03-26",35.759998
"58","2007-03-27",36.040001
"59","2007-03-28",35.799999
"60","2007-03-29",35.84
"61","2007-03-30",36.189999
"62","2007-04-02",37.220001
"63","2007-04-03",37.990002
"64","2007-04-04",38.389999
"65","2007-04-05",26.67
"66","2007-04-09",25.09
"67","2007-04-10",24.85
"68","2007-04-11",25.08
"69","2007-04-12",24.959999
"70","2007-04-13",24.83
