"","date","SHIP"
"1","2008-01-30",169740
"2","2008-01-31",171000
"3","2008-02-01",170100
"4","2008-02-04",168840
"5","2008-02-05",167400
"6","2008-02-06",167760
"7","2008-02-07",168300
"8","2008-02-08",169200
"9","2008-02-11",169200
"10","2008-02-12",168480
"11","2008-02-13",169920
"12","2008-02-14",170100
"13","2008-02-15",169200
"14","2008-02-19",167400
"15","2008-02-20",168840
"16","2008-02-21",170100
"17","2008-02-22",169740
"18","2008-02-25",168840
"19","2008-02-26",169920
"20","2008-02-27",169920
"21","2008-02-28",169020
"22","2008-02-29",170280
"23","2008-03-03",168840
"24","2008-03-04",169380
"25","2008-03-05",168840
"26","2008-03-06",168840
"27","2008-03-07",169920
"28","2008-03-10",169020
"29","2008-03-11",168840
"30","2008-03-12",168120
"31","2008-03-13",169200
"32","2008-03-14",166140
"33","2008-03-17",165780
"34","2008-03-18",166140
"35","2008-03-19",166860
"36","2008-03-20",167400
"37","2008-03-24",167580
"38","2008-03-25",168120
"39","2008-03-26",168300
"40","2008-03-27",168120
"41","2008-03-28",168300
"42","2008-03-31",169920
"43","2008-04-01",169020
"44","2008-04-02",167580
"45","2008-04-03",168120
"46","2008-04-04",169020
"47","2008-04-07",168300
"48","2008-04-08",169740
"49","2008-04-09",169740
"50","2008-04-10",169560
"51","2008-04-11",169560
"52","2008-04-14",169560
"53","2008-04-15",169560
"54","2008-04-16",169740
"55","2008-04-17",169380
"56","2008-04-18",169380
"57","2008-04-21",168660
"58","2008-04-22",167580
"59","2008-04-23",169200
"60","2008-04-24",169740
"61","2008-04-25",169560
"62","2008-04-28",169560
"63","2008-04-29",169380
"64","2008-04-30",169560
"65","2008-05-01",168660
"66","2008-05-02",169920
"67","2008-05-05",169740
"68","2008-05-06",169920
"69","2008-05-07",169920
"70","2008-05-08",169920
"71","2008-05-09",169380
"72","2008-05-12",170100
"73","2008-05-13",168660
"74","2008-05-14",169200
"75","2008-05-15",169200
"76","2008-05-16",169740
"77","2008-05-19",168480
"78","2008-05-20",171180
"79","2008-05-21",171720
"80","2008-05-22",174960
"81","2008-05-23",173700
"82","2008-05-27",172620
"83","2008-05-28",172800
"84","2008-05-29",173160
"85","2008-05-30",174780
"86","2008-06-02",178020
"87","2008-06-03",177840
"88","2008-06-04",176760
"89","2008-06-05",178200
"90","2008-06-06",177300
"91","2008-06-09",177660
"92","2008-06-10",178200
"93","2008-06-11",176940
"94","2008-06-12",176040
"95","2008-06-13",177120
"96","2008-06-16",177300
"97","2008-06-17",177480
"98","2008-06-18",176400
"99","2008-06-19",176400
"100","2008-06-20",176400
"101","2008-06-23",176400
"102","2008-06-24",176940
"103","2008-06-25",176040
"104","2008-06-26",174060
"105","2008-06-27",175500
"106","2008-06-30",175860
"107","2008-07-01",176400
"108","2008-07-02",176760
"109","2008-07-03",177300
"110","2008-07-07",176940
"111","2008-07-08",176400
"112","2008-07-09",175500
"113","2008-07-10",174060
"114","2008-07-11",177120
"115","2008-07-14",177480
"116","2008-07-15",176940
"117","2008-07-16",176400
"118","2008-07-17",177840
"119","2008-07-18",176580
"120","2008-07-21",177300
"121","2008-07-22",177660
"122","2008-07-23",176760
"123","2008-07-24",177660
"124","2008-07-25",177300
"125","2008-07-28",173880
"126","2008-07-29",171000
"127","2008-07-30",172260
"128","2008-07-31",175500
"129","2008-08-01",173520
"130","2008-08-04",172800
"131","2008-08-05",174600
"132","2008-08-06",174600
"133","2008-08-07",177300
"134","2008-08-08",174240
"135","2008-08-11",177300
"136","2008-08-12",174960
"137","2008-08-13",176040
"138","2008-08-14",175500
"139","2008-08-15",175500
"140","2008-08-18",177300
"141","2008-08-19",177120
"142","2008-08-20",176400
"143","2008-08-21",175500
