"","date","TTD"
"1","2016-09-21",30.1
"2","2016-09-22",28.9
"3","2016-09-23",27.66
"4","2016-09-26",27.77
"5","2016-09-27",29.98
"6","2016-09-28",33.389999
"7","2016-09-29",28.99
"8","2016-09-30",29.209999
"9","2016-10-03",26.379999
"10","2016-10-04",23.83
"11","2016-10-05",24.780001
"12","2016-10-06",26.08
"13","2016-10-07",26.26
"14","2016-10-10",25.280001
"15","2016-10-11",25.52
"16","2016-10-12",26.9
"17","2016-10-13",25.969999
"18","2016-10-14",26.360001
"19","2016-10-17",26.27
"20","2016-10-18",25.879999
"21","2016-10-19",25.459999
"22","2016-10-20",26.49
"23","2016-10-21",27.48
"24","2016-10-24",28.52
"25","2016-10-25",28.799999
"26","2016-10-26",28.18
"27","2016-10-27",25.52
"28","2016-10-28",25.610001
"29","2016-10-31",25.18
"30","2016-11-01",25.24
"31","2016-11-02",24.43
"32","2016-11-03",22.9
"33","2016-11-04",23.870001
"34","2016-11-07",22.9
"35","2016-11-08",22.799999
"36","2016-11-09",22.950001
"37","2016-11-10",23.43
"38","2016-11-11",25.450001
"39","2016-11-14",25.77
"40","2016-11-15",25.25
"41","2016-11-16",25.360001
"42","2016-11-17",25.93
"43","2016-11-18",29.1
"44","2016-11-21",29.33
"45","2016-11-22",28.73
"46","2016-11-23",30.190001
"47","2016-11-25",29.08
"48","2016-11-28",26.700001
"49","2016-11-29",27.120001
"50","2016-11-30",26.58
"51","2016-12-01",26.08
"52","2016-12-02",26.200001
"53","2016-12-05",26.620001
"54","2016-12-06",28.1
"55","2016-12-07",27.58
"56","2016-12-08",27.41
"57","2016-12-09",27.469999
"58","2016-12-12",29.360001
"59","2016-12-13",29.290001
"60","2016-12-14",28
"61","2016-12-15",29.52
"62","2016-12-16",29.23
"63","2016-12-19",29.219999
"64","2016-12-20",31.1
"65","2016-12-21",30.360001
"66","2016-12-22",30.32
"67","2016-12-23",30.15
"68","2016-12-27",29.940001
"69","2016-12-28",28.49
"70","2016-12-29",28.379999
"71","2016-12-30",27.67
"72","2017-01-03",26.93
"73","2017-01-04",27.1
"74","2017-01-05",27.450001
