"","date","FEYE"
"1","2013-09-20",36
"2","2013-09-23",37.450001
"3","2013-09-24",37.009998
"4","2013-09-25",38.799999
"5","2013-09-26",41.630001
"6","2013-09-27",41.110001
"7","2013-09-30",41.529999
"8","2013-10-01",40.380001
"9","2013-10-02",40.700001
"10","2013-10-03",40.470001
"11","2013-10-04",42.689999
"12","2013-10-07",42.66
"13","2013-10-08",39.889999
"14","2013-10-09",38.810001
"15","2013-10-10",41.490002
"16","2013-10-11",42.07
"17","2013-10-14",41.549999
"18","2013-10-15",40.77
"19","2013-10-16",39.869999
"20","2013-10-17",42.200001
"21","2013-10-18",42.369999
"22","2013-10-21",41
"23","2013-10-22",39.849998
"24","2013-10-23",39.75
"25","2013-10-24",42.509998
"26","2013-10-25",41.220001
"27","2013-10-28",39.990002
"28","2013-10-29",40.220001
"29","2013-10-30",38.689999
"30","2013-10-31",37.900002
"31","2013-11-01",38.43
"32","2013-11-04",37.830002
"33","2013-11-05",37.360001
"34","2013-11-06",39.889999
"35","2013-11-07",38.029999
"36","2013-11-08",37.73
"37","2013-11-11",37.330002
"38","2013-11-12",36.73
"39","2013-11-13",38.66
"40","2013-11-14",38.669998
"41","2013-11-15",38.860001
"42","2013-11-18",37.27
"43","2013-11-19",36.009998
"44","2013-11-20",33.599998
"45","2013-11-21",34.220001
"46","2013-11-22",34.900002
"47","2013-11-25",33.709999
"48","2013-11-26",37.369999
"49","2013-11-27",38.240002
"50","2013-11-29",38.369999
"51","2013-12-02",37.09
"52","2013-12-03",37.009998
"53","2013-12-04",36.709999
"54","2013-12-05",36.75
"55","2013-12-06",36.59
"56","2013-12-09",36.93
"57","2013-12-10",37.599998
"58","2013-12-11",37.759998
"59","2013-12-12",37.459999
"60","2013-12-13",38.330002
"61","2013-12-16",38.939999
"62","2013-12-17",38.869999
"63","2013-12-18",39.360001
"64","2013-12-19",40.18
"65","2013-12-20",39.560001
"66","2013-12-23",39.790001
"67","2013-12-24",40.099998
"68","2013-12-26",43.43
"69","2013-12-27",43.130001
"70","2013-12-30",43.689999
"71","2013-12-31",43.610001
"72","2014-01-02",41.130001
"73","2014-01-03",57.02
"74","2014-01-06",58.509998
"75","2014-01-07",60.5
"76","2014-01-08",56.959999
"77","2014-01-09",57.900002
"78","2014-01-10",57.799999
"79","2014-01-13",55.639999
"80","2014-01-14",58.869999
"81","2014-01-15",65.449997
"82","2014-01-16",70.989998
"83","2014-01-17",73.57
"84","2014-01-21",69.440002
"85","2014-01-22",73.730003
"86","2014-01-23",73.169998
"87","2014-01-24",67.300003
"88","2014-01-27",68.279999
"89","2014-01-28",69.839996
"90","2014-01-29",68.309998
"91","2014-01-30",69.339996
"92","2014-01-31",72.989998
"93","2014-02-03",66.519997
"94","2014-02-04",66.839996
"95","2014-02-05",66.110001
"96","2014-02-06",66.269997
"97","2014-02-07",70.730003
"98","2014-02-10",76.849998
"99","2014-02-11",78.010002
"100","2014-02-12",69.080002
"101","2014-02-13",72.010002
"102","2014-02-14",74.349998
"103","2014-02-18",71.900002
"104","2014-02-19",71.080002
"105","2014-02-20",72.93
"106","2014-02-21",72.68
"107","2014-02-24",76.309998
"108","2014-02-25",80
"109","2014-02-26",84.129997
"110","2014-02-27",87.029999
"111","2014-02-28",85.639999
"112","2014-03-03",84.519997
"113","2014-03-04",88.190002
"114","2014-03-05",95.629997
"115","2014-03-06",89.550003
"116","2014-03-07",81.040001
"117","2014-03-10",80.300003
"118","2014-03-11",77.620003
"119","2014-03-12",77.660004
"120","2014-03-13",79.93
"121","2014-03-14",75.870003
"122","2014-03-17",76.050003
"123","2014-03-18",77.75
"124","2014-03-19",71.5
"125","2014-03-20",67.199997
"126","2014-03-21",69.660004
