"","date","AYRO"
"1","2007-01-03",187572
"2","2007-01-04",184615.203125
"3","2007-01-05",183321.59375
"4","2007-01-08",183321.59375
"5","2007-01-09",191822.40625
"6","2007-01-10",191083.203125
"7","2007-01-11",188865.59375
"8","2007-01-12",187202.40625
"9","2007-01-16",189235.203125
"10","2007-01-17",191822.40625
"11","2007-01-18",193300.796875
"12","2007-01-19",189050.40625
"13","2007-01-22",189974.40625
"14","2007-01-23",188865.59375
"15","2007-01-24",192192
"16","2007-01-25",190713.59375
"17","2007-01-26",187202.40625
"18","2007-01-29",184984.796875
"19","2007-01-30",187756.796875
"20","2007-01-31",189420
"21","2007-02-01",206236.796875
"22","2007-02-02",206791.203125
"23","2007-02-05",200138.40625
"24","2007-02-06",199214.40625
"25","2007-02-07",195888
"26","2007-02-08",193116
"27","2007-02-09",191637.59375
"28","2007-02-12",197736
"29","2007-02-13",199584
"30","2007-02-14",203095.203125
"31","2007-02-15",199584
"32","2007-02-16",206052
"33","2007-02-20",222684
"34","2007-02-21",222314.40625
"35","2007-02-22",220281.59375
"36","2007-02-23",212889.59375
"37","2007-02-26",217140
"38","2007-02-27",203464.796875
"39","2007-02-28",196257.59375
"40","2007-03-01",186648
"41","2007-03-02",184800
"42","2007-03-05",181658.40625
"43","2007-03-06",180180
"44","2007-03-07",184060.796875
"45","2007-03-08",184800
"46","2007-03-09",181843.203125
"47","2007-03-12",182952
"48","2007-03-13",178332
"49","2007-03-14",174081.59375
"50","2007-03-15",173157.59375
"51","2007-03-16",177962.40625
"52","2007-03-19",197920.796875
"53","2007-03-20",198105.59375
"54","2007-03-21",202356
"55","2007-03-22",209008.796875
"56","2007-03-23",214183.203125
"57","2007-03-26",214368
"58","2007-03-27",212150.40625
"59","2007-03-28",216216
"60","2007-03-29",203464.796875
"61","2007-03-30",207715.203125
"62","2007-04-02",211965.59375
"63","2007-04-03",219727.203125
"64","2007-04-04",217140
"65","2007-04-05",220651.203125
"66","2007-04-09",215476.796875
"67","2007-04-10",211596
"68","2007-04-11",213628.796875
"69","2007-04-12",213074.40625
"70","2007-04-13",215846.40625
"71","2007-04-16",229152
"72","2007-04-17",231000
"73","2007-04-18",238207.203125
"74","2007-04-19",239316
"75","2007-04-20",237283.203125
"76","2007-04-23",242088
"77","2007-04-24",240055.203125
"78","2007-04-25",237468
"79","2007-04-26",241164
"80","2007-04-27",242642.40625
"81","2007-04-30",248556
"82","2007-05-01",247632
"83","2007-05-02",247632
"84","2007-05-03",249480
"85","2007-05-04",247447.203125
"86","2007-05-07",247447.203125
"87","2007-05-08",243751.203125
"88","2007-05-09",242088
"89","2007-05-10",228412.796875
"90","2007-05-11",236728.796875
"91","2007-05-14",233217.59375
"92","2007-05-15",221390.40625
"93","2007-05-16",211411.203125
"94","2007-05-17",209378.40625
"95","2007-05-18",209378.40625
"96","2007-05-21",223608
"97","2007-05-22",221944.796875
"98","2007-05-23",220836
"99","2007-05-24",213813.59375
"100","2007-05-25",214552.796875
"101","2007-05-29",217509.59375
"102","2007-05-30",218988
"103","2007-05-31",224901.59375
"104","2007-06-01",225640.796875
"105","2007-06-04",223792.796875
"106","2007-06-05",223977.59375
"107","2007-06-06",219357.59375
"108","2007-06-07",213628.796875
"109","2007-06-08",214737.59375
"110","2007-06-11",220651.203125
"111","2007-06-12",215661.59375
"112","2007-06-13",217140
"113","2007-06-14",218988
"114","2007-06-15",219727.203125
"115","2007-06-18",221944.796875
"116","2007-06-19",223977.59375
"117","2007-06-20",225086.40625
"118","2007-06-21",225456
"119","2007-06-22",228782.40625
"120","2007-06-25",231554.40625
"121","2007-06-26",237098.40625
"122","2007-06-27",239685.59375
"123","2007-06-28",238392
"124","2007-06-29",239685.59375
"125","2007-07-02",247816.796875
"126","2007-07-03",254100
"127","2007-07-05",252991.203125
"128","2007-07-06",253730.40625
"129","2007-07-09",249664.796875
"130","2007-07-10",258535.203125
"131","2007-07-11",252806.40625
"132","2007-07-12",245229.59375
"133","2007-07-13",247632
"134","2007-07-16",249480
"135","2007-07-17",244305.59375
"136","2007-07-18",246153.59375
"137","2007-07-19",246708
"138","2007-07-20",247447.203125
"139","2007-07-23",248001.59375
"140","2007-07-24",246338.40625
"141","2007-07-25",244490.40625
"142","2007-07-26",244490.40625
"143","2007-07-27",239131.203125
"144","2007-07-30",239316
"145","2007-07-31",231000
"146","2007-08-01",217324.796875
"147","2007-08-02",221575.203125
"148","2007-08-03",211596
"149","2007-08-06",202725.59375
"150","2007-08-07",206976
"151","2007-08-08",208269.59375
"152","2007-08-09",202725.59375
"153","2007-08-10",202540.796875
"154","2007-08-13",206052
"155","2007-08-14",202725.59375
"156","2007-08-15",189420
"157","2007-08-16",179256
"158","2007-08-17",181104
"159","2007-08-20",198660
"160","2007-08-21",194594.40625
"161","2007-08-22",198844.796875
"162","2007-08-23",204388.796875
"163","2007-08-24",210487.203125
"164","2007-08-27",205312.796875
"165","2007-08-28",191822.40625
