"","date","MKL"
"1","2007-01-03",478.299988
"2","2007-01-04",479.899994
"3","2007-01-05",478.5
"4","2007-01-08",480
"5","2007-01-09",483.200012
"6","2007-01-10",487.200012
"7","2007-01-11",494
"8","2007-01-12",496.5
"9","2007-01-16",505.890015
"10","2007-01-17",501.049988
"11","2007-01-18",497.149994
"12","2007-01-19",499.109985
"13","2007-01-22",495.899994
"14","2007-01-23",496.940002
"15","2007-01-24",492
"16","2007-01-25",492
"17","2007-01-26",483.100006
"18","2007-01-29",484.459991
"19","2007-01-30",486.25
"20","2007-01-31",485.100006
"21","2007-02-01",488.630005
"22","2007-02-02",492.380005
"23","2007-02-05",497.380005
"24","2007-02-06",500
"25","2007-02-07",495.73999
"26","2007-02-08",499
"27","2007-02-09",496.950012
"28","2007-02-12",494
"29","2007-02-13",490.230011
"30","2007-02-14",494
"31","2007-02-15",494.98999
"32","2007-02-16",494.25
"33","2007-02-20",497.890015
"34","2007-02-21",494.980011
"35","2007-02-22",492.299988
"36","2007-02-23",492.200012
"37","2007-02-26",488.329987
"38","2007-02-27",478.570007
"39","2007-02-28",478.850006
"40","2007-03-01",482.25
"41","2007-03-02",484
"42","2007-03-05",478.850006
"43","2007-03-06",472
"44","2007-03-07",471
"45","2007-03-08",471.5
"46","2007-03-09",467
"47","2007-03-12",472
"48","2007-03-13",468.26001
"49","2007-03-14",466.600006
"50","2007-03-15",472.5
"51","2007-03-16",474.149994
"52","2007-03-19",475
"53","2007-03-20",478.98999
"54","2007-03-21",484.850006
"55","2007-03-22",482.799988
"56","2007-03-23",483.600006
"57","2007-03-26",485
"58","2007-03-27",480.320007
"59","2007-03-28",482.799988
"60","2007-03-29",478.200012
"61","2007-03-30",484.829987
"62","2007-04-02",483.5
"63","2007-04-03",483.75
"64","2007-04-04",486
"65","2007-04-05",485
"66","2007-04-09",484.940002
"67","2007-04-10",481.209991
"68","2007-04-11",480.290009
"69","2007-04-12",479.01001
"70","2007-04-13",475
"71","2007-04-16",477.100006
"72","2007-04-17",477.880005
"73","2007-04-18",477.549988
"74","2007-04-19",476.399994
"75","2007-04-20",476
"76","2007-04-23",477.410004
"77","2007-04-24",477.299988
"78","2007-04-25",477.540009
"79","2007-04-26",475
"80","2007-04-27",461.600006
"81","2007-04-30",458.910004
"82","2007-05-01",461
"83","2007-05-02",467.25
"84","2007-05-03",463.299988
"85","2007-05-04",466.51001
"86","2007-05-07",469.5
"87","2007-05-08",472.75
"88","2007-05-09",471.890015
"89","2007-05-10",468.809998
"90","2007-05-11",466
"91","2007-05-14",469.73999
"92","2007-05-15",478.01001
