"","date","MSA"
"1","2007-01-03",37.389999
"2","2007-01-04",37.66
"3","2007-01-05",37.400002
"4","2007-01-08",38.049999
"5","2007-01-09",38.119999
"6","2007-01-10",38.290001
"7","2007-01-11",38.950001
"8","2007-01-12",39.290001
"9","2007-01-16",38.880001
"10","2007-01-17",38.779999
"11","2007-01-18",38.23
"12","2007-01-19",38.549999
"13","2007-01-22",38.07
"14","2007-01-23",38.41
"15","2007-01-24",38.43
"16","2007-01-25",37.799999
"17","2007-01-26",38.049999
"18","2007-01-29",38.150002
"19","2007-01-30",38.389999
"20","2007-01-31",38.349998
"21","2007-02-01",38.779999
"22","2007-02-02",39.060001
"23","2007-02-05",39.029999
"24","2007-02-06",39.200001
"25","2007-02-07",39.560001
"26","2007-02-08",39.599998
"27","2007-02-09",39.32
"28","2007-02-12",39.119999
"29","2007-02-13",39.48
"30","2007-02-14",39.52
"31","2007-02-15",39.830002
"32","2007-02-16",40.139999
"33","2007-02-20",40.130001
"34","2007-02-21",40.209999
"35","2007-02-22",40.360001
"36","2007-02-23",40.200001
"37","2007-02-26",40.189999
"38","2007-02-27",41.25
"39","2007-02-28",40.650002
"40","2007-03-01",41.52
"41","2007-03-02",41.07
"42","2007-03-05",41
"43","2007-03-06",41.150002
"44","2007-03-07",40.830002
"45","2007-03-08",41.169998
"46","2007-03-09",41.029999
"47","2007-03-12",41.560001
"48","2007-03-13",40.790001
"49","2007-03-14",41.130001
"50","2007-03-15",41.48
"51","2007-03-16",40.91
"52","2007-03-19",41.580002
"53","2007-03-20",41.919998
"54","2007-03-21",43.470001
"55","2007-03-22",42.639999
"56","2007-03-23",42.73
"57","2007-03-26",42.619999
"58","2007-03-27",42.549999
"59","2007-03-28",42.450001
"60","2007-03-29",42.330002
"61","2007-03-30",42.060001
"62","2007-04-02",42.849998
"63","2007-04-03",43.220001
"64","2007-04-04",42.650002
"65","2007-04-05",42.700001
"66","2007-04-09",42.16
"67","2007-04-10",41.970001
"68","2007-04-11",41.93
"69","2007-04-12",42.209999
"70","2007-04-13",42.509998
"71","2007-04-16",43.669998
"72","2007-04-17",43.830002
"73","2007-04-18",43.68
"74","2007-04-19",42.860001
"75","2007-04-20",44.080002
"76","2007-04-23",43.740002
"77","2007-04-24",43.540001
"78","2007-04-25",43.919998
"79","2007-04-26",44.029999
"80","2007-04-27",43.330002
"81","2007-04-30",42.150002
"82","2007-05-01",42.93
"83","2007-05-02",43.34
"84","2007-05-03",43.380001
"85","2007-05-04",43.43
