"","date","KRNT"
"1","2015-04-02",14
"2","2015-04-06",13.53
"3","2015-04-07",13.84
"4","2015-04-08",13.56
"5","2015-04-09",13.54
"6","2015-04-10",14.44
"7","2015-04-13",14.36
"8","2015-04-14",14.86
"9","2015-04-15",15.5
"10","2015-04-16",15.7
"11","2015-04-17",14.41
"12","2015-04-20",14.685
"13","2015-04-21",14.99
"14","2015-04-22",14.99
"15","2015-04-23",14.82
"16","2015-04-24",14.9
"17","2015-04-27",14.77
"18","2015-04-28",14.59
"19","2015-04-29",14.4
"20","2015-04-30",14.9
"21","2015-05-01",14.56
"22","2015-05-04",13.76
"23","2015-05-05",13.495
"24","2015-05-06",13.55
"25","2015-05-07",14.42
"26","2015-05-08",14.94
"27","2015-05-11",14.99
"28","2015-05-12",14.455
"29","2015-05-13",14.77
"30","2015-05-14",15.29
"31","2015-05-15",15.6
"32","2015-05-18",16.639999
"33","2015-05-19",16.120001
"34","2015-05-20",16.48
"35","2015-05-21",16.549999
"36","2015-05-22",16.139999
"37","2015-05-26",15.3
"38","2015-05-27",14.6
"39","2015-05-28",14.27
"40","2015-05-29",14.27
"41","2015-06-01",14.4
"42","2015-06-02",15.08
"43","2015-06-03",14.43
"44","2015-06-04",14.7
"45","2015-06-05",14.35
"46","2015-06-08",13.14
"47","2015-06-09",13.3
"48","2015-06-10",13.54
"49","2015-06-11",13.63
"50","2015-06-12",13.94
"51","2015-06-15",13.89
"52","2015-06-16",14.66
"53","2015-06-17",14.09
"54","2015-06-18",14.02
"55","2015-06-19",14.56
"56","2015-06-22",14.28
"57","2015-06-23",14.58
"58","2015-06-24",14.51
"59","2015-06-25",14.51
"60","2015-06-26",14.44
"61","2015-06-29",14.26
"62","2015-06-30",13.76
"63","2015-07-01",13.75
"64","2015-07-02",13.34
"65","2015-07-06",14.37
"66","2015-07-07",14.19
"67","2015-07-08",14.14
"68","2015-07-09",14.53
"69","2015-07-10",14.5
"70","2015-07-13",14.45
"71","2015-07-14",14.2
"72","2015-07-15",14.16
"73","2015-07-16",14.1
"74","2015-07-17",14.05
"75","2015-07-20",14.16
"76","2015-07-21",14.25
"77","2015-07-22",14.51
"78","2015-07-23",14.75
"79","2015-07-24",14.7
"80","2015-07-27",14.8
"81","2015-07-28",14.59
"82","2015-07-29",14.69
"83","2015-07-30",14.63
"84","2015-07-31",14.54
"85","2015-08-03",14.85
"86","2015-08-04",14.97
"87","2015-08-05",14.44
"88","2015-08-06",14.32
"89","2015-08-07",13.64
"90","2015-08-10",13.93
"91","2015-08-11",13.5
"92","2015-08-12",13.12
"93","2015-08-13",13.26
"94","2015-08-14",13.16
"95","2015-08-17",13
"96","2015-08-18",13.11
"97","2015-08-19",13.2
"98","2015-08-20",13.32
"99","2015-08-21",13.56
"100","2015-08-24",13.19
"101","2015-08-25",13.43
"102","2015-08-26",13.11
"103","2015-08-27",13.13
"104","2015-08-28",12.78
"105","2015-08-31",12.25
"106","2015-09-01",11.79
"107","2015-09-02",11.92
"108","2015-09-03",12.06
"109","2015-09-04",12.04
"110","2015-09-08",12.34
"111","2015-09-09",12.36
"112","2015-09-10",12
"113","2015-09-11",12.71
"114","2015-09-14",12.39
"115","2015-09-15",13
"116","2015-09-16",12.78
"117","2015-09-17",12.97
