"","date","EGY"
"1","2007-01-03",6.58
"2","2007-01-04",6.52
"3","2007-01-05",6.53
"4","2007-01-08",6.65
"5","2007-01-09",6.58
"6","2007-01-10",6.36
"7","2007-01-11",6.42
"8","2007-01-12",6.6
"9","2007-01-16",6.54
"10","2007-01-17",6.57
"11","2007-01-18",6.38
"12","2007-01-19",6.43
"13","2007-01-22",6.25
"14","2007-01-23",6.49
"15","2007-01-24",6.4
"16","2007-01-25",6.24
"17","2007-01-26",6.39
"18","2007-01-29",6.32
"19","2007-01-30",6.55
"20","2007-01-31",6.51
"21","2007-02-01",6.46
"22","2007-02-02",6.41
"23","2007-02-05",6.38
"24","2007-02-06",6.46
"25","2007-02-07",6.38
"26","2007-02-08",6.55
"27","2007-02-09",6.75
"28","2007-02-12",6.65
"29","2007-02-13",6.93
"30","2007-02-14",6.65
"31","2007-02-15",6.51
"32","2007-02-16",6.6
"33","2007-02-20",6.59
"34","2007-02-21",6.64
"35","2007-02-22",6.93
"36","2007-02-23",6.84
"37","2007-02-26",6.82
"38","2007-02-27",6.52
"39","2007-02-28",6.42
"40","2007-03-01",6.36
"41","2007-03-02",6.1
"42","2007-03-05",5.68
"43","2007-03-06",5.71
"44","2007-03-07",5.74
"45","2007-03-08",5.36
"46","2007-03-09",5.26
"47","2007-03-12",5.05
"48","2007-03-13",4.84
"49","2007-03-14",4.75
"50","2007-03-15",4.69
"51","2007-03-16",4.61
"52","2007-03-19",4.88
"53","2007-03-20",4.98
"54","2007-03-21",5.1
"55","2007-03-22",5.21
"56","2007-03-23",5.16
"57","2007-03-26",5.21
"58","2007-03-27",5.04
"59","2007-03-28",5.21
"60","2007-03-29",5.22
"61","2007-03-30",5.18
"62","2007-04-02",5.06
"63","2007-04-03",5.05
"64","2007-04-04",5.01
"65","2007-04-05",5.01
"66","2007-04-09",5.25
"67","2007-04-10",5.63
"68","2007-04-11",5.5
"69","2007-04-12",5.63
"70","2007-04-13",5.84
"71","2007-04-16",5.76
"72","2007-04-17",5.53
"73","2007-04-18",5.46
"74","2007-04-19",5.3
"75","2007-04-20",5.62
"76","2007-04-23",5.8
"77","2007-04-24",5.65
"78","2007-04-25",5.65
"79","2007-04-26",5.55
"80","2007-04-27",5.55
"81","2007-04-30",5.4
"82","2007-05-01",5.24
"83","2007-05-02",5.4
"84","2007-05-03",5.27
"85","2007-05-04",5.54
"86","2007-05-07",5.57
"87","2007-05-08",5.48
"88","2007-05-09",5.69
"89","2007-05-10",5.28
"90","2007-05-11",5.33
"91","2007-05-14",5.3
"92","2007-05-15",5.07
"93","2007-05-16",5.07
"94","2007-05-17",5.18
"95","2007-05-18",5.15
"96","2007-05-21",5.27
"97","2007-05-22",5.1
"98","2007-05-23",5.12
"99","2007-05-24",4.99
"100","2007-05-25",4.99
"101","2007-05-29",4.98
"102","2007-05-30",4.9
"103","2007-05-31",4.79
"104","2007-06-01",4.86
"105","2007-06-04",4.97
"106","2007-06-05",4.97
"107","2007-06-06",4.89
"108","2007-06-07",4.79
"109","2007-06-08",4.82
"110","2007-06-11",4.72
"111","2007-06-12",4.62
"112","2007-06-13",4.68
"113","2007-06-14",4.77
"114","2007-06-15",4.92
"115","2007-06-18",4.96
"116","2007-06-19",5.08
"117","2007-06-20",4.93
"118","2007-06-21",5
"119","2007-06-22",4.94
"120","2007-06-25",4.93
"121","2007-06-26",4.81
"122","2007-06-27",4.92
"123","2007-06-28",4.9
"124","2007-06-29",4.83
"125","2007-07-02",4.97
"126","2007-07-03",5
"127","2007-07-05",4.91
"128","2007-07-06",4.92
"129","2007-07-09",5.01
"130","2007-07-10",5.06
"131","2007-07-11",5.06
"132","2007-07-12",5.06
"133","2007-07-13",5.05
"134","2007-07-16",4.98
"135","2007-07-17",5.02
"136","2007-07-18",5.25
"137","2007-07-19",5.41
"138","2007-07-20",5.25
"139","2007-07-23",5.26
"140","2007-07-24",5.02
"141","2007-07-25",5.04
"142","2007-07-26",4.87
"143","2007-07-27",4.76
"144","2007-07-30",4.71
"145","2007-07-31",4.76
"146","2007-08-01",4.79
"147","2007-08-02",4.82
"148","2007-08-03",4.64
"149","2007-08-06",4.36
"150","2007-08-07",4.32
"151","2007-08-08",4.25
"152","2007-08-09",4.09
"153","2007-08-10",4.25
"154","2007-08-13",4.07
"155","2007-08-14",4.05
"156","2007-08-15",3.91
"157","2007-08-16",3.87
"158","2007-08-17",3.84
"159","2007-08-20",3.84
"160","2007-08-21",3.78
"161","2007-08-22",3.8
"162","2007-08-23",3.68
"163","2007-08-24",3.75
"164","2007-08-27",3.71
"165","2007-08-28",3.68
"166","2007-08-29",3.79
"167","2007-08-30",3.8
"168","2007-08-31",3.92
"169","2007-09-04",3.88
"170","2007-09-05",3.75
"171","2007-09-06",3.81
"172","2007-09-07",3.72
"173","2007-09-10",3.85
"174","2007-09-11",4.09
"175","2007-09-12",4.25
"176","2007-09-13",4.2
"177","2007-09-14",4.21
"178","2007-09-17",4.39
"179","2007-09-18",4.65
"180","2007-09-19",4.85
"181","2007-09-20",4.75
"182","2007-09-21",4.84
"183","2007-09-24",4.62
"184","2007-09-25",4.56
"185","2007-09-26",4.66
"186","2007-09-27",4.62
"187","2007-09-28",4.57
"188","2007-10-01",4.78
"189","2007-10-02",4.9
"190","2007-10-03",4.72
"191","2007-10-04",4.74
"192","2007-10-05",4.77
"193","2007-10-08",4.7
"194","2007-10-09",4.85
"195","2007-10-10",4.76
"196","2007-10-11",4.72
"197","2007-10-12",4.73
"198","2007-10-15",4.75
"199","2007-10-16",4.79
"200","2007-10-17",4.79
"201","2007-10-18",4.8
"202","2007-10-19",4.7
"203","2007-10-22",4.67
"204","2007-10-23",4.73
"205","2007-10-24",4.73
"206","2007-10-25",4.76
"207","2007-10-26",4.79
"208","2007-10-29",4.96
"209","2007-10-30",4.99
"210","2007-10-31",5.08
"211","2007-11-01",4.81
"212","2007-11-02",4.82
"213","2007-11-05",4.7
"214","2007-11-06",4.82
"215","2007-11-07",4.66
"216","2007-11-08",4.49
"217","2007-11-09",4.78
"218","2007-11-12",4.63
"219","2007-11-13",4.8
"220","2007-11-14",4.8
"221","2007-11-15",4.79
"222","2007-11-16",4.68
"223","2007-11-19",4.76
"224","2007-11-20",4.82
"225","2007-11-21",4.7
"226","2007-11-23",4.69
"227","2007-11-26",4.72
"228","2007-11-27",4.63
"229","2007-11-28",4.63
"230","2007-11-29",4.53
"231","2007-11-30",4.36
"232","2007-12-03",4.2
"233","2007-12-04",4.12
"234","2007-12-05",4.56
"235","2007-12-06",4.78
"236","2007-12-07",4.72
"237","2007-12-10",4.79
"238","2007-12-11",4.67
"239","2007-12-12",4.69
"240","2007-12-13",4.74
"241","2007-12-14",4.6
"242","2007-12-17",4.57
"243","2007-12-18",4.59
"244","2007-12-19",4.76
"245","2007-12-20",5.02
"246","2007-12-21",5.17
"247","2007-12-24",5.4
"248","2007-12-26",4.98
"249","2007-12-27",4.74
"250","2007-12-28",4.69
"251","2007-12-31",4.65
"252","2008-01-02",4.65
"253","2008-01-03",4.76
"254","2008-01-04",4.59
"255","2008-01-07",4.76
"256","2008-01-08",4.62
"257","2008-01-09",4.81
"258","2008-01-10",4.87
"259","2008-01-11",4.9
"260","2008-01-14",4.98
"261","2008-01-15",5
"262","2008-01-16",5.13
"263","2008-01-17",5.12
"264","2008-01-18",4.75
"265","2008-01-22",4.3
"266","2008-01-23",4.35
"267","2008-01-24",4.5
"268","2008-01-25",4.51
"269","2008-01-28",4.62
"270","2008-01-29",4.73
"271","2008-01-30",4.54
"272","2008-01-31",4.49
"273","2008-02-01",4.45
"274","2008-02-04",4.4
"275","2008-02-05",4.3
"276","2008-02-06",4.21
"277","2008-02-07",4.29
"278","2008-02-08",4.26
"279","2008-02-11",4.19
"280","2008-02-12",4.23
"281","2008-02-13",4.45
"282","2008-02-14",4.44
"283","2008-02-15",4.35
"284","2008-02-19",4.4
"285","2008-02-20",4.52
"286","2008-02-21",4.4
"287","2008-02-22",4.32
"288","2008-02-25",4.41
"289","2008-02-26",4.41
"290","2008-02-27",4.46
"291","2008-02-28",4.42
"292","2008-02-29",4.46
"293","2008-03-03",4.51
"294","2008-03-04",4.54
"295","2008-03-05",4.65
"296","2008-03-06",4.45
"297","2008-03-07",4.57
"298","2008-03-10",4.67
"299","2008-03-11",4.89
"300","2008-03-12",5.15
"301","2008-03-13",5.05
"302","2008-03-14",4.9
"303","2008-03-17",4.72
"304","2008-03-18",5.03
"305","2008-03-19",4.81
"306","2008-03-20",4.89
"307","2008-03-24",4.96
"308","2008-03-25",5.03
"309","2008-03-26",5.41
"310","2008-03-27",5
"311","2008-03-28",5.03
"312","2008-03-31",4.97
"313","2008-04-01",5.02
"314","2008-04-02",5.32
"315","2008-04-03",5.56
"316","2008-04-04",5.58
"317","2008-04-07",5.9
"318","2008-04-08",5.81
"319","2008-04-09",5.89
"320","2008-04-10",5.61
"321","2008-04-11",5.58
"322","2008-04-14",5.82
"323","2008-04-15",6.15
"324","2008-04-16",6.17
"325","2008-04-17",6.02
"326","2008-04-18",6.57
"327","2008-04-21",6.45
"328","2008-04-22",6.58
"329","2008-04-23",6.47
"330","2008-04-24",6.46
"331","2008-04-25",6.54
"332","2008-04-28",6.61
"333","2008-04-29",6.32
"334","2008-04-30",6.48
"335","2008-05-01",6.49
"336","2008-05-02",6.4
"337","2008-05-05",6.64
"338","2008-05-06",6.85
"339","2008-05-07",6.7
"340","2008-05-08",6.67
"341","2008-05-09",6.8
"342","2008-05-12",7.02
"343","2008-05-13",7.35
"344","2008-05-14",7.19
"345","2008-05-15",7.31
"346","2008-05-16",7.54
"347","2008-05-19",7.8
"348","2008-05-20",7.98
"349","2008-05-21",7.94
"350","2008-05-22",7.96
"351","2008-05-23",7.96
"352","2008-05-27",7.82
"353","2008-05-28",7.89
"354","2008-05-29",7.39
"355","2008-05-30",7.36
"356","2008-06-02",7.46
"357","2008-06-03",7.41
"358","2008-06-04",6.85
"359","2008-06-05",7.35
"360","2008-06-06",7.6
"361","2008-06-09",7.77
"362","2008-06-10",7.68
"363","2008-06-11",7.65
"364","2008-06-12",7.73
"365","2008-06-13",7.8
"366","2008-06-16",7.88
"367","2008-06-17",8.28
