"","date","BASI"
"1","2007-01-03",5.41
"2","2007-01-04",5.39
"3","2007-01-05",5.36
"4","2007-01-08",5.44
"5","2007-01-09",5.47
"6","2007-01-10",5.43
"7","2007-01-11",5.5
"8","2007-01-12",5.43
"9","2007-01-16",5.45
"10","2007-01-17",5.46
"11","2007-01-18",5.49
"12","2007-01-19",5.5
"13","2007-01-22",5.46
"14","2007-01-23",5.41
"15","2007-01-24",5.37
"16","2007-01-25",5.35
"17","2007-01-26",5.38
"18","2007-01-29",5.35
"19","2007-01-30",5.32
"20","2007-01-31",5.38
"21","2007-02-01",5.47
"22","2007-02-02",5.41
"23","2007-02-05",5.49
"24","2007-02-06",5.5
"25","2007-02-07",5.41
"26","2007-02-08",6.1
"27","2007-02-09",6.23
"28","2007-02-12",6.36
"29","2007-02-13",6.65
"30","2007-02-14",6.92
"31","2007-02-15",6.81
"32","2007-02-16",6.48
"33","2007-02-20",6.85
"34","2007-02-21",6.87
"35","2007-02-22",6.94
"36","2007-02-23",6.85
"37","2007-02-26",6.88
"38","2007-02-27",6.69
"39","2007-02-28",6.6
"40","2007-03-01",6.79
"41","2007-03-02",6.35
"42","2007-03-05",6.45
"43","2007-03-06",6.48
"44","2007-03-07",6.42
"45","2007-03-08",6.45
"46","2007-03-09",6.4
"47","2007-03-12",6.45
"48","2007-03-13",6.46
"49","2007-03-14",6.47
"50","2007-03-15",6.49
"51","2007-03-16",6.49
"52","2007-03-19",6.9
"53","2007-03-20",7.05
"54","2007-03-21",7.24
"55","2007-03-22",7.19
"56","2007-03-23",7.15
"57","2007-03-26",7.23
"58","2007-03-27",7.01
"59","2007-03-28",6.73
"60","2007-03-29",6.66
"61","2007-03-30",6.7
"62","2007-04-02",7.09
"63","2007-04-03",7.14
"64","2007-04-04",7.24
"65","2007-04-05",7.22
"66","2007-04-09",7.17
"67","2007-04-10",7.19
"68","2007-04-11",7.21
"69","2007-04-12",7.19
"70","2007-04-13",7.09
"71","2007-04-16",7.26
"72","2007-04-17",7.23
"73","2007-04-18",7.46
"74","2007-04-19",7.33
"75","2007-04-20",7.4
"76","2007-04-23",7.38
"77","2007-04-24",7.41
"78","2007-04-25",7.4
"79","2007-04-26",7.62
"80","2007-04-27",7.5
"81","2007-04-30",7.51
"82","2007-05-01",7.51
"83","2007-05-02",7.64
"84","2007-05-03",7.48
"85","2007-05-04",7.74
"86","2007-05-07",7.69
"87","2007-05-08",7.66
"88","2007-05-09",6.71
"89","2007-05-10",6.89
"90","2007-05-11",7.06
"91","2007-05-14",7.05
"92","2007-05-15",7.24
"93","2007-05-16",7
"94","2007-05-17",7.1
"95","2007-05-18",7.15
"96","2007-05-21",7.15
"97","2007-05-22",7.06
"98","2007-05-23",7.01
"99","2007-05-24",6.9
"100","2007-05-25",6.88
"101","2007-05-29",6.83
"102","2007-05-30",6.8
"103","2007-05-31",7.19
"104","2007-06-01",7.18
"105","2007-06-04",7.28
"106","2007-06-05",7.26
"107","2007-06-06",6.92
"108","2007-06-07",7.22
"109","2007-06-08",7.05
"110","2007-06-11",7
"111","2007-06-12",7.12
"112","2007-06-13",6.99
"113","2007-06-14",6.98
"114","2007-06-15",6.83
"115","2007-06-18",6.8
"116","2007-06-19",7.37
"117","2007-06-20",7.45
"118","2007-06-21",7.49
"119","2007-06-22",7.11
"120","2007-06-25",7
"121","2007-06-26",7.13
"122","2007-06-27",7.15
"123","2007-06-28",7.2
"124","2007-06-29",7.23
"125","2007-07-02",7.23
"126","2007-07-03",7.16
"127","2007-07-05",7.12
"128","2007-07-06",7.11
"129","2007-07-09",7.03
"130","2007-07-10",7.16
"131","2007-07-11",7.11
"132","2007-07-12",7.09
"133","2007-07-13",7.06
"134","2007-07-16",7.27
"135","2007-07-17",7.3
"136","2007-07-18",7.3
"137","2007-07-19",7.36
"138","2007-07-20",7.28
"139","2007-07-23",7.28
"140","2007-07-24",7.28
"141","2007-07-25",7.37
"142","2007-07-26",7.1
"143","2007-07-27",7.4
"144","2007-07-30",7.07
"145","2007-07-31",6.9
"146","2007-08-01",6.9
"147","2007-08-02",6.76
"148","2007-08-03",6.73
"149","2007-08-06",6.78
"150","2007-08-07",7.4
"151","2007-08-08",6.95
"152","2007-08-09",6.95
"153","2007-08-10",7
"154","2007-08-13",7.3
"155","2007-08-14",7.55
"156","2007-08-15",7.21
"157","2007-08-16",7.21
"158","2007-08-17",6.91
"159","2007-08-20",6.94
"160","2007-08-21",7.29
"161","2007-08-22",7.29
"162","2007-08-23",7.35
"163","2007-08-24",7.35
"164","2007-08-27",7.25
"165","2007-08-28",6.97
"166","2007-08-29",7.09
"167","2007-08-30",6.78
"168","2007-08-31",6.78
"169","2007-09-04",6.89
"170","2007-09-05",6.89
"171","2007-09-06",6.89
"172","2007-09-07",6.89
"173","2007-09-10",6.73
"174","2007-09-11",6.65
"175","2007-09-12",6.65
"176","2007-09-13",6.68
"177","2007-09-14",6.69
"178","2007-09-17",6.69
"179","2007-09-18",6.69
"180","2007-09-19",6.99
"181","2007-09-20",6.9
"182","2007-09-21",6.86
"183","2007-09-24",7.04
"184","2007-09-25",7.04
"185","2007-09-26",7.04
"186","2007-09-27",7.04
"187","2007-09-28",6.96
"188","2007-10-01",7.49
"189","2007-10-02",7.05
"190","2007-10-03",7.12
"191","2007-10-04",7.16
"192","2007-10-05",7.16
"193","2007-10-08",7.38
"194","2007-10-09",7.38
"195","2007-10-10",7.2
"196","2007-10-11",7.2
"197","2007-10-12",7.6
"198","2007-10-15",7.5
"199","2007-10-16",7.69
"200","2007-10-17",7.74
"201","2007-10-18",7.47
"202","2007-10-19",7.86
"203","2007-10-22",7.77
"204","2007-10-23",8.86
"205","2007-10-24",8.72
"206","2007-10-25",8.79
"207","2007-10-26",8.7
"208","2007-10-29",8.7
"209","2007-10-30",8.6
"210","2007-10-31",8.8
"211","2007-11-01",8.6
"212","2007-11-02",8.3
"213","2007-11-05",8.65
"214","2007-11-06",8.6
"215","2007-11-07",8.21
"216","2007-11-08",8.2
"217","2007-11-09",8.2
"218","2007-11-12",8.43
"219","2007-11-13",8.35
"220","2007-11-14",8.38
"221","2007-11-15",8.54
"222","2007-11-16",8.47
"223","2007-11-19",8.55
"224","2007-11-20",8.26
"225","2007-11-21",8.25
"226","2007-11-23",8.3
"227","2007-11-26",8.3
"228","2007-11-27",8.5
"229","2007-11-28",8.55
"230","2007-11-29",8.35
"231","2007-11-30",8.64
"232","2007-12-03",8.79
"233","2007-12-04",8.77
"234","2007-12-05",8.72
"235","2007-12-06",8.85
"236","2007-12-07",9
"237","2007-12-10",9.24
"238","2007-12-11",9.03
"239","2007-12-12",9.14
"240","2007-12-13",8.95
"241","2007-12-14",9.15
"242","2007-12-17",9.11
"243","2007-12-18",8.82
"244","2007-12-19",8.82
"245","2007-12-20",8.9
"246","2007-12-21",9.06
"247","2007-12-24",9.06
"248","2007-12-26",8.75
"249","2007-12-27",8.86
"250","2007-12-28",8.81
