"","date","F"
"1","2007-01-03",7.51
"2","2007-01-04",7.7
"3","2007-01-05",7.62
"4","2007-01-08",7.73
"5","2007-01-09",7.79
"6","2007-01-10",7.73
"7","2007-01-11",7.77
"8","2007-01-12",7.89
"9","2007-01-16",7.94
"10","2007-01-17",8.04
"11","2007-01-18",8.18
"12","2007-01-19",8.3
"13","2007-01-22",8.41
"14","2007-01-23",8.3
"15","2007-01-24",8.2
"16","2007-01-25",8.22
"17","2007-01-26",8.42
"18","2007-01-29",8.37
"19","2007-01-30",8.2
"20","2007-01-31",8.13
"21","2007-02-01",8.29
"22","2007-02-02",8.23
"23","2007-02-05",8.33
"24","2007-02-06",8.54
"25","2007-02-07",8.56
"26","2007-02-08",8.55
"27","2007-02-09",8.73
"28","2007-02-12",8.65
"29","2007-02-13",8.45
"30","2007-02-14",8.51
"31","2007-02-15",8.6
"32","2007-02-16",8.53
"33","2007-02-20",8.65
"34","2007-02-21",8.47
"35","2007-02-22",8.35
"36","2007-02-23",8.3
"37","2007-02-26",8.26
"38","2007-02-27",7.78
"39","2007-02-28",7.91
"40","2007-03-01",7.77
"41","2007-03-02",7.59
"42","2007-03-05",7.58
"43","2007-03-06",7.64
"44","2007-03-07",7.62
"45","2007-03-08",7.93
"46","2007-03-09",7.93
"47","2007-03-12",7.82
"48","2007-03-13",7.64
"49","2007-03-14",7.51
"50","2007-03-15",7.59
"51","2007-03-16",7.55
"52","2007-03-19",7.82
"53","2007-03-20",7.88
"54","2007-03-21",8.01
"55","2007-03-22",8.08
"56","2007-03-23",7.89
"57","2007-03-26",7.87
"58","2007-03-27",7.85
"59","2007-03-28",7.98
"60","2007-03-29",7.95
"61","2007-03-30",7.89
"62","2007-04-02",8.09
"63","2007-04-03",8.08
"64","2007-04-04",8.04
"65","2007-04-05",8.01
"66","2007-04-09",8.08
"67","2007-04-10",8.19
"68","2007-04-11",8.13
"69","2007-04-12",8.09
"70","2007-04-13",8.02
"71","2007-04-16",8.03
"72","2007-04-17",7.85
"73","2007-04-18",7.82
"74","2007-04-19",7.74
"75","2007-04-20",7.75
"76","2007-04-23",7.83
"77","2007-04-24",7.82
"78","2007-04-25",7.88
"79","2007-04-26",8.2
"80","2007-04-27",8.05
"81","2007-04-30",8.04
"82","2007-05-01",8.05
