"","date","SBUX"
"1","2007-01-03",17.625
"2","2007-01-04",17.645
"3","2007-01-05",17.57
"4","2007-01-08",17.504999
"5","2007-01-09",17.43
"6","2007-01-10",17.375
"7","2007-01-11",17.905001
"8","2007-01-12",17.950001
"9","2007-01-16",18.110001
"10","2007-01-17",18.145
"11","2007-01-18",17.885
"12","2007-01-19",17.77
"13","2007-01-22",17.645
"14","2007-01-23",17.475
"15","2007-01-24",17.395
"16","2007-01-25",16.985001
"17","2007-01-26",16.940001
"18","2007-01-29",17.280001
"19","2007-01-30",17.280001
"20","2007-01-31",17.469999
"21","2007-02-01",17.205
"22","2007-02-02",17.135
"23","2007-02-05",17.01
"24","2007-02-06",16.834999
"25","2007-02-07",16.834999
"26","2007-02-08",16.709999
"27","2007-02-09",16.48
"28","2007-02-12",16.334999
"29","2007-02-13",16.33
"30","2007-02-14",16.67
"31","2007-02-15",16.610001
"32","2007-02-16",16.504999
"33","2007-02-20",16.41
"34","2007-02-21",16.200001
"35","2007-02-22",16.504999
"36","2007-02-23",16.375
"37","2007-02-26",16.004999
"38","2007-02-27",15.375
"39","2007-02-28",15.45
"40","2007-03-01",15.195
"41","2007-03-02",14.94
"42","2007-03-05",14.705
"43","2007-03-06",15
"44","2007-03-07",15.235
"45","2007-03-08",15.35
"46","2007-03-09",15.155
"47","2007-03-12",15.035
"48","2007-03-13",14.68
"49","2007-03-14",14.66
"50","2007-03-15",14.795
"51","2007-03-16",15.29
"52","2007-03-19",15.52
"53","2007-03-20",15.69
"54","2007-03-21",16.135
"55","2007-03-22",15.82
"56","2007-03-23",15.71
"57","2007-03-26",15.975
"58","2007-03-27",15.86
"59","2007-03-28",15.64
"60","2007-03-29",15.665
"61","2007-03-30",15.68
"62","2007-04-02",15.625
"63","2007-04-03",15.745
"64","2007-04-04",15.67
"65","2007-04-05",15.7
"66","2007-04-09",15.57
"67","2007-04-10",15.58
"68","2007-04-11",15.365
"69","2007-04-12",15.335
"70","2007-04-13",15.38
"71","2007-04-16",15.525
"72","2007-04-17",15.52
"73","2007-04-18",15.49
"74","2007-04-19",15.39
"75","2007-04-20",15.83
"76","2007-04-23",15.785
"77","2007-04-24",15.67
"78","2007-04-25",15.92
