"","date","HUGE"
"1","2018-06-08",17.285999
"2","2018-06-11",16.683001
"3","2018-06-12",14.874
"4","2018-06-13",15.276
"5","2018-06-14",14.874
"6","2018-06-15",14.874
"7","2018-06-18",16.08
"8","2018-06-19",20.301001
"9","2018-06-20",23.517
"10","2018-06-21",28.139999
"11","2018-06-22",26.733
"12","2018-06-25",29.948999
"13","2018-06-26",28.139999
"14","2018-06-27",25.125
"15","2018-06-28",25.326
"16","2018-06-29",25.929001
"17","2018-07-02",30.15
"18","2018-07-03",27.336
"19","2018-07-05",27.135
"20","2018-07-06",27.938999
"21","2018-07-09",27.135
"22","2018-07-10",28.341
"23","2018-07-11",26.129999
"24","2018-07-12",27.135
"25","2018-07-13",26.934
"26","2018-07-16",26.532
"27","2018-07-17",26.129999
"28","2018-07-18",26.129999
"29","2018-07-19",25.326
"30","2018-07-20",26.330999
"31","2018-07-23",26.330999
"32","2018-07-24",25.929001
"33","2018-07-25",25.125
"34","2018-07-26",25.125
"35","2018-07-27",25.125
"36","2018-07-30",25.125
"37","2018-07-31",24.723
"38","2018-08-01",21.306
"39","2018-08-02",22.110001
"40","2018-08-03",23.517
"41","2018-08-06",25.929001
"42","2018-08-07",21.306
"43","2018-08-08",20.301001
"44","2018-08-09",21.105
"45","2018-08-10",20.903999
"46","2018-08-13",20.1
"47","2018-08-14",20.301001
"48","2018-08-15",22.110001
"49","2018-08-16",21.708
"50","2018-08-17",20.1
"51","2018-08-20",22.110001
"52","2018-08-21",24.120001
"53","2018-08-22",25.125
"54","2018-08-23",26.129999
"55","2018-08-24",26.532
"56","2018-08-27",29.948999
"57","2018-08-28",28.139999
"58","2018-08-29",31.155001
"59","2018-08-30",32.16
"60","2018-08-31",39.195
"61","2018-09-04",51.858002
"62","2018-09-05",50.25
"63","2018-09-06",59.897999
"64","2018-09-07",76.379997
"65","2018-09-10",116.580002
"66","2018-09-11",106.529999
"67","2018-09-12",96.480003
"68","2018-09-13",88.440002
"69","2018-09-14",94.470001
"70","2018-09-17",104.519997
"71","2018-09-18",108.942001
"72","2018-09-19",118.589996
"73","2018-09-20",138.690002
"74","2018-09-21",139.695007
"75","2018-09-24",126.629997
"76","2018-09-25",112.761002
"77","2018-09-26",109.142998
"78","2018-09-27",110.348999
"79","2018-09-28",111.555
"80","2018-10-01",108.338997
"81","2018-10-02",96.278999
"82","2018-10-03",96.278999
"83","2018-10-04",94.872002
"84","2018-10-05",107.535004
"85","2018-10-08",118.589996
"86","2018-10-09",115.574997
"87","2018-10-10",110.550003
"88","2018-10-11",100.5
"89","2018-10-12",108.540001
"90","2018-10-15",112.559998
"91","2018-10-16",103.112999
"92","2018-10-17",100.5
"93","2018-10-18",90.449997
"94","2018-10-19",91.655998
"95","2018-10-22",73.566002
"96","2018-10-23",85.425003
"97","2018-10-24",84.219002
"98","2018-10-25",83.013
"99","2018-10-26",85.023003
"100","2018-10-29",71.958
"101","2018-10-30",65.726997
"102","2018-10-31",74.370003
"103","2018-11-01",74.570999
"104","2018-11-02",74.370003
"105","2018-11-05",71.153999
"106","2018-11-06",74.370003
"107","2018-11-07",76.179001
"108","2018-11-08",72.360001
"109","2018-11-09",71.556
"110","2018-11-12",66.330002
"111","2018-11-13",68.339996
"112","2018-11-14",64.32
"113","2018-11-15",66.128998
"114","2018-11-16",63.113998
"115","2018-11-19",57.888
"116","2018-11-20",51.858002
"117","2018-11-21",54.672001
"118","2018-11-23",50.853001
"119","2018-11-26",44.220001
"120","2018-11-27",42.612
"121","2018-11-28",53.466
"122","2018-11-29",54.27
"123","2018-11-30",60.299999
"124","2018-12-03",53.063999
"125","2018-12-04",50.25
"126","2018-12-06",48.240002
"127","2018-12-07",48.240002
"128","2018-12-10",48.039001
"129","2018-12-11",47.436001
"130","2018-12-12",47.436001
