"","date","AQMS"
"1","2015-07-31",5.35
"2","2015-08-03",5.025
"3","2015-08-04",4.99
"4","2015-08-05",5
"5","2015-08-06",5.15
"6","2015-08-07",5.42
"7","2015-08-10",5.31
"8","2015-08-11",5.36
"9","2015-08-12",5.49
"10","2015-08-13",5.36
"11","2015-08-14",5.44
"12","2015-08-17",5.5
"13","2015-08-18",5.5
"14","2015-08-19",5.19
"15","2015-08-20",4.88
"16","2015-08-21",5
"17","2015-08-24",4.78
"18","2015-08-25",5
"19","2015-08-26",5
"20","2015-08-27",4.92
"21","2015-08-28",5.2
"22","2015-08-31",4.99
"23","2015-09-01",4.85
"24","2015-09-02",4.84
"25","2015-09-03",4.98
"26","2015-09-04",4.96
"27","2015-09-08",5.07
"28","2015-09-09",5.09
"29","2015-09-10",5.05
"30","2015-09-11",5.45
"31","2015-09-14",5.26
"32","2015-09-15",5.23
"33","2015-09-16",5.38
"34","2015-09-17",5.375
"35","2015-09-18",4.94
"36","2015-09-21",5.01
"37","2015-09-22",4.9
"38","2015-09-23",4.98
"39","2015-09-24",4.92
"40","2015-09-25",4.9
"41","2015-09-28",4.89
"42","2015-09-29",4.92
"43","2015-09-30",5.07
"44","2015-10-01",5.08
"45","2015-10-02",5.11
"46","2015-10-05",5.13
"47","2015-10-06",5.14
"48","2015-10-07",5
"49","2015-10-08",5.06
"50","2015-10-09",5.08
"51","2015-10-12",5.14
"52","2015-10-13",5
"53","2015-10-14",5.19
"54","2015-10-15",5.09
"55","2015-10-16",5.175
"56","2015-10-19",5.11
"57","2015-10-20",5.19
"58","2015-10-21",4.9
"59","2015-10-22",4.89
"60","2015-10-23",4.93
"61","2015-10-26",5.05
"62","2015-10-27",4.86
"63","2015-10-28",4.847
"64","2015-10-29",4.98
"65","2015-10-30",5
"66","2015-11-02",4.89
"67","2015-11-03",5.01
"68","2015-11-04",5
"69","2015-11-05",4.991
"70","2015-11-06",5.02
"71","2015-11-09",5.1
"72","2015-11-10",5.357
"73","2015-11-11",5.19
"74","2015-11-12",5.3
