"","date","HCDI"
"1","2020-08-28",7.5
"2","2020-08-31",7.15
"3","2020-09-01",6.86
"4","2020-09-02",6.5
"5","2020-09-03",6.09
"6","2020-09-04",5.65
"7","2020-09-08",6.34
"8","2020-09-09",6.03
"9","2020-09-10",5.61
"10","2020-09-11",5.52
"11","2020-09-14",5.52
"12","2020-09-15",5.27
"13","2020-09-16",5.15
"14","2020-09-17",5.16
"15","2020-09-18",5.08
"16","2020-09-21",5.05
"17","2020-09-22",5.4
"18","2020-09-23",5.26
"19","2020-09-24",4.92
"20","2020-09-25",5.08
"21","2020-09-28",5.58
"22","2020-09-29",5.375
"23","2020-09-30",5.54
"24","2020-10-01",5.48
"25","2020-10-02",5.05
"26","2020-10-05",5.06
"27","2020-10-06",5.115
"28","2020-10-07",5.1
"29","2020-10-08",5.36
"30","2020-10-09",5.48
"31","2020-10-12",5.1
"32","2020-10-13",5.15
"33","2020-10-14",5.26
"34","2020-10-15",5.29
"35","2020-10-16",5.05
"36","2020-10-19",5.06
"37","2020-10-20",4.99
"38","2020-10-21",4.63
"39","2020-10-22",4.55
"40","2020-10-23",4.45
"41","2020-10-26",3.75
"42","2020-10-27",4.57
"43","2020-10-28",4.74
"44","2020-10-29",4.39
"45","2020-10-30",4.95
"46","2020-11-02",4.93
"47","2020-11-03",4.66
"48","2020-11-04",4.55
"49","2020-11-05",4.61
"50","2020-11-06",4.7
"51","2020-11-09",4.92
"52","2020-11-10",4.84
"53","2020-11-11",5.35
"54","2020-11-12",5.2
"55","2020-11-13",5.36
"56","2020-11-16",5.21
"57","2020-11-17",5.04
"58","2020-11-18",4.96
"59","2020-11-19",4.6
"60","2020-11-20",4.51
"61","2020-11-23",4.41
"62","2020-11-24",4.69
"63","2020-11-25",4.4
"64","2020-11-27",4.412
