"","date","NYMTP"
"1","2013-06-04",24.549999
"2","2013-06-05",24.5
"3","2013-06-06",24.639999
"4","2013-06-07",24.620001
"5","2013-06-10",24.799999
"6","2013-06-11",24.790001
"7","2013-06-12",24.450001
"8","2013-06-13",24.799999
"9","2013-06-14",24.85
"10","2013-06-17",24.950001
"11","2013-06-18",24.83
"12","2013-06-19",24.700001
"13","2013-06-20",24.17
"14","2013-06-21",23.860001
"15","2013-06-24",23
"16","2013-06-25",23.9
"17","2013-06-26",23.5
"18","2013-06-27",24.48
"19","2013-06-28",24.25
"20","2013-07-01",24.77
"21","2013-07-02",24.610001
"22","2013-07-03",24.459999
"23","2013-07-05",24.1
"24","2013-07-08",23.5
"25","2013-07-09",23.26
"26","2013-07-10",23.1
"27","2013-07-11",23.5
"28","2013-07-12",23.5
"29","2013-07-15",23.709999
"30","2013-07-16",23.450001
"31","2013-07-17",23.5
"32","2013-07-18",23.4
"33","2013-07-19",23.4
"34","2013-07-22",23.4
"35","2013-07-23",23.15
"36","2013-07-24",23.25
"37","2013-07-25",23.41
"38","2013-07-26",23.280001
"39","2013-07-29",23.1
"40","2013-07-30",23.25
"41","2013-07-31",23.48
"42","2013-08-01",23.299999
"43","2013-08-02",23.48
"44","2013-08-05",23.43
"45","2013-08-06",23.360001
"46","2013-08-07",23.15
"47","2013-08-08",23.200001
"48","2013-08-09",22.91
"49","2013-08-12",22.77
"50","2013-08-13",23
"51","2013-08-14",22.65
"52","2013-08-15",22.82
"53","2013-08-16",22.290001
"54","2013-08-19",20.700001
"55","2013-08-20",20.540001
"56","2013-08-21",20.32
"57","2013-08-22",20.799999
"58","2013-08-23",21.030001
"59","2013-08-26",21.540001
"60","2013-08-27",21.200001
"61","2013-08-28",20.57
"62","2013-08-29",21.540001
"63","2013-08-30",21.5
"64","2013-09-03",21.4
"65","2013-09-04",21.4
"66","2013-09-05",21.299999
"67","2013-09-06",21.25
"68","2013-09-09",21.110001
"69","2013-09-10",21.25
"70","2013-09-11",21.26
"71","2013-09-12",20.809999
"72","2013-09-13",21.299999
"73","2013-09-16",21.6
"74","2013-09-17",21.719999
"75","2013-09-18",21.65
"76","2013-09-19",21.98
"77","2013-09-20",21.26
"78","2013-09-23",21.700001
"79","2013-09-24",21.49
"80","2013-09-25",21.559999
