"","date","GPK"
"1","2007-01-03",4.43
"2","2007-01-04",4.45
"3","2007-01-05",4.27
"4","2007-01-08",4.26
"5","2007-01-09",4.22
"6","2007-01-10",4.25
"7","2007-01-11",4.3
"8","2007-01-12",4.44
"9","2007-01-16",4.52
"10","2007-01-17",4.44
"11","2007-01-18",4.36
"12","2007-01-19",4.33
"13","2007-01-22",4.4
"14","2007-01-23",4.43
"15","2007-01-24",4.51
"16","2007-01-25",4.47
"17","2007-01-26",4.55
"18","2007-01-29",4.5
"19","2007-01-30",4.73
"20","2007-01-31",4.83
"21","2007-02-01",4.99
"22","2007-02-02",5.14
"23","2007-02-05",5.08
"24","2007-02-06",4.95
"25","2007-02-07",5.01
"26","2007-02-08",5.03
"27","2007-02-09",5.03
"28","2007-02-12",5.12
"29","2007-02-13",5.2
"30","2007-02-14",5.42
"31","2007-02-15",5.42
"32","2007-02-16",5.35
"33","2007-02-20",5.62
"34","2007-02-21",5.51
"35","2007-02-22",5.44
"36","2007-02-23",5.13
"37","2007-02-26",5.2
"38","2007-02-27",4.88
"39","2007-02-28",4.8
"40","2007-03-01",4.84
"41","2007-03-02",4.63
"42","2007-03-05",4.41
"43","2007-03-06",4.8
"44","2007-03-07",4.65
"45","2007-03-08",4.56
"46","2007-03-09",4.69
"47","2007-03-12",4.73
"48","2007-03-13",4.53
"49","2007-03-14",4.6
"50","2007-03-15",4.73
"51","2007-03-16",4.44
"52","2007-03-19",4.7
"53","2007-03-20",4.8
"54","2007-03-21",4.8
"55","2007-03-22",5
"56","2007-03-23",4.98
"57","2007-03-26",5.02
"58","2007-03-27",4.93
"59","2007-03-28",4.84
"60","2007-03-29",4.71
"61","2007-03-30",4.74
"62","2007-04-02",4.86
"63","2007-04-03",4.97
"64","2007-04-04",5.11
"65","2007-04-05",5.09
"66","2007-04-09",4.98
"67","2007-04-10",5.01
"68","2007-04-11",4.9
"69","2007-04-12",5.04
"70","2007-04-13",5.09
"71","2007-04-16",5.35
"72","2007-04-17",5.26
"73","2007-04-18",4.98
"74","2007-04-19",5.07
"75","2007-04-20",5.28
"76","2007-04-23",5.16
"77","2007-04-24",5.15
"78","2007-04-25",5.29
"79","2007-04-26",5.28
"80","2007-04-27",5.1
"81","2007-04-30",5.13
"82","2007-05-01",5.21
"83","2007-05-02",5.27
"84","2007-05-03",5.14
"85","2007-05-04",5.11
"86","2007-05-07",5
"87","2007-05-08",5.07
"88","2007-05-09",5.12
"89","2007-05-10",4.98
"90","2007-05-11",5.03
"91","2007-05-14",4.95
"92","2007-05-15",4.83
"93","2007-05-16",5.07
"94","2007-05-17",4.99
"95","2007-05-18",5.03
"96","2007-05-21",5.02
"97","2007-05-22",5.09
"98","2007-05-23",5.04
"99","2007-05-24",4.97
"100","2007-05-25",4.95
"101","2007-05-29",5.04
"102","2007-05-30",4.93
"103","2007-05-31",4.94
"104","2007-06-01",4.96
"105","2007-06-04",4.97
"106","2007-06-05",4.89
"107","2007-06-06",4.88
"108","2007-06-07",4.75
"109","2007-06-08",4.78
"110","2007-06-11",4.75
"111","2007-06-12",4.71
"112","2007-06-13",4.72
"113","2007-06-14",4.77
"114","2007-06-15",5
"115","2007-06-18",4.95
"116","2007-06-19",5.04
"117","2007-06-20",4.91
"118","2007-06-21",4.85
"119","2007-06-22",4.94
"120","2007-06-25",5
"121","2007-06-26",5
"122","2007-06-27",5.02
"123","2007-06-28",4.99
"124","2007-06-29",4.84
"125","2007-07-02",4.99
"126","2007-07-03",4.97
"127","2007-07-05",4.91
"128","2007-07-06",4.91
"129","2007-07-09",4.89
"130","2007-07-10",5.76
"131","2007-07-11",5.75
"132","2007-07-12",6.05
"133","2007-07-13",6.03
"134","2007-07-16",6.02
"135","2007-07-17",5.94
"136","2007-07-18",5.88
"137","2007-07-19",5.88
"138","2007-07-20",5.66
"139","2007-07-23",5.6
"140","2007-07-24",5.51
"141","2007-07-25",5.34
"142","2007-07-26",4.78
"143","2007-07-27",4.52
"144","2007-07-30",4.5
"145","2007-07-31",4.44
"146","2007-08-01",4.46
"147","2007-08-02",4.57
"148","2007-08-03",4.26
"149","2007-08-06",4.52
"150","2007-08-07",4.28
"151","2007-08-08",4.78
"152","2007-08-09",5.15
"153","2007-08-10",5.05
"154","2007-08-13",4.75
"155","2007-08-14",4.6
"156","2007-08-15",4.32
"157","2007-08-16",4.45
"158","2007-08-17",4.67
"159","2007-08-20",4.86
"160","2007-08-21",4.82
"161","2007-08-22",5.01
"162","2007-08-23",4.93
"163","2007-08-24",5.01
"164","2007-08-27",4.95
"165","2007-08-28",4.61
"166","2007-08-29",4.92
"167","2007-08-30",4.72
"168","2007-08-31",4.76
"169","2007-09-04",4.74
"170","2007-09-05",4.54
"171","2007-09-06",4.59
"172","2007-09-07",4.42
"173","2007-09-10",4.3
"174","2007-09-11",4.74
"175","2007-09-12",4.49
"176","2007-09-13",4.42
"177","2007-09-14",4.48
"178","2007-09-17",4.43
"179","2007-09-18",4.79
"180","2007-09-19",5
"181","2007-09-20",4.61
"182","2007-09-21",4.66
"183","2007-09-24",4.44
