"","date","AFIN"
"1","2018-07-19",15
"2","2018-07-20",13.98
"3","2018-07-23",14.22
"4","2018-07-24",14.08
"5","2018-07-25",14.05
"6","2018-07-26",14.29
"7","2018-07-27",14.86
"8","2018-07-30",14.91
"9","2018-07-31",14.61
"10","2018-08-01",14.95
"11","2018-08-02",14.73
"12","2018-08-03",14.8
"13","2018-08-06",14.98
"14","2018-08-07",14.98
"15","2018-08-08",14.88
"16","2018-08-09",14.85
"17","2018-08-10",15.5
"18","2018-08-13",16
"19","2018-08-14",16.309999
"20","2018-08-15",16.34
"21","2018-08-16",16.43
"22","2018-08-17",16.42
"23","2018-08-20",16.49
"24","2018-08-21",16.4
"25","2018-08-22",16.49
"26","2018-08-23",16.629999
"27","2018-08-24",16.74
"28","2018-08-27",16.52
"29","2018-08-28",16.469999
"30","2018-08-29",16.35
"31","2018-08-30",15.86
"32","2018-08-31",15.75
"33","2018-09-04",15.64
"34","2018-09-05",15.99
"35","2018-09-06",15.89
"36","2018-09-07",15.54
"37","2018-09-10",16.25
"38","2018-09-11",16.219999
"39","2018-09-12",16.700001
"40","2018-09-13",16.690001
"41","2018-09-14",16.85
"42","2018-09-17",17
"43","2018-09-18",17.51
"44","2018-09-19",17.690001
"45","2018-09-20",17.76
"46","2018-09-21",17.530001
"47","2018-09-24",16.32
"48","2018-09-25",15.62
"49","2018-09-26",15.22
"50","2018-09-27",14.95
"51","2018-09-28",15.26
"52","2018-10-01",15.29
"53","2018-10-02",15.11
"54","2018-10-03",15.06
"55","2018-10-04",14.77
"56","2018-10-05",14.15
"57","2018-10-08",14.35
"58","2018-10-09",14.79
"59","2018-10-10",14.96
"60","2018-10-11",14.55
"61","2018-10-12",14.49
"62","2018-10-15",14.51
"63","2018-10-16",14
"64","2018-10-17",14.27
"65","2018-10-18",14.16
"66","2018-10-19",14.09
"67","2018-10-22",13.85
"68","2018-10-23",14
"69","2018-10-24",13.9
"70","2018-10-25",13.85
"71","2018-10-26",13.64
"72","2018-10-29",13.55
"73","2018-10-30",13.54
"74","2018-10-31",13.37
"75","2018-11-01",13.24
"76","2018-11-02",13.39
"77","2018-11-05",13.22
"78","2018-11-06",12.67
