"","date","HOV"
"1","2007-01-03",800.5
"2","2007-01-04",795
"3","2007-01-05",785.25
"4","2007-01-08",768
"5","2007-01-09",775.5
"6","2007-01-10",770
"7","2007-01-11",792.25
"8","2007-01-12",804.75
"9","2007-01-16",785.5
"10","2007-01-17",798.25
"11","2007-01-18",787
"12","2007-01-19",796.5
"13","2007-01-22",788.25
"14","2007-01-23",819
"15","2007-01-24",827.75
"16","2007-01-25",795.25
"17","2007-01-26",781
"18","2007-01-29",788
"19","2007-01-30",788.5
"20","2007-01-31",832.25
"21","2007-02-01",879.25
"22","2007-02-02",924.5
"23","2007-02-05",904
"24","2007-02-06",905
"25","2007-02-07",907.25
"26","2007-02-08",868.5
"27","2007-02-09",854.5
"28","2007-02-12",842.75
"29","2007-02-13",858.5
"30","2007-02-14",866
"31","2007-02-15",879.75
"32","2007-02-16",876.25
"33","2007-02-20",879.25
"34","2007-02-21",863
"35","2007-02-22",843.75
"36","2007-02-23",827.25
"37","2007-02-26",820.75
"38","2007-02-27",799.25
"39","2007-02-28",779
"40","2007-03-01",789
"41","2007-03-02",768.75
"42","2007-03-05",738.25
"43","2007-03-06",754
"44","2007-03-07",760
"45","2007-03-08",765
"46","2007-03-09",733.5
"47","2007-03-12",689.75
"48","2007-03-13",642.75
"49","2007-03-14",668.25
"50","2007-03-15",674.75
"51","2007-03-16",665
"52","2007-03-19",662.75
"53","2007-03-20",665.25
"54","2007-03-21",692.25
"55","2007-03-22",688.5
"56","2007-03-23",684.5
"57","2007-03-26",683.5
"58","2007-03-27",666
"59","2007-03-28",638.75
"60","2007-03-29",638
"61","2007-03-30",629
"62","2007-04-02",609.25
"63","2007-04-03",613.25
"64","2007-04-04",599
"65","2007-04-05",612.25
"66","2007-04-09",596.25
"67","2007-04-10",589
"68","2007-04-11",571.25
"69","2007-04-12",597.5
"70","2007-04-13",592.25
"71","2007-04-16",590.75
"72","2007-04-17",611
"73","2007-04-18",623.5
"74","2007-04-19",617
"75","2007-04-20",630
"76","2007-04-23",623.75
"77","2007-04-24",618
"78","2007-04-25",606
"79","2007-04-26",644.5
"80","2007-04-27",624
"81","2007-04-30",599.75
"82","2007-05-01",598
"83","2007-05-02",607.5
"84","2007-05-03",614.25
"85","2007-05-04",589.5
"86","2007-05-07",584.5
"87","2007-05-08",603
"88","2007-05-09",604
"89","2007-05-10",577.75
"90","2007-05-11",580
"91","2007-05-14",575
"92","2007-05-15",574.5
"93","2007-05-16",582.75
"94","2007-05-17",594.75
"95","2007-05-18",597.75
"96","2007-05-21",611.25
"97","2007-05-22",640.75
"98","2007-05-23",640.5
"99","2007-05-24",645.25
"100","2007-05-25",639.75
"101","2007-05-29",639.5
"102","2007-05-30",648.75
"103","2007-05-31",631.5
"104","2007-06-01",602.75
"105","2007-06-04",600.25
"106","2007-06-05",578.75
"107","2007-06-06",564.75
"108","2007-06-07",531
"109","2007-06-08",545
"110","2007-06-11",529.25
"111","2007-06-12",507.75
"112","2007-06-13",498.25
"113","2007-06-14",507.5
"114","2007-06-15",508.5
"115","2007-06-18",498.25
"116","2007-06-19",492.25
"117","2007-06-20",477
"118","2007-06-21",468.5
"119","2007-06-22",455
"120","2007-06-25",435
"121","2007-06-26",417
"122","2007-06-27",437
"123","2007-06-28",426.75
"124","2007-06-29",413.25
"125","2007-07-02",405.25
"126","2007-07-03",390.75
"127","2007-07-05",391
"128","2007-07-06",406.75
"129","2007-07-09",406.25
"130","2007-07-10",391.75
"131","2007-07-11",395.75
"132","2007-07-12",413.75
"133","2007-07-13",463.25
"134","2007-07-16",446
"135","2007-07-17",439.5
"136","2007-07-18",427.75
"137","2007-07-19",427
"138","2007-07-20",410.75
"139","2007-07-23",381.25
"140","2007-07-24",362.5
"141","2007-07-25",355.75
"142","2007-07-26",334
"143","2007-07-27",332
"144","2007-07-30",336.5
"145","2007-07-31",331
"146","2007-08-01",298.75
"147","2007-08-02",331.5
"148","2007-08-03",300.5
"149","2007-08-06",285.75
"150","2007-08-07",306.25
"151","2007-08-08",367.5
"152","2007-08-09",405.5
"153","2007-08-10",367.5
"154","2007-08-13",351.25
"155","2007-08-14",328.25
"156","2007-08-15",320
"157","2007-08-16",314.25
"158","2007-08-17",314.25
"159","2007-08-20",307.5
"160","2007-08-21",298.75
"161","2007-08-22",298.75
"162","2007-08-23",296.25
"163","2007-08-24",299.5
"164","2007-08-27",281.5
"165","2007-08-28",261.5
"166","2007-08-29",274.25
"167","2007-08-30",282.5
"168","2007-08-31",296.75
"169","2007-09-04",315
"170","2007-09-05",295.25
"171","2007-09-06",284.25
"172","2007-09-07",264
"173","2007-09-10",249.75
"174","2007-09-11",257.25
"175","2007-09-12",250
"176","2007-09-13",250.75
"177","2007-09-14",275
"178","2007-09-17",283.25
