"","date","MFH"
"1","2015-04-08",205.699997
"2","2015-04-09",210
"3","2015-04-10",212
"4","2015-04-13",211.199997
"5","2015-04-14",203.800003
"6","2015-04-15",203
"7","2015-04-16",202.600006
"8","2015-04-17",183.199997
"9","2015-04-20",184
"10","2015-04-21",185.800003
"11","2015-04-22",168.199997
"12","2015-04-23",176.800003
"13","2015-04-24",187
"14","2015-04-27",188
"15","2015-04-28",187.399994
"16","2015-04-29",179.600006
"17","2015-04-30",179
"18","2015-05-01",178
"19","2015-05-04",166
"20","2015-05-05",169.600006
"21","2015-05-06",164.600006
"22","2015-05-07",170
"23","2015-05-08",177.600006
"24","2015-05-11",177.199997
"25","2015-05-12",169.800003
"26","2015-05-13",167.839996
"27","2015-05-14",174.800003
"28","2015-05-15",169
"29","2015-05-18",165
"30","2015-05-19",165.600006
"31","2015-05-20",162
"32","2015-05-21",163.800003
"33","2015-05-22",165.600006
"34","2015-05-26",162.600006
"35","2015-05-27",161.399994
"36","2015-05-28",164.399994
"37","2015-05-29",164
"38","2015-06-01",171.600006
"39","2015-06-02",194.800003
"40","2015-06-03",208
"41","2015-06-04",239.800003
"42","2015-06-05",219.800003
"43","2015-06-08",207.800003
"44","2015-06-09",189.199997
"45","2015-06-10",197.600006
"46","2015-06-11",196.399994
"47","2015-06-12",206
"48","2015-06-15",194
"49","2015-06-16",187.800003
"50","2015-06-17",189.600006
"51","2015-06-18",189
"52","2015-06-19",186.800003
"53","2015-06-22",177
"54","2015-06-23",183.800003
"55","2015-06-24",184.800003
"56","2015-06-25",183.199997
"57","2015-06-26",176.800003
"58","2015-06-29",167.399994
"59","2015-06-30",160.199997
"60","2015-07-01",166.199997
"61","2015-07-02",165.399994
"62","2015-07-06",162.600006
"63","2015-07-07",123.400002
"64","2015-07-08",107.199997
"65","2015-07-09",115.599998
"66","2015-07-10",119.199997
"67","2015-07-13",123
"68","2015-07-14",126.800003
"69","2015-07-15",118.400002
"70","2015-07-16",123.800003
"71","2015-07-17",122
"72","2015-07-20",120
"73","2015-07-21",119.400002
"74","2015-07-22",115.199997
"75","2015-07-23",112.599998
"76","2015-07-24",108
"77","2015-07-27",95.400002
"78","2015-07-28",91.800003
"79","2015-07-29",90.199997
"80","2015-07-30",87.400002
"81","2015-07-31",84.400002
"82","2015-08-03",84
"83","2015-08-04",85
"84","2015-08-05",91.400002
"85","2015-08-06",97
"86","2015-08-07",106.199997
"87","2015-08-10",125.199997
"88","2015-08-11",122.400002
"89","2015-08-12",120
"90","2015-08-13",115.199997
"91","2015-08-14",114
"92","2015-08-17",118.400002
"93","2015-08-18",148
"94","2015-08-19",158.399994
"95","2015-08-20",161.600006
"96","2015-08-21",140.600006
"97","2015-08-24",118
"98","2015-08-25",116.400002
"99","2015-08-26",131.399994
"100","2015-08-27",147.800003
"101","2015-08-28",156.199997
"102","2015-08-31",156
"103","2015-09-01",136
"104","2015-09-02",137
"105","2015-09-03",148.800003
"106","2015-09-04",148.399994
"107","2015-09-08",160.600006
"108","2015-09-09",164.800003
"109","2015-09-10",169.600006
"110","2015-09-11",160.399994
"111","2015-09-14",162
"112","2015-09-15",154.600006
"113","2015-09-16",159
"114","2015-09-17",155.600006
"115","2015-09-18",156
"116","2015-09-21",145
"117","2015-09-22",140.600006
"118","2015-09-23",145.199997
"119","2015-09-24",140.600006
"120","2015-09-25",138.199997
"121","2015-09-28",126.199997
"122","2015-09-29",120.800003
"123","2015-09-30",128
"124","2015-10-01",150.199997
"125","2015-10-02",156
"126","2015-10-05",149.800003
"127","2015-10-06",146.399994
"128","2015-10-07",140.800003
"129","2015-10-08",142
"130","2015-10-09",147.600006
"131","2015-10-12",147.600006
"132","2015-10-13",157.600006
"133","2015-10-14",150
"134","2015-10-15",145
"135","2015-10-16",147.199997
"136","2015-10-19",147.199997
"137","2015-10-20",146
"138","2015-10-21",145.600006
"139","2015-10-22",135.199997
"140","2015-10-23",137.899994
"141","2015-10-26",134
"142","2015-10-27",139.800003
"143","2015-10-28",133.199997
"144","2015-10-29",139.800003
"145","2015-10-30",139.800003
"146","2015-11-02",139.199997
"147","2015-11-03",136.399994
