"","date","ARTL"
"1","2019-06-21",4.65
"2","2019-06-24",4.93
"3","2019-06-25",4.6
"4","2019-06-26",4.9
"5","2019-06-27",4.93
"6","2019-06-28",4.6
"7","2019-07-01",4
"8","2019-07-02",4.135
"9","2019-07-03",4.17
"10","2019-07-05",4.15
"11","2019-07-08",3.805
"12","2019-07-09",4.57
"13","2019-07-10",4.2
"14","2019-07-11",3.9
"15","2019-07-12",3.79
"16","2019-07-15",3.69
"17","2019-07-16",3.39
"18","2019-07-17",3.25
"19","2019-07-18",3.12
"20","2019-07-19",3.17
"21","2019-07-22",3.19
"22","2019-07-23",3.39
"23","2019-07-24",3.37
"24","2019-07-25",3.365
"25","2019-07-26",3.41
"26","2019-07-29",3.35
"27","2019-07-30",3.41
"28","2019-07-31",3.29
"29","2019-08-01",3.29
"30","2019-08-02",3.03
"31","2019-08-05",2.76
"32","2019-08-06",2.96
"33","2019-08-07",2.975
"34","2019-08-08",2.94
"35","2019-08-09",2.79
"36","2019-08-12",2.817
"37","2019-08-13",2.85
"38","2019-08-14",2.857
"39","2019-08-15",2.8
"40","2019-08-16",2.74
"41","2019-08-19",2.74
"42","2019-08-20",2.74
"43","2019-08-21",1.85
"44","2019-08-22",2.1
"45","2019-08-23",2
"46","2019-08-26",2.02
"47","2019-08-27",1.95
"48","2019-08-28",1.85
"49","2019-08-29",1.99
"50","2019-08-30",1.95
"51","2019-09-03",2.09
"52","2019-09-04",2.16
"53","2019-09-05",2.095
"54","2019-09-06",2.2
"55","2019-09-09",2.23
"56","2019-09-10",2.35
"57","2019-09-11",2.521
"58","2019-09-12",2.28
"59","2019-09-13",2.29
"60","2019-09-16",2.54
"61","2019-09-17",2.52
"62","2019-09-18",2.45
"63","2019-09-19",2.2
"64","2019-09-20",2.2
"65","2019-09-23",2.163
"66","2019-09-24",2.07
"67","2019-09-25",2.05
"68","2019-09-26",1.877
"69","2019-09-27",2.04
"70","2019-09-30",2.161
"71","2019-10-01",1.9
"72","2019-10-02",2.01
"73","2019-10-03",1.8
"74","2019-10-04",1.87
"75","2019-10-07",2.12
"76","2019-10-08",2.08
"77","2019-10-09",1.83
"78","2019-10-10",1.845
"79","2019-10-11",1.98
"80","2019-10-14",1.9
"81","2019-10-15",2
"82","2019-10-16",2.45
"83","2019-10-17",2.34
"84","2019-10-18",2.37
"85","2019-10-21",2.45
"86","2019-10-22",2.36
"87","2019-10-23",2.46
"88","2019-10-24",2.36
"89","2019-10-25",2.382
