"","date","FHB"
"1","2016-08-05",24.84
"2","2016-08-08",24.58
"3","2016-08-09",24.41
"4","2016-08-10",24.455
"5","2016-08-11",24.83
"6","2016-08-12",25.01
"7","2016-08-15",25.290001
"8","2016-08-16",25.209999
"9","2016-08-17",25.5
"10","2016-08-18",25.77
"11","2016-08-19",26.25
"12","2016-08-22",26.25
"13","2016-08-23",26.58
"14","2016-08-24",26.52
"15","2016-08-25",26.75
"16","2016-08-26",26.57
"17","2016-08-29",26.49
"18","2016-08-30",26.51
"19","2016-08-31",26.58
"20","2016-09-01",26.610001
"21","2016-09-02",27.190001
"22","2016-09-06",26.32
"23","2016-09-07",26.33
"24","2016-09-08",26.15
"25","2016-09-09",26.530001
"26","2016-09-12",26.719999
"27","2016-09-13",26.32
"28","2016-09-14",26.4
"29","2016-09-15",26.35
"30","2016-09-16",26.18
"31","2016-09-19",26.790001
"32","2016-09-20",26.780001
"33","2016-09-21",27.040001
"34","2016-09-22",26.799999
"35","2016-09-23",26.77
"36","2016-09-26",26.33
"37","2016-09-27",26.809999
"38","2016-09-28",26.620001
"39","2016-09-29",26.68
"40","2016-09-30",26.860001
"41","2016-10-03",26.42
"42","2016-10-04",26.74
"43","2016-10-05",26.299999
"44","2016-10-06",26.559999
"45","2016-10-07",26.82
"46","2016-10-10",26.860001
"47","2016-10-11",26.57
"48","2016-10-12",26.42
"49","2016-10-13",26.18
"50","2016-10-14",26.360001
"51","2016-10-17",26.26
"52","2016-10-18",26.700001
"53","2016-10-19",26.790001
"54","2016-10-20",26.85
"55","2016-10-21",26.77
"56","2016-10-24",27.280001
"57","2016-10-25",27.209999
"58","2016-10-26",26.93
"59","2016-10-27",26.9
"60","2016-10-28",27.059999
"61","2016-10-31",27.280001
"62","2016-11-01",26.799999
"63","2016-11-02",26.780001
"64","2016-11-03",26.77
"65","2016-11-04",26.73
"66","2016-11-07",26.700001
"67","2016-11-08",26.6
"68","2016-11-09",27.639999
"69","2016-11-10",28.93
"70","2016-11-11",28.84
"71","2016-11-14",29.860001
"72","2016-11-15",29.610001
"73","2016-11-16",29.48
"74","2016-11-17",29.6
"75","2016-11-18",29.83
"76","2016-11-21",30.48
"77","2016-11-22",30.959999
"78","2016-11-23",31.549999
"79","2016-11-25",31.66
"80","2016-11-28",30.860001
"81","2016-11-29",30.379999
"82","2016-11-30",29.99
"83","2016-12-01",31.389999
"84","2016-12-02",31.530001
"85","2016-12-05",32.5
"86","2016-12-06",33.189999
"87","2016-12-07",33.790001
"88","2016-12-08",33.599998
"89","2016-12-09",33.650002
"90","2016-12-12",32.709999
"91","2016-12-13",32.450001
"92","2016-12-14",32.34
"93","2016-12-15",32.84
"94","2016-12-16",32.82
"95","2016-12-19",33.200001
"96","2016-12-20",34.18
"97","2016-12-21",34.91
"98","2016-12-22",35.119999
"99","2016-12-23",35.029999
"100","2016-12-27",35.189999
"101","2016-12-28",35.049999
"102","2016-12-29",34.93
"103","2016-12-30",34.82
"104","2017-01-03",34.66
"105","2017-01-04",34.849998
"106","2017-01-05",34.720001
"107","2017-01-06",34.540001
"108","2017-01-09",33.959999
"109","2017-01-10",34.110001
"110","2017-01-11",33.32
