"","date","CHRA"
"1","2018-06-14",12
"2","2018-06-15",11.7
"3","2018-06-18",11.39
"4","2018-06-19",10.94
"5","2018-06-20",10.95
"6","2018-06-21",11.27
"7","2018-06-22",11.01
"8","2018-06-25",11.15
"9","2018-06-26",10.7
"10","2018-06-27",10.6
"11","2018-06-28",10.26
"12","2018-06-29",10.94
"13","2018-07-02",11
"14","2018-07-03",11.17
"15","2018-07-05",11.35
"16","2018-07-06",11.46
"17","2018-07-09",11.12
"18","2018-07-10",11.21
"19","2018-07-11",11.17
"20","2018-07-12",10.65
"21","2018-07-13",10.72
"22","2018-07-16",10.16
"23","2018-07-17",9.31
"24","2018-07-18",9.82
"25","2018-07-19",10.3
"26","2018-07-20",10.24
"27","2018-07-23",9.84
"28","2018-07-24",9.5
"29","2018-07-25",8.94
"30","2018-07-26",8.3
"31","2018-07-27",8.17
"32","2018-07-30",7.6
"33","2018-07-31",7.57
"34","2018-08-01",7.03
"35","2018-08-02",7.96
"36","2018-08-03",7.74
"37","2018-08-06",7.3
"38","2018-08-07",7.15
"39","2018-08-08",7.57
"40","2018-08-09",6.77
"41","2018-08-10",6.66
"42","2018-08-13",7.83
"43","2018-08-14",7.51
"44","2018-08-15",8.07
"45","2018-08-16",7.67
"46","2018-08-17",7.46
"47","2018-08-20",7.65
"48","2018-08-21",7.6
"49","2018-08-22",7.26
"50","2018-08-23",7.33
"51","2018-08-24",6.97
"52","2018-08-27",7
"53","2018-08-28",7.04
"54","2018-08-29",7.18
"55","2018-08-30",7.52
"56","2018-08-31",7.33
"57","2018-09-04",7.22
"58","2018-09-05",6.92
"59","2018-09-06",7.17
"60","2018-09-07",7
"61","2018-09-10",6.76
"62","2018-09-11",6.98
"63","2018-09-12",6.83
"64","2018-09-13",6.52
"65","2018-09-14",6.21
"66","2018-09-17",5.45
"67","2018-09-18",6.16
"68","2018-09-19",6.01
"69","2018-09-20",5.95
"70","2018-09-21",5.96
"71","2018-09-24",6.37
"72","2018-09-25",6.78
"73","2018-09-26",6.67
"74","2018-09-27",7.3
"75","2018-09-28",7.9
"76","2018-10-01",7.97
"77","2018-10-02",7.51
"78","2018-10-03",8.1
"79","2018-10-04",7.9
"80","2018-10-05",8.2
"81","2018-10-08",8.11
"82","2018-10-09",7.82
"83","2018-10-10",8.25
