"","date","VRS"
"1","2016-07-19",12
"2","2016-07-20",11.8
"3","2016-07-21",11.75
"4","2016-07-22",11.6
"5","2016-07-25",11.54
"6","2016-07-26",11.53
"7","2016-07-27",11.55
"8","2016-07-28",11.5
"9","2016-07-29",11.65
"10","2016-08-01",11.75
"11","2016-08-02",11.3
"12","2016-08-03",11.07
"13","2016-08-04",10.75
"14","2016-08-05",10.739
"15","2016-08-08",10.19
"16","2016-08-09",9.81
"17","2016-08-10",10.05
"18","2016-08-11",10.32
"19","2016-08-12",10.65
"20","2016-08-15",10.54
"21","2016-08-16",8.5
"22","2016-08-17",7.11
"23","2016-08-18",6.2
"24","2016-08-19",5.94
"25","2016-08-22",5.82
"26","2016-08-23",5.66
"27","2016-08-24",5.95
"28","2016-08-25",6.17
"29","2016-08-26",6.1
"30","2016-08-29",6.1
"31","2016-08-30",6.09
"32","2016-08-31",6.31
"33","2016-09-01",6.41
"34","2016-09-02",7.09
"35","2016-09-06",7.79
"36","2016-09-07",7.94
"37","2016-09-08",7.8
"38","2016-09-09",7.62
"39","2016-09-12",7.63
"40","2016-09-13",7.49
"41","2016-09-14",7.4
"42","2016-09-15",7.2
"43","2016-09-16",6.87
"44","2016-09-19",6.96
"45","2016-09-20",6.98
"46","2016-09-21",6.85
"47","2016-09-22",6.91
"48","2016-09-23",6.79
"49","2016-09-26",6.82
"50","2016-09-27",6.63
"51","2016-09-28",6.68
"52","2016-09-29",6.53
"53","2016-09-30",6.45
"54","2016-10-03",6.7
"55","2016-10-04",6.49
"56","2016-10-05",6.59
"57","2016-10-06",6.42
"58","2016-10-07",6.23
"59","2016-10-10",6.39
"60","2016-10-11",6.29
"61","2016-10-12",6.08
"62","2016-10-13",6.12
"63","2016-10-14",6.09
"64","2016-10-17",6.18
"65","2016-10-18",6.31
"66","2016-10-19",6.36
"67","2016-10-20",6.25
"68","2016-10-21",6.23
"69","2016-10-24",6
"70","2016-10-25",6.01
"71","2016-10-26",5.94
"72","2016-10-27",5.72
"73","2016-10-28",5.85
"74","2016-10-31",6.14
"75","2016-11-01",5.68
"76","2016-11-02",5.59
"77","2016-11-03",5.39
"78","2016-11-04",4.95
"79","2016-11-07",4.819
"80","2016-11-08",5.02
"81","2016-11-09",5.13
"82","2016-11-10",5.24
"83","2016-11-11",5.32
"84","2016-11-14",5.88
"85","2016-11-15",5.7
"86","2016-11-16",5.45
"87","2016-11-17",5.36
"88","2016-11-18",5.36
"89","2016-11-21",5.34
"90","2016-11-22",5.22
"91","2016-11-23",5.47
"92","2016-11-25",5.47
"93","2016-11-28",5.37
"94","2016-11-29",5.28
"95","2016-11-30",5.35
"96","2016-12-01",5.46
"97","2016-12-02",5.29
"98","2016-12-05",5.39
"99","2016-12-06",5.38
"100","2016-12-07",6.2
"101","2016-12-08",6.97
"102","2016-12-09",6.86
"103","2016-12-12",6.8
"104","2016-12-13",6.77
"105","2016-12-14",6.74
"106","2016-12-15",6.7
"107","2016-12-16",7.16
"108","2016-12-19",6.6
"109","2016-12-20",6.63
"110","2016-12-21",6.75
"111","2016-12-22",6.65
"112","2016-12-23",7.09
"113","2016-12-27",6.8
"114","2016-12-28",6.77
"115","2016-12-29",6.93
"116","2016-12-30",7.1
"117","2017-01-03",6.82
"118","2017-01-04",6.71
"119","2017-01-05",6.56
"120","2017-01-06",6.41
"121","2017-01-09",6.53
"122","2017-01-10",6.69
"123","2017-01-11",6.92
"124","2017-01-12",7.05
"125","2017-01-13",7.05
"126","2017-01-17",7.05
"127","2017-01-18",7.04
"128","2017-01-19",7
"129","2017-01-20",6.99
"130","2017-01-23",7.29
"131","2017-01-24",7.36
"132","2017-01-25",7.49
"133","2017-01-26",7.75
"134","2017-01-27",8.03
"135","2017-01-30",8.08
"136","2017-01-31",8.09
"137","2017-02-01",7.95
"138","2017-02-02",7.87
"139","2017-02-03",7.98
"140","2017-02-06",7.96
"141","2017-02-07",7.94
"142","2017-02-08",7.97
"143","2017-02-09",7.93
"144","2017-02-10",7.85
"145","2017-02-13",7.94
"146","2017-02-14",7.99
"147","2017-02-15",8.05
"148","2017-02-16",8.15
"149","2017-02-17",8.27
"150","2017-02-21",8.26
"151","2017-02-22",8.23
"152","2017-02-23",8.09
"153","2017-02-24",8.02
"154","2017-02-27",7.93
"155","2017-02-28",7.83
"156","2017-03-01",7.97
"157","2017-03-02",7.85
"158","2017-03-03",7.94
"159","2017-03-06",7.81
"160","2017-03-07",7.6
"161","2017-03-08",7.42
"162","2017-03-09",7.16
"163","2017-03-10",6.98
"164","2017-03-13",6.8
"165","2017-03-14",6.66
"166","2017-03-15",6.52
"167","2017-03-16",6.35
"168","2017-03-17",6.14
"169","2017-03-20",6.14
"170","2017-03-21",6.02
"171","2017-03-22",5.87
"172","2017-03-23",5.82
"173","2017-03-24",5.77
"174","2017-03-27",5.7
"175","2017-03-28",5.77
"176","2017-03-29",5.84
"177","2017-03-30",6
"178","2017-03-31",6
"179","2017-04-03",5.86
"180","2017-04-04",5.82
"181","2017-04-05",5.69
"182","2017-04-06",5.7
"183","2017-04-07",5.64
"184","2017-04-10",5.46
"185","2017-04-11",5.5
"186","2017-04-12",5.4
"187","2017-04-13",5.94
"188","2017-04-17",5.76
"189","2017-04-18",5.49
"190","2017-04-19",5.56
"191","2017-04-20",5.8
"192","2017-04-21",5.82
"193","2017-04-24",5.72
"194","2017-04-25",5.78
"195","2017-04-26",5.8
"196","2017-04-27",5.8
"197","2017-04-28",6.07
"198","2017-05-01",5.98
"199","2017-05-02",5.79
"200","2017-05-03",5.56
"201","2017-05-04",5.85
"202","2017-05-05",5.71
"203","2017-05-08",5.7
"204","2017-05-09",5.75
"205","2017-05-10",5.78
"206","2017-05-11",5.84
"207","2017-05-12",6.07
"208","2017-05-15",4.83
"209","2017-05-16",4.72
"210","2017-05-17",4.25
"211","2017-05-18",3.86
"212","2017-05-19",3.67
"213","2017-05-22",3.58
"214","2017-05-23",3.81
"215","2017-05-24",3.69
"216","2017-05-25",3.41
