"","date","CTG"
"1","2007-01-03",4.75
"2","2007-01-04",4.75
"3","2007-01-05",4.75
"4","2007-01-08",4.75
"5","2007-01-09",4.75
"6","2007-01-10",4.79
"7","2007-01-11",4.72
"8","2007-01-12",4.67
"9","2007-01-16",4.7
"10","2007-01-17",4.7
"11","2007-01-18",4.71
"12","2007-01-19",4.7
"13","2007-01-22",4.68
"14","2007-01-23",4.6
"15","2007-01-24",4.75
"16","2007-01-25",4.7
"17","2007-01-26",4.7
"18","2007-01-29",4.7
"19","2007-01-30",4.78
"20","2007-01-31",4.7
"21","2007-02-01",4.7
"22","2007-02-02",4.7
"23","2007-02-05",4.7
"24","2007-02-06",4.71
"25","2007-02-07",4.71
"26","2007-02-08",4.7
"27","2007-02-09",4.71
"28","2007-02-12",4.7
"29","2007-02-13",4.7
"30","2007-02-14",4.7
"31","2007-02-15",4.7
"32","2007-02-16",4.78
"33","2007-02-20",4.65
"34","2007-02-21",4.64
"35","2007-02-22",4.62
"36","2007-02-23",4.6
"37","2007-02-26",4.27
"38","2007-02-27",4.56
"39","2007-02-28",4.68
"40","2007-03-01",4.59
"41","2007-03-02",4.56
"42","2007-03-05",4.6
"43","2007-03-06",4.59
"44","2007-03-07",4.5
"45","2007-03-08",4.53
"46","2007-03-09",4.54
"47","2007-03-12",4.5
"48","2007-03-13",4.55
"49","2007-03-14",4.5
"50","2007-03-15",4.53
"51","2007-03-16",4.5
"52","2007-03-19",4.55
"53","2007-03-20",4.56
"54","2007-03-21",4.51
"55","2007-03-22",4.5
"56","2007-03-23",4.54
"57","2007-03-26",4.53
"58","2007-03-27",4.51
"59","2007-03-28",4.54
"60","2007-03-29",4.55
"61","2007-03-30",4.51
"62","2007-04-02",4.59
"63","2007-04-03",4.51
"64","2007-04-04",4.51
"65","2007-04-05",4.56
"66","2007-04-09",4.61
"67","2007-04-10",4.57
"68","2007-04-11",4.55
"69","2007-04-12",4.6
"70","2007-04-13",4.6
"71","2007-04-16",4.47
"72","2007-04-17",4.54
"73","2007-04-18",4.52
"74","2007-04-19",4.55
"75","2007-04-20",4.53
"76","2007-04-23",4.53
"77","2007-04-24",4.55
"78","2007-04-25",4.56
"79","2007-04-26",4.52
"80","2007-04-27",4.51
"81","2007-04-30",4.48
"82","2007-05-01",4.49
"83","2007-05-02",4.55
"84","2007-05-03",4.5
"85","2007-05-04",4.55
"86","2007-05-07",4.47
"87","2007-05-08",4.57
"88","2007-05-09",4.52
"89","2007-05-10",4.52
"90","2007-05-11",4.52
"91","2007-05-14",4.53
"92","2007-05-15",4.55
"93","2007-05-16",4.53
"94","2007-05-17",4.5
"95","2007-05-18",4.5
"96","2007-05-21",4.56
"97","2007-05-22",4.6
"98","2007-05-23",4.6
"99","2007-05-24",4.62
"100","2007-05-25",4.69
"101","2007-05-29",4.53
"102","2007-05-30",4.58
"103","2007-05-31",4.71
"104","2007-06-01",4.89
"105","2007-06-04",4.59
"106","2007-06-05",4.6
"107","2007-06-06",4.6
"108","2007-06-07",4.58
"109","2007-06-08",4.39
"110","2007-06-11",4.55
"111","2007-06-12",4.36
"112","2007-06-13",4.49
"113","2007-06-14",4.52
"114","2007-06-15",4.52
"115","2007-06-18",4.45
"116","2007-06-19",4.5
"117","2007-06-20",4.5
"118","2007-06-21",4.5
"119","2007-06-22",4.6
"120","2007-06-25",4.32
"121","2007-06-26",4.38
"122","2007-06-27",4.53
"123","2007-06-28",4.39
"124","2007-06-29",4.43
"125","2007-07-02",4.43
"126","2007-07-03",4.38
"127","2007-07-05",4.39
"128","2007-07-06",4.44
"129","2007-07-09",4.44
"130","2007-07-10",4.49
"131","2007-07-11",4.48
"132","2007-07-12",4.46
"133","2007-07-13",4.51
"134","2007-07-16",4.45
"135","2007-07-17",4.41
"136","2007-07-18",4.41
"137","2007-07-19",4.37
"138","2007-07-20",4.38
