"","date","VREX"
"1","2017-01-23",27
"2","2017-01-24",27.299999
"3","2017-01-25",27.75
"4","2017-01-26",26.690001
"5","2017-01-27",25.41
"6","2017-01-30",27.27
"7","2017-01-31",28.75
"8","2017-02-01",30.4
"9","2017-02-02",30.25
"10","2017-02-03",30.6
"11","2017-02-06",30.58
"12","2017-02-07",29.99
"13","2017-02-08",29.84
"14","2017-02-09",30.26
"15","2017-02-10",30.15
"16","2017-02-13",29.629999
"17","2017-02-14",29.959999
"18","2017-02-15",29.93
"19","2017-02-16",31.08
"20","2017-02-17",32.68
"21","2017-02-21",33.209999
"22","2017-02-22",33.310001
"23","2017-02-23",34.040001
"24","2017-02-24",34.709999
"25","2017-02-27",35.139999
"26","2017-02-28",34.82
"27","2017-03-01",34.599998
"28","2017-03-02",33.689999
"29","2017-03-03",33.150002
"30","2017-03-06",32.869999
"31","2017-03-07",32.889999
"32","2017-03-08",31.98
"33","2017-03-09",32.34
"34","2017-03-10",31.68
"35","2017-03-13",31.76
"36","2017-03-14",30.969999
"37","2017-03-15",30.940001
"38","2017-03-16",30.629999
"39","2017-03-17",30.59
"40","2017-03-20",30.92
"41","2017-03-21",30.35
"42","2017-03-22",30.719999
"43","2017-03-23",31.09
"44","2017-03-24",31.01
"45","2017-03-27",31.469999
"46","2017-03-28",32.040001
"47","2017-03-29",32.669998
"48","2017-03-30",33.34
"49","2017-03-31",33.599998
"50","2017-04-03",33.200001
"51","2017-04-04",33.130001
"52","2017-04-05",32.77
"53","2017-04-06",33.110001
"54","2017-04-07",32.889999
"55","2017-04-10",33.75
"56","2017-04-11",33.189999
"57","2017-04-12",33.32
"58","2017-04-13",33.84
"59","2017-04-17",34
"60","2017-04-18",34.650002
"61","2017-04-19",35.540001
"62","2017-04-20",36.040001
"63","2017-04-21",35.110001
"64","2017-04-24",34.669998
"65","2017-04-25",34
"66","2017-04-26",33.84
"67","2017-04-27",33.700001
"68","2017-04-28",33.560001
"69","2017-05-01",34.049999
"70","2017-05-02",33.880001
"71","2017-05-03",33.68
"72","2017-05-04",33.25
"73","2017-05-05",33.900002
"74","2017-05-08",33.689999
"75","2017-05-09",34.09
"76","2017-05-10",33.990002
"77","2017-05-11",34.490002
"78","2017-05-12",34.400002
"79","2017-05-15",34.560001
"80","2017-05-16",34.509998
"81","2017-05-17",34.560001
"82","2017-05-18",34.380001
"83","2017-05-19",34.220001
"84","2017-05-22",33.869999
"85","2017-05-23",33
"86","2017-05-24",33.43
"87","2017-05-25",34.130001
"88","2017-05-26",34.91
"89","2017-05-30",34.830002
"90","2017-05-31",34.349998
"91","2017-06-01",34.459999
"92","2017-06-02",34.700001
"93","2017-06-05",34.299999
"94","2017-06-06",33.529999
"95","2017-06-07",33.18
"96","2017-06-08",34.130001
"97","2017-06-09",33.360001
"98","2017-06-12",33.93
"99","2017-06-13",34.75
"100","2017-06-14",34.349998
"101","2017-06-15",34.080002
"102","2017-06-16",33.93
"103","2017-06-19",34.799999
"104","2017-06-20",34.68
"105","2017-06-21",34.200001
"106","2017-06-22",34.610001
"107","2017-06-23",34
"108","2017-06-26",33.919998
"109","2017-06-27",33.950001
"110","2017-06-28",34.009998
"111","2017-06-29",34.139999
"112","2017-06-30",33.799999
"113","2017-07-03",34.080002
"114","2017-07-05",34.18
"115","2017-07-06",33.610001
"116","2017-07-07",33.68
"117","2017-07-10",33.099998
"118","2017-07-11",32.98
