"","date","GERN"
"1","2007-01-03",8.279773
"2","2007-01-04",8.572779
"3","2007-01-05",8.62949
"4","2007-01-08",8.402646
"5","2007-01-09",8.374291
"6","2007-01-10",8.223063
"7","2007-01-11",8.412098
"8","2007-01-12",8.175803
"9","2007-01-16",8.175803
"10","2007-01-17",8.393195
"11","2007-01-18",8.185255
"12","2007-01-19",8.223063
"13","2007-01-22",8.062382
"14","2007-01-23",8.062382
"15","2007-01-24",7.89225
"16","2007-01-25",7.637051
"17","2007-01-26",7.646503
"18","2007-01-29",7.854442
"19","2007-01-30",7.920605
"20","2007-01-31",7.741021
"21","2007-02-01",7.655955
"22","2007-02-02",7.769376
"23","2007-02-05",7.637051
"24","2007-02-06",7.693762
"25","2007-02-07",7.873346
"26","2007-02-08",7.759924
"27","2007-02-09",7.731569
"28","2007-02-12",7.712666
"29","2007-02-13",7.58034
"30","2007-02-14",7.533081
"31","2007-02-15",7.52363
"32","2007-02-16",7.561437
"33","2007-02-20",7.741021
"34","2007-02-21",7.599244
"35","2007-02-22",7.618147
"36","2007-02-23",7.655955
"37","2007-02-26",7.655955
"38","2007-02-27",7.344045
"39","2007-02-28",7.164461
"40","2007-03-01",7.088847
"41","2007-03-02",6.833648
"42","2007-03-05",6.805293
"43","2007-03-06",6.8431
"44","2007-03-07",6.701323
"45","2007-03-08",6.720227
"46","2007-03-09",6.720227
"47","2007-03-12",6.880908
"48","2007-03-13",6.559546
"49","2007-03-14",6.597353
"50","2007-03-15",6.663516
"51","2007-03-16",6.427221
"52","2007-03-19",6.597353
"53","2007-03-20",6.568998
"54","2007-03-21",6.805293
"55","2007-03-22",6.748582
"56","2007-03-23",6.68242
"57","2007-03-26",6.672968
"58","2007-03-27",6.663516
"59","2007-03-28",6.606805
"60","2007-03-29",6.587902
"61","2007-03-30",6.616257
"62","2007-04-02",7.013233
"63","2007-04-03",6.758034
"64","2007-04-04",6.862004
"65","2007-04-05",7.022684
"66","2007-04-09",6.928166
"67","2007-04-10",7.296786
"68","2007-04-11",7.145558
"69","2007-04-12",7.013233
"70","2007-04-13",7.041588
"71","2007-04-16",6.975425
"72","2007-04-17",6.805293
"73","2007-04-18",6.748582
"74","2007-04-19",6.758034
"75","2007-04-20",6.890359
