"","date","CXDO"
"1","2018-03-27",2.92
"2","2018-03-28",2.8
"3","2018-03-29",2.8
"4","2018-04-02",2.85
"5","2018-04-03",2.85
"6","2018-04-04",2.85
"7","2018-04-05",2.85
"8","2018-04-06",2.85
"9","2018-04-09",2.85
"10","2018-04-10",2.85
"11","2018-04-11",2.85
"12","2018-04-12",2.7
"13","2018-04-13",2.7
"14","2018-04-16",2.75
"15","2018-04-17",2.75
"16","2018-04-18",2.85
"17","2018-04-19",2.5
"18","2018-04-20",2.55
"19","2018-04-23",2.55
"20","2018-04-24",2.5
"21","2018-04-25",2.5
"22","2018-04-26",2.5
"23","2018-04-27",2.5
"24","2018-04-30",2.5
"25","2018-05-01",2.5
"26","2018-05-02",2.5
"27","2018-05-03",2.5
"28","2018-05-04",2.5
"29","2018-05-07",2.5
"30","2018-05-08",2.6
"31","2018-05-09",2.6
"32","2018-05-10",2.6
"33","2018-05-11",2.6
"34","2018-05-14",2.85
"35","2018-05-15",2.9
"36","2018-05-16",2.6
"37","2018-05-17",2.8
"38","2018-05-18",2.85
"39","2018-05-21",2.84
"40","2018-05-22",2.85
"41","2018-05-23",2.85
"42","2018-05-24",2.6
"43","2018-05-25",2.9
"44","2018-05-29",2.9
"45","2018-05-30",2.85
"46","2018-05-31",2.8
"47","2018-06-01",2.6
"48","2018-06-04",2.6
"49","2018-06-05",2.86
"50","2018-06-06",2.85
"51","2018-06-07",2.85
"52","2018-06-08",2.66
"53","2018-06-11",2.85
"54","2018-06-12",2.85
"55","2018-06-13",2.7
"56","2018-06-14",2.75
"57","2018-06-15",2.75
"58","2018-06-18",2.75
"59","2018-06-19",2.65
"60","2018-06-20",2.75
"61","2018-06-21",2.75
"62","2018-06-22",2.75
"63","2018-06-25",2.7
"64","2018-06-26",2.65
"65","2018-06-27",2.65
"66","2018-06-28",2.67
"67","2018-06-29",2.6
"68","2018-07-02",2.6
"69","2018-07-03",2.6
"70","2018-07-05",2.6
"71","2018-07-06",2.6
"72","2018-07-09",2.6
"73","2018-07-10",2.62
"74","2018-07-11",2.62
"75","2018-07-12",2.62
"76","2018-07-13",2.61
"77","2018-07-16",2.61
"78","2018-07-17",2.6
"79","2018-07-18",2.6
"80","2018-07-19",2.6
"81","2018-07-20",2.7
"82","2018-07-23",2.7
"83","2018-07-24",2.6
"84","2018-07-25",2.6
"85","2018-07-26",2.6
"86","2018-07-27",2.6
"87","2018-07-30",2.6
"88","2018-07-31",2.55
"89","2018-08-01",2.55
"90","2018-08-02",2.55
"91","2018-08-03",2.7
"92","2018-08-06",2.7
"93","2018-08-07",2.4
"94","2018-08-08",2.4
"95","2018-08-09",2.55
"96","2018-08-10",2.55
"97","2018-08-13",2.55
"98","2018-08-14",2.5
"99","2018-08-15",2.4
"100","2018-08-16",2.3
"101","2018-08-17",2.3
"102","2018-08-20",2.5
"103","2018-08-21",2.5
"104","2018-08-22",2.5
"105","2018-08-23",2.5
"106","2018-08-24",2.5
"107","2018-08-27",2.3
"108","2018-08-28",2.3
"109","2018-08-29",2.3
"110","2018-08-30",2.3
"111","2018-08-31",2.3
"112","2018-09-04",2.35
"113","2018-09-05",2.35
"114","2018-09-06",2.35
"115","2018-09-07",2.24
"116","2018-09-10",2.24
"117","2018-09-11",2.24
"118","2018-09-12",2.15
"119","2018-09-13",2.15
"120","2018-09-14",2.27
"121","2018-09-17",2.27
"122","2018-09-18",2.27
"123","2018-09-19",2
"124","2018-09-20",2
"125","2018-09-21",2.1
"126","2018-09-24",1.6
"127","2018-09-25",2.15
"128","2018-09-26",2.15
"129","2018-09-27",2.1
"130","2018-09-28",2.1
"131","2018-10-01",2.1
"132","2018-10-02",2.1
"133","2018-10-03",2.1
"134","2018-10-04",2.1
"135","2018-10-05",2.1
"136","2018-10-08",2.1
"137","2018-10-09",1.76
"138","2018-10-10",1.76
"139","2018-10-11",1.75
"140","2018-10-12",2
"141","2018-10-15",2
"142","2018-10-16",2
"143","2018-10-17",2
"144","2018-10-18",1.9
"145","2018-10-19",1.9
"146","2018-10-22",1.9
"147","2018-10-23",1.945
"148","2018-10-24",1.945
"149","2018-10-25",1.945
"150","2018-10-26",1.66
"151","2018-10-29",1.66
"152","2018-10-30",1.66
"153","2018-10-31",1.66
"154","2018-11-01",1.7
"155","2018-11-02",1.7
"156","2018-11-05",1.7
"157","2018-11-06",1.7
"158","2018-11-07",1.6
"159","2018-11-08",1.8
"160","2018-11-09",1.825
"161","2018-11-12",1.825
"162","2018-11-13",1.825
