"","date","JFIN"
"230","2020-04-07",2.12
"231","2020-04-08",2.39
"232","2020-04-09",2.3
"233","2020-04-13",2.44
"234","2020-04-14",2.68
"235","2020-04-15",2.79
"236","2020-04-16",2.8
"237","2020-04-17",2.663
"238","2020-04-20",2.71
"239","2020-04-21",2.5
"240","2020-04-22",2.47
"241","2020-04-23",2.51
"242","2020-04-24",2.335
"243","2020-04-27",2.398
"244","2020-04-28",2.42
"245","2020-04-29",2.4
"246","2020-04-30",2.27
"247","2020-05-01",2.18
"248","2020-05-04",2.29
"249","2020-05-05",2.25
"250","2020-05-06",2.181
"251","2020-05-07",2.1
"252","2020-05-08",2.087
"253","2020-05-11",2
"254","2020-05-12",2
"255","2020-05-13",2
"256","2020-05-14",1.93
"257","2020-05-15",1.92
"258","2020-05-18",2
"259","2020-05-19",1.99
"260","2020-05-20",2
"261","2020-05-21",2.05
"262","2020-05-22",2.048
"263","2020-05-26",2.004
"264","2020-05-27",2.094
"265","2020-05-28",2.003
"266","2020-05-29",2.071
"267","2020-06-01",2.181
"268","2020-06-02",2.194
"269","2020-06-03",2.3
"270","2020-06-04",2.25
"271","2020-06-05",2.246
"272","2020-06-08",2.34
"273","2020-06-09",2.95
"274","2020-06-10",5.8
"275","2020-06-11",3.9
"276","2020-06-12",4.55
"277","2020-06-15",5.72
"278","2020-06-16",5.77
"279","2020-06-17",5.3
"280","2020-06-18",5.11
"281","2020-06-19",4.96
"282","2020-06-22",4.4
"283","2020-06-23",4.3
"284","2020-06-24",4.56
"285","2020-06-25",4.28
"286","2020-06-26",3.98
"287","2020-06-29",3.86
"288","2020-06-30",3.91
"289","2020-07-01",4
"290","2020-07-02",3.88
"291","2020-07-06",4.19
"292","2020-07-07",3.99
"293","2020-07-08",4.14
"294","2020-07-09",4.06
"295","2020-07-10",4.22
"296","2020-07-13",3.85
"297","2020-07-14",3.63
"298","2020-07-15",3.82
"299","2020-07-16",3.81
"300","2020-07-17",3.92
"301","2020-07-20",3.93
"302","2020-07-21",4.08
"303","2020-07-22",3.99
"304","2020-07-23",3.81
"305","2020-07-24",3.7
"306","2020-07-27",3.67
"307","2020-07-28",3.57
"308","2020-07-29",3.46
"309","2020-07-30",3.61
"310","2020-07-31",3.53
"311","2020-08-03",3.48
"312","2020-08-04",3.45
"313","2020-08-05",3.48
"314","2020-08-06",3.67
"315","2020-08-07",3.69
"316","2020-08-10",3.72
"317","2020-08-11",3.49
"318","2020-08-12",3.46
"319","2020-08-13",3.45
"320","2020-08-14",3.39
"321","2020-08-17",3.34
"322","2020-08-18",3.37
"323","2020-08-19",3.09
"324","2020-08-20",2.8
"325","2020-08-21",2.7
"326","2020-08-24",2.7
"327","2020-08-25",3.6
"328","2020-08-26",3.49
"329","2020-08-27",3.4
"330","2020-08-28",3.76
"331","2020-08-31",4.1
"332","2020-09-01",3.75
"333","2020-09-02",2.9
"334","2020-09-03",2.88
"335","2020-09-04",2.79
"336","2020-09-08",2.66
"337","2020-09-09",2.6
"338","2020-09-10",2.58
"339","2020-09-11",2.55
"340","2020-09-14",2.55
"341","2020-09-15",2.51
"342","2020-09-16",2.75
"343","2020-09-17",3
"344","2020-09-18",2.84
"345","2020-09-21",2.88
"346","2020-09-22",3.26
"347","2020-09-23",3.08
"348","2020-09-24",2.85
"349","2020-09-25",2.9
"350","2020-09-28",3
"351","2020-09-29",3.04
"352","2020-09-30",3.33
"353","2020-10-01",2.92
"354","2020-10-02",2.98
"355","2020-10-05",2.92
"356","2020-10-06",2.82
"357","2020-10-07",2.83
"358","2020-10-08",2.91
"359","2020-10-09",2.85
"360","2020-10-12",2.94
"361","2020-10-13",2.92
"362","2020-10-14",3
"363","2020-10-15",3.02
"364","2020-10-16",3.07
"365","2020-10-19",3.22
"366","2020-10-20",3.07
"367","2020-10-21",3.22
"368","2020-10-22",3.07
"369","2020-10-23",3.08
"370","2020-10-26",2.96
"371","2020-10-27",2.96
"372","2020-10-28",2.84
"373","2020-10-29",2.92
"374","2020-10-30",2.82
"375","2020-11-02",2.77
"376","2020-11-03",2.73
"377","2020-11-04",2.79
"378","2020-11-05",2.74
"379","2020-11-06",2.7
"380","2020-11-09",2.74
"381","2020-11-10",2.68
"382","2020-11-11",2.74
"383","2020-11-12",2.83
"384","2020-11-13",2.84
"385","2020-11-16",2.76
"386","2020-11-17",2.91
"387","2020-11-18",2.89
"388","2020-11-19",2.825
"389","2020-11-20",2.95
"390","2020-11-23",3.15
"391","2020-11-24",3.39
"392","2020-11-25",4.01
"393","2020-11-27",3.77
