"","date","NOK"
"1","2007-01-03",20.66
"2","2007-01-04",20.92
"3","2007-01-05",19.84
"4","2007-01-08",19.639999
"5","2007-01-09",19.379999
"6","2007-01-10",19.08
"7","2007-01-11",19.389999
"8","2007-01-12",19.49
"9","2007-01-16",19.85
"10","2007-01-17",19.85
"11","2007-01-18",19.959999
"12","2007-01-19",20.129999
"13","2007-01-22",19.84
"14","2007-01-23",19.950001
"15","2007-01-24",20.209999
"16","2007-01-25",21.110001
"17","2007-01-26",21.58
"18","2007-01-29",21.4
"19","2007-01-30",21.860001
"20","2007-01-31",22.1
"21","2007-02-01",22.120001
"22","2007-02-02",22.07
"23","2007-02-05",22.110001
"24","2007-02-06",22.09
"25","2007-02-07",22.07
"26","2007-02-08",22.07
"27","2007-02-09",21.74
"28","2007-02-12",21.780001
"29","2007-02-13",22.24
"30","2007-02-14",22.959999
"31","2007-02-15",22.940001
"32","2007-02-16",23.139999
"33","2007-02-20",22.99
"34","2007-02-21",22.879999
"35","2007-02-22",22.84
"36","2007-02-23",22.84
"37","2007-02-26",23.030001
"38","2007-02-27",21.870001
"39","2007-02-28",21.83
"40","2007-03-01",21.530001
"41","2007-03-02",21.139999
"42","2007-03-05",21.02
"43","2007-03-06",21.450001
"44","2007-03-07",21.51
"45","2007-03-08",21.74
"46","2007-03-09",21.66
"47","2007-03-12",21.629999
"48","2007-03-13",21.299999
"49","2007-03-14",21.33
"50","2007-03-15",21.66
"51","2007-03-16",21.85
"52","2007-03-19",22.16
"53","2007-03-20",22.139999
"54","2007-03-21",22.860001
"55","2007-03-22",22.959999
"56","2007-03-23",22.969999
"57","2007-03-26",22.870001
"58","2007-03-27",22.73
"59","2007-03-28",22.42
"60","2007-03-29",22.9
"61","2007-03-30",22.92
"62","2007-04-02",22.700001
"63","2007-04-03",22.959999
"64","2007-04-04",23.34
"65","2007-04-05",23.540001
"66","2007-04-09",23.540001
"67","2007-04-10",23.74
"68","2007-04-11",23.379999
"69","2007-04-12",23.48
"70","2007-04-13",23.790001
"71","2007-04-16",24.030001
"72","2007-04-17",23.92
"73","2007-04-18",23.870001
"74","2007-04-19",24.65
"75","2007-04-20",25.049999
"76","2007-04-23",24.889999
"77","2007-04-24",25.09
"78","2007-04-25",25.35
"79","2007-04-26",25.68
"80","2007-04-27",25.6
"81","2007-04-30",25.25
"82","2007-05-01",25.33
"83","2007-05-02",25.709999
"84","2007-05-03",25.639999
"85","2007-05-04",25.389999
"86","2007-05-07",25.059999
"87","2007-05-08",24.84
"88","2007-05-09",25.129999
"89","2007-05-10",24.450001
"90","2007-05-11",25.07
"91","2007-05-14",25.959999
"92","2007-05-15",26.309999
"93","2007-05-16",26.66
"94","2007-05-17",26.57
"95","2007-05-18",27.040001
"96","2007-05-21",26.969999
"97","2007-05-22",26.43
"98","2007-05-23",26.389999
"99","2007-05-24",26.26
"100","2007-05-25",26.67
"101","2007-05-29",26.469999
"102","2007-05-30",27.16
"103","2007-05-31",27.379999
"104","2007-06-01",28.190001
"105","2007-06-04",28.5
"106","2007-06-05",28.33
"107","2007-06-06",28.219999
"108","2007-06-07",27.67
"109","2007-06-08",28.049999
"110","2007-06-11",28.309999
"111","2007-06-12",27.5
"112","2007-06-13",28.09
"113","2007-06-14",28.58
"114","2007-06-15",29.01
"115","2007-06-18",28.65
"116","2007-06-19",28.610001
"117","2007-06-20",28.290001
"118","2007-06-21",28
"119","2007-06-22",27.76
"120","2007-06-25",27.59
"121","2007-06-26",27.5
"122","2007-06-27",27.66
