"","date","PETZ"
"1","2017-09-21",6.41
"2","2017-09-22",12.75
"3","2017-09-25",10.45
"4","2017-09-26",10.3
"5","2017-09-27",10.87
"6","2017-09-28",12.61
"7","2017-09-29",16.799999
"8","2017-10-02",22.82
"9","2017-10-03",28.49
"10","2017-10-04",23
"11","2017-10-05",25.48
"12","2017-10-06",23.5
"13","2017-10-09",24.469999
"14","2017-10-10",23.139999
"15","2017-10-11",24.219999
"16","2017-10-12",24.17
"17","2017-10-13",24.77
"18","2017-10-16",29.219999
"19","2017-10-17",24.6
"20","2017-10-18",24.4
"21","2017-10-19",24.76
"22","2017-10-20",23.799999
"23","2017-10-23",25
"24","2017-10-24",25.01
"25","2017-10-25",27.459999
"26","2017-10-26",28.059999
"27","2017-10-27",15.7
"28","2017-10-30",14.99
"29","2017-10-31",16.164
"30","2017-11-01",18.43
"31","2017-11-02",20.5
"32","2017-11-03",21.74
"33","2017-11-06",25.32
"34","2017-11-07",26.5
"35","2017-11-08",23
"36","2017-11-09",21.799999
"37","2017-11-10",20.190001
"38","2017-11-13",15.89
"39","2017-11-14",16.02
"40","2017-11-15",15.14
"41","2017-11-16",13.62
"42","2017-11-17",12.01
"43","2017-11-20",9.78
"44","2017-11-21",9.22
"45","2017-11-22",9.28
"46","2017-11-24",9.12
"47","2017-11-27",8.61
"48","2017-11-28",8.13
"49","2017-11-29",7.2
"50","2017-11-30",6.26
"51","2017-12-01",6.52
"52","2017-12-04",7.44
"53","2017-12-05",7.83
"54","2017-12-06",6.75
"55","2017-12-07",6.41
"56","2017-12-08",6.69
"57","2017-12-11",7
"58","2017-12-12",6.99
"59","2017-12-13",7.73
"60","2017-12-14",7.5
"61","2017-12-15",7
"62","2017-12-18",6.84
"63","2017-12-19",6.83
"64","2017-12-20",6.56
"65","2017-12-21",6.85
"66","2017-12-22",5.64
"67","2017-12-26",5.55
"68","2017-12-27",5.95
"69","2017-12-28",5.87
"70","2017-12-29",5.64
"71","2018-01-02",5.76
"72","2018-01-03",5.65
"73","2018-01-04",5.61
"74","2018-01-05",5.41
"75","2018-01-08",5.54
"76","2018-01-09",5.56
"77","2018-01-10",5.31
"78","2018-01-11",5.41
"79","2018-01-12",5.51
"80","2018-01-16",5.51
"81","2018-01-17",5.58
"82","2018-01-18",6.13
"83","2018-01-19",5.74
"84","2018-01-22",5.6
"85","2018-01-23",5.5
"86","2018-01-24",5.37
"87","2018-01-25",5.42
"88","2018-01-26",5.48
"89","2018-01-29",5.34
"90","2018-01-30",5.2
"91","2018-01-31",4.91
"92","2018-02-01",4.9
"93","2018-02-02",4.39
"94","2018-02-05",4.46
"95","2018-02-06",4.33
"96","2018-02-07",4.43
"97","2018-02-08",4.43
"98","2018-02-09",4.25
"99","2018-02-12",4.25
"100","2018-02-13",4.305
"101","2018-02-14",4.38
"102","2018-02-15",4.38
"103","2018-02-16",4.27
"104","2018-02-20",4.255
"105","2018-02-21",4.27
"106","2018-02-22",4.25
"107","2018-02-23",4.25
"108","2018-02-26",4.2
"109","2018-02-27",4.27
"110","2018-02-28",4.25
"111","2018-03-01",4.26
"112","2018-03-02",4.2
"113","2018-03-05",4.25
"114","2018-03-06",4.25
"115","2018-03-07",4.21
"116","2018-03-08",4.29
"117","2018-03-09",5
"118","2018-03-12",4.79
"119","2018-03-13",4.43
"120","2018-03-14",4.43
"121","2018-03-15",4.43
"122","2018-03-16",4.61
"123","2018-03-19",4.55
"124","2018-03-20",4.58
"125","2018-03-21",4.41
"126","2018-03-22",4.46
"127","2018-03-23",4.27
"128","2018-03-26",4.28
"129","2018-03-27",4.26
"130","2018-03-28",4.41
"131","2018-03-29",4.2
"132","2018-04-02",4.26
"133","2018-04-03",4.25
"134","2018-04-04",4.27
"135","2018-04-05",4.26
"136","2018-04-06",4.25
"137","2018-04-09",4.25
"138","2018-04-10",4.26
"139","2018-04-11",4.27
"140","2018-04-12",4.26
"141","2018-04-13",4.46
"142","2018-04-16",4.27
"143","2018-04-17",4.26
"144","2018-04-18",4.33
"145","2018-04-19",4.5
"146","2018-04-20",4.4
"147","2018-04-23",4.47
"148","2018-04-24",4.34
"149","2018-04-25",4.51
"150","2018-04-26",4.54
"151","2018-04-27",4.5
"152","2018-04-30",4.67
"153","2018-05-01",3.96
"154","2018-05-02",3.86
"155","2018-05-03",4
"156","2018-05-04",3.67
"157","2018-05-07",3.72
"158","2018-05-08",3.65
"159","2018-05-09",3.75
"160","2018-05-10",3.79
"161","2018-05-11",3.67
"162","2018-05-14",3.65
"163","2018-05-15",3.68
"164","2018-05-16",3.7
"165","2018-05-17",3.79
"166","2018-05-18",3.78
"167","2018-05-21",3.99
"168","2018-05-22",3.97
"169","2018-05-23",3.9
"170","2018-05-24",3.932
"171","2018-05-25",4.11
"172","2018-05-29",4.29
"173","2018-05-30",4.2
"174","2018-05-31",4.16
"175","2018-06-01",4.22
"176","2018-06-04",4.28
"177","2018-06-05",4.15
"178","2018-06-06",4.01
"179","2018-06-07",3.91
"180","2018-06-08",3.97
"181","2018-06-11",4.27
"182","2018-06-12",4.23
"183","2018-06-13",4.25
