"","date","VEDL"
"1","2007-06-20",24.674458
"2","2007-06-21",24.808014
"3","2007-06-22",24.707846
"4","2007-06-25",24.490818
"5","2007-06-26",24.540901
"6","2007-06-27",24.373957
"7","2007-06-28",24.290483
"8","2007-06-29",24.490818
"9","2007-07-02",24.607679
"10","2007-07-03",25.292154
"11","2007-07-05",25.626043
"12","2007-07-06",26.310518
"13","2007-07-09",26.711185
"14","2007-07-10",26.310518
"15","2007-07-11",25.776295
"16","2007-07-12",27.796328
"17","2007-07-13",29.148581
"18","2007-07-16",29.916527
"19","2007-07-17",28.297161
"20","2007-07-18",28.1803
"21","2007-07-19",30.050083
"22","2007-07-20",30.050083
"23","2007-07-23",30
"24","2007-07-24",28.497496
"25","2007-07-25",27.696159
"26","2007-07-26",27.378965
"27","2007-07-27",26.777964
"28","2007-07-30",27.378965
"29","2007-07-31",27.128548
"30","2007-08-01",26.176962
"31","2007-08-02",26.260433
"32","2007-08-03",25.492487
"33","2007-08-06",25.325542
"34","2007-08-07",25.191986
"35","2007-08-08",26.327211
"36","2007-08-09",25.342237
"37","2007-08-10",25.459099
"38","2007-08-13",25.976627
"39","2007-08-14",24.958263
"40","2007-08-15",23.923204
"41","2007-08-16",22.287146
"42","2007-08-17",22.754591
"43","2007-08-20",23.472454
"44","2007-08-21",22.854757
"45","2007-08-22",24.941568
"46","2007-08-23",24.874792
"47","2007-08-24",25.041737
"48","2007-08-27",25.242069
"49","2007-08-28",24.540901
"50","2007-08-29",25.626043
"51","2007-08-30",25.709517
"52","2007-08-31",26.69449
"53","2007-09-04",26.69449
"54","2007-09-05",26.460768
"55","2007-09-06",26.91152
"56","2007-09-07",25.7596
"57","2007-09-10",25.09182
"58","2007-09-11",25.709517
"59","2007-09-12",26.043406
"60","2007-09-13",26.861435
"61","2007-09-14",26.961603
"62","2007-09-17",26.944908
"63","2007-09-18",27.629383
"64","2007-09-19",28.363939
"65","2007-09-20",28.547579
"66","2007-09-21",29.649416
"67","2007-09-24",30.050083
"68","2007-09-25",29.966612
"69","2007-09-26",30.033388
"70","2007-09-27",31.001669
