"","date","PCOM"
"1","2011-02-10",10.3
"2","2011-02-11",10.7
"3","2011-02-14",11.72
"4","2011-02-15",11.92
"5","2011-02-16",11.27
"6","2011-02-17",10.97
"7","2011-02-18",10.82
"8","2011-02-22",9.99
"9","2011-02-23",9.99
"10","2011-02-24",10.06
"11","2011-02-25",10.45
"12","2011-02-28",10.4
"13","2011-03-01",9.75
"14","2011-03-02",10
"15","2011-03-03",10.17
"16","2011-03-04",10.35
"17","2011-03-07",10.21
"18","2011-03-08",10.25
"19","2011-03-09",9.85
"20","2011-03-10",9.77
"21","2011-03-11",9.88
"22","2011-03-14",9.14
"23","2011-03-15",8.88
"24","2011-03-16",9.03
"25","2011-03-17",9.3
"26","2011-03-18",9.15
"27","2011-03-21",9.3
"28","2011-03-22",9.4
"29","2011-03-23",9.5
"30","2011-03-24",9.6
"31","2011-03-25",9.49
"32","2011-03-28",9.14
"33","2011-03-29",8.95
"34","2011-03-30",9
"35","2011-03-31",8.97
"36","2011-04-01",8.85
"37","2011-04-04",8.68
"38","2011-04-05",8.84
"39","2011-04-06",8.82
"40","2011-04-07",9
"41","2011-04-08",9.09
"42","2011-04-11",9.29
"43","2011-04-12",9.4
"44","2011-04-13",10.42
"45","2011-04-14",10.25
"46","2011-04-15",10.75
"47","2011-04-18",10.92
"48","2011-04-19",10.79
"49","2011-04-20",10.91
"50","2011-04-21",11.02
"51","2011-04-25",10.82
"52","2011-04-26",10.9
"53","2011-04-27",10.95
"54","2011-04-28",10.6
"55","2011-04-29",10.86
"56","2011-05-02",10.65
"57","2011-05-03",10.2
"58","2011-05-04",10.21
"59","2011-05-05",10.58
"60","2011-05-06",10.77
"61","2011-05-09",10.26
"62","2011-05-10",10.39
"63","2011-05-11",10.34
"64","2011-05-12",10.29
"65","2011-05-13",10.41
"66","2011-05-16",10.2
"67","2011-05-17",9.99
"68","2011-05-18",9.62
"69","2011-05-19",9.99
"70","2011-05-20",10.14
"71","2011-05-23",9.95
"72","2011-05-24",10
"73","2011-05-25",10.04
"74","2011-05-26",10.22
"75","2011-05-27",10.3
"76","2011-05-31",10.4
"77","2011-06-01",10.34
"78","2011-06-02",10.19
"79","2011-06-03",9.93
"80","2011-06-06",9.78
"81","2011-06-07",9.65
"82","2011-06-08",9.69
"83","2011-06-09",10.03
"84","2011-06-10",10.02
"85","2011-06-13",9.91
"86","2011-06-14",10.11
"87","2011-06-15",9.96
"88","2011-06-16",10
"89","2011-06-17",9.93
"90","2011-06-20",9.98
"91","2011-06-21",9.83
"92","2011-06-22",9.85
"93","2011-06-23",9.88
"94","2011-06-24",9.99
"95","2011-06-27",9.94
"96","2011-06-28",9.98
"97","2011-06-29",9.98
"98","2011-06-30",9.95
"99","2011-07-01",9.88
"100","2011-07-05",9.29
"101","2011-07-06",9.49
"102","2011-07-07",9.66
"103","2011-07-08",9.67
"104","2011-07-11",9.55
"105","2011-07-12",9.51
"106","2011-07-13",9.55
"107","2011-07-14",9.32
"108","2011-07-15",9.28
"109","2011-07-18",9.32
"110","2011-07-19",9.53
"111","2011-07-20",9.29
"112","2011-07-21",9.6
"113","2011-07-22",9.48
"114","2011-07-25",9.82
"115","2011-07-26",9.56
"116","2011-07-27",9.5
"117","2011-07-28",9.49
"118","2011-07-29",9.3
"119","2011-08-01",9.2
"120","2011-08-02",9.1
"121","2011-08-03",9
"122","2011-08-04",8.99
"123","2011-08-05",8.94
"124","2011-08-08",8.8
"125","2011-08-09",8.4
"126","2011-08-10",8.65
"127","2011-08-11",8.54
"128","2011-08-12",8.54
"129","2011-08-15",8.33
"130","2011-08-16",8.02
"131","2011-08-17",8.4
"132","2011-08-18",7.85
"133","2011-08-19",7.99
"134","2011-08-22",8.36
"135","2011-08-23",8.04
"136","2011-08-24",7.98
"137","2011-08-25",7.79
"138","2011-08-26",8.02
