"","date","MSCI"
"1","2007-11-15",26.1
"2","2007-11-16",24.959999
"3","2007-11-19",25.75
"4","2007-11-20",27.32
"5","2007-11-21",26.65
"6","2007-11-23",27.4
"7","2007-11-26",27.799999
"8","2007-11-27",26.98
"9","2007-11-28",27.299999
"10","2007-11-29",27.299999
"11","2007-11-30",27.65
"12","2007-12-03",27.969999
"13","2007-12-04",29.35
"14","2007-12-05",29.280001
"15","2007-12-06",28.91
"16","2007-12-07",28.879999
"17","2007-12-10",29
"18","2007-12-11",29
"19","2007-12-12",28.48
"20","2007-12-13",28.940001
"21","2007-12-14",28.719999
"22","2007-12-17",27.98
"23","2007-12-18",28.5
"24","2007-12-19",28.950001
"25","2007-12-20",28.889999
"26","2007-12-21",33.720001
"27","2007-12-24",33.919998
"28","2007-12-26",34.349998
"29","2007-12-27",36.549999
"30","2007-12-28",37.32
"31","2007-12-31",38.400002
"32","2008-01-02",33.849998
"33","2008-01-03",30.790001
"34","2008-01-04",30.15
"35","2008-01-07",28.139999
"36","2008-01-08",26.629999
"37","2008-01-09",27.76
"38","2008-01-10",29.639999
"39","2008-01-11",30.43
"40","2008-01-14",30.5
"41","2008-01-15",30.709999
"42","2008-01-16",29.299999
"43","2008-01-17",28.99
"44","2008-01-18",29.32
"45","2008-01-22",28.9
"46","2008-01-23",31.16
"47","2008-01-24",32.169998
"48","2008-01-25",31.780001
"49","2008-01-28",33.060001
"50","2008-01-29",32.779999
"51","2008-01-30",32.700001
"52","2008-01-31",32.970001
"53","2008-02-01",34.599998
"54","2008-02-04",33.48
"55","2008-02-05",32.869999
"56","2008-02-06",31.370001
"57","2008-02-07",29.709999
"58","2008-02-08",31.33
"59","2008-02-11",31.43
"60","2008-02-12",31.299999
"61","2008-02-13",33.830002
"62","2008-02-14",33.279999
"63","2008-02-15",31.74
"64","2008-02-19",32.099998
"65","2008-02-20",32.209999
"66","2008-02-21",33.599998
"67","2008-02-22",33.73
"68","2008-02-25",33.09
"69","2008-02-26",33.919998
"70","2008-02-27",32
"71","2008-02-28",31.09
"72","2008-02-29",29.73
"73","2008-03-03",29.07
"74","2008-03-04",29.360001
"75","2008-03-05",31.65
"76","2008-03-06",29.860001
"77","2008-03-07",28.26
"78","2008-03-10",27.01
"79","2008-03-11",30.290001
"80","2008-03-12",29.83
"81","2008-03-13",29.940001
"82","2008-03-14",26.860001
"83","2008-03-17",23.57
"84","2008-03-18",27
"85","2008-03-19",26.690001
"86","2008-03-20",28.209999
"87","2008-03-24",30.07
"88","2008-03-25",30.389999
"89","2008-03-26",29.41
"90","2008-03-27",29.700001
"91","2008-03-28",31.25
"92","2008-03-31",29.75
"93","2008-04-01",30.889999
