"","date","BRKR"
"1","2007-01-03",7.24
"2","2007-01-04",7.34
"3","2007-01-05",7.26
"4","2007-01-08",7.2
"5","2007-01-09",7.63
"6","2007-01-10",7.45
"7","2007-01-11",7.84
"8","2007-01-12",7.79
"9","2007-01-16",7.46
"10","2007-01-17",7.38
"11","2007-01-18",7.38
"12","2007-01-19",7.43
"13","2007-01-22",7.57
"14","2007-01-23",7.51
"15","2007-01-24",7.55
"16","2007-01-25",7.33
"17","2007-01-26",7.3
"18","2007-01-29",7.4
"19","2007-01-30",7.33
"20","2007-01-31",7.45
"21","2007-02-01",7.51
"22","2007-02-02",7.57
"23","2007-02-05",7.45
"24","2007-02-06",7.72
"25","2007-02-07",7.45
"26","2007-02-08",7.96
"27","2007-02-09",7.91
"28","2007-02-12",7.87
"29","2007-02-13",7.99
"30","2007-02-14",7.86
"31","2007-02-15",7.93
"32","2007-02-16",8
"33","2007-02-20",8.42
"34","2007-02-21",8.27
"35","2007-02-22",9.18
"36","2007-02-23",9.5
"37","2007-02-26",9.21
"38","2007-02-27",8.99
"39","2007-02-28",9.01
"40","2007-03-01",9.06
"41","2007-03-02",9.26
"42","2007-03-05",9.16
"43","2007-03-06",9.64
"44","2007-03-07",9.42
"45","2007-03-08",9.69
"46","2007-03-09",9.77
"47","2007-03-12",9.95
"48","2007-03-13",9.47
"49","2007-03-14",9.46
"50","2007-03-15",9.73
"51","2007-03-16",9.63
"52","2007-03-19",9.71
"53","2007-03-20",10.28
"54","2007-03-21",10.5
"55","2007-03-22",10.31
"56","2007-03-23",10.34
"57","2007-03-26",10.79
"58","2007-03-27",10.73
"59","2007-03-28",10.5
"60","2007-03-29",10.63
"61","2007-03-30",10.52
"62","2007-04-02",10.26
"63","2007-04-03",10.57
"64","2007-04-04",10.66
"65","2007-04-05",10.59
"66","2007-04-09",10.77
"67","2007-04-10",10.65
"68","2007-04-11",10.68
"69","2007-04-12",10.92
"70","2007-04-13",11.05
"71","2007-04-16",11.16
"72","2007-04-17",11.18
"73","2007-04-18",11.17
