"","date","SHOP"
"1","2015-05-20",17
"2","2015-05-21",25.68
"3","2015-05-22",28.309999
"4","2015-05-26",29.65
"5","2015-05-27",27.5
"6","2015-05-28",27.450001
"7","2015-05-29",27.200001
"8","2015-06-01",27.33
"9","2015-06-02",26.950001
"10","2015-06-03",27.440001
"11","2015-06-04",26.780001
"12","2015-06-05",27.389999
"13","2015-06-08",26.98
"14","2015-06-09",28.34
"15","2015-06-10",28.1
"16","2015-06-11",30.73
"17","2015-06-12",33.630001
"18","2015-06-15",35.5
"19","2015-06-16",38.110001
"20","2015-06-17",38.630001
"21","2015-06-18",35.549999
"22","2015-06-19",35.52
"23","2015-06-22",36.939999
"24","2015-06-23",35.43
"25","2015-06-24",35.959999
"26","2015-06-25",34.84
"27","2015-06-26",33.52
"28","2015-06-29",31.32
"29","2015-06-30",33.950001
"30","2015-07-01",31.110001
"31","2015-07-02",31.309999
"32","2015-07-06",30.530001
"33","2015-07-07",30.76
"34","2015-07-08",29.190001
"35","2015-07-09",29.059999
"36","2015-07-10",29.6
"37","2015-07-13",30.42
"38","2015-07-14",30.860001
"39","2015-07-15",29.34
"40","2015-07-16",29.389999
"41","2015-07-17",32.27
"42","2015-07-20",33.75
"43","2015-07-21",33.220001
"44","2015-07-22",32.139999
"45","2015-07-23",33.110001
"46","2015-07-24",33.57
"47","2015-07-27",32.869999
"48","2015-07-28",34.060001
"49","2015-07-29",34.16
"50","2015-07-30",38.130001
"51","2015-07-31",37.389999
"52","2015-08-03",40.360001
"53","2015-08-04",38.41
"54","2015-08-05",38.450001
"55","2015-08-06",36.279999
"56","2015-08-07",35.16
"57","2015-08-10",33.470001
"58","2015-08-11",35.139999
"59","2015-08-12",34.73
"60","2015-08-13",35.310001
"61","2015-08-14",34.560001
"62","2015-08-17",34.41
"63","2015-08-18",32.599998
"64","2015-08-19",31.1
"65","2015-08-20",29.219999
"66","2015-08-21",27.77
"67","2015-08-24",26.280001
"68","2015-08-25",26.93
"69","2015-08-26",28.219999
"70","2015-08-27",28.51
"71","2015-08-28",28
"72","2015-08-31",27.540001
"73","2015-09-01",26.6
"74","2015-09-02",26.700001
"75","2015-09-03",27.15
"76","2015-09-04",26.809999
"77","2015-09-08",27.139999
"78","2015-09-09",26.01
"79","2015-09-10",25.77
"80","2015-09-11",26.360001
"81","2015-09-14",27.209999
"82","2015-09-15",28.110001
"83","2015-09-16",28.91
"84","2015-09-17",35.549999
"85","2015-09-18",35.66
"86","2015-09-21",34.830002
"87","2015-09-22",33.66
"88","2015-09-23",33.5
"89","2015-09-24",33.470001
"90","2015-09-25",33.91
"91","2015-09-28",33.049999
"92","2015-09-29",33.639999
"93","2015-09-30",35.200001
"94","2015-10-01",35.07
"95","2015-10-02",35.810001
"96","2015-10-05",36.759998
"97","2015-10-06",36.209999
"98","2015-10-07",37.330002
"99","2015-10-08",38.240002
"100","2015-10-09",37.02
"101","2015-10-12",34.310001
"102","2015-10-13",33.119999
"103","2015-10-14",33.639999
"104","2015-10-15",34.139999
"105","2015-10-16",34.330002
"106","2015-10-19",33.360001
"107","2015-10-20",31.5
"108","2015-10-21",31.950001
"109","2015-10-22",32.009998
"110","2015-10-23",31.66
"111","2015-10-26",31.07
"112","2015-10-27",31.040001
"113","2015-10-28",31.120001
"114","2015-10-29",31.59
"115","2015-10-30",32.220001
"116","2015-11-02",30.959999
"117","2015-11-03",31.440001
"118","2015-11-04",31.75
"119","2015-11-05",31.620001
"120","2015-11-06",31.540001
"121","2015-11-09",30.23
"122","2015-11-10",28.59
"123","2015-11-11",28.18
"124","2015-11-12",28.860001
"125","2015-11-13",28.33
"126","2015-11-16",27.35
"127","2015-11-17",26.389999
"128","2015-11-18",28
"129","2015-11-19",29.450001
"130","2015-11-20",28.23
"131","2015-11-23",28.870001
"132","2015-11-24",26.950001
"133","2015-11-25",26.440001
"134","2015-11-27",26.709999
"135","2015-11-30",26.34
"136","2015-12-01",26.280001
"137","2015-12-02",26.41
"138","2015-12-03",26.83
"139","2015-12-04",27.120001
"140","2015-12-07",26.879999
"141","2015-12-08",26.48
"142","2015-12-09",24.809999
"143","2015-12-10",24.959999
"144","2015-12-11",24.76
"145","2015-12-14",24.559999
"146","2015-12-15",25.360001
"147","2015-12-16",26.209999
"148","2015-12-17",26.530001
"149","2015-12-18",25.309999
"150","2015-12-21",24.450001
"151","2015-12-22",24.66
"152","2015-12-23",24.92
"153","2015-12-24",25.34
"154","2015-12-28",24.84
"155","2015-12-29",25.18
"156","2015-12-30",25.98
"157","2015-12-31",25.799999
"158","2016-01-04",25.719999
"159","2016-01-05",25.309999
"160","2016-01-06",25.299999
"161","2016-01-07",24.67
"162","2016-01-08",24.93
