"","date","CBZ"
"1","2007-01-03",6.89
"2","2007-01-04",6.89
"3","2007-01-05",6.8
"4","2007-01-08",6.87
"5","2007-01-09",6.8
"6","2007-01-10",6.73
"7","2007-01-11",6.81
"8","2007-01-12",7.06
"9","2007-01-16",6.91
"10","2007-01-17",6.83
"11","2007-01-18",6.77
"12","2007-01-19",6.88
"13","2007-01-22",6.9
"14","2007-01-23",6.92
"15","2007-01-24",6.89
"16","2007-01-25",6.75
"17","2007-01-26",6.79
"18","2007-01-29",6.65
"19","2007-01-30",6.71
"20","2007-01-31",6.7
"21","2007-02-01",6.8
"22","2007-02-02",6.75
"23","2007-02-05",6.63
"24","2007-02-06",6.94
"25","2007-02-07",6.84
"26","2007-02-08",6.91
"27","2007-02-09",6.76
"28","2007-02-12",6.8
"29","2007-02-13",6.99
"30","2007-02-14",7
"31","2007-02-15",6.98
"32","2007-02-16",7
"33","2007-02-20",7.13
"34","2007-02-21",7.08
"35","2007-02-22",7.07
"36","2007-02-23",7.03
"37","2007-02-26",7.02
"38","2007-02-27",6.85
"39","2007-02-28",6.82
"40","2007-03-01",6.88
"41","2007-03-02",6.74
"42","2007-03-05",6.73
"43","2007-03-06",6.79
"44","2007-03-07",6.9
"45","2007-03-08",6.9
"46","2007-03-09",6.93
"47","2007-03-12",6.96
"48","2007-03-13",6.91
"49","2007-03-14",6.88
"50","2007-03-15",7.02
"51","2007-03-16",7
"52","2007-03-19",7.03
"53","2007-03-20",7.05
"54","2007-03-21",7.22
"55","2007-03-22",7.32
"56","2007-03-23",7.23
"57","2007-03-26",7.1
"58","2007-03-27",7.06
"59","2007-03-28",7.07
"60","2007-03-29",7.05
"61","2007-03-30",7.1
"62","2007-04-02",7.12
"63","2007-04-03",7.21
"64","2007-04-04",7.18
"65","2007-04-05",7.08
"66","2007-04-09",7.06
"67","2007-04-10",7.06
"68","2007-04-11",7.03
"69","2007-04-12",7.1
"70","2007-04-13",7.1
"71","2007-04-16",7.14
"72","2007-04-17",7.08
"73","2007-04-18",7
"74","2007-04-19",7.09
"75","2007-04-20",7.07
"76","2007-04-23",7.12
"77","2007-04-24",7.11
"78","2007-04-25",7.08
"79","2007-04-26",7.11
"80","2007-04-27",7
"81","2007-04-30",6.96
"82","2007-05-01",7.04
"83","2007-05-02",7.15
"84","2007-05-03",7.29
"85","2007-05-04",7.37
"86","2007-05-07",7.57
"87","2007-05-08",7.54
"88","2007-05-09",7.66
"89","2007-05-10",7.35
"90","2007-05-11",7.4
"91","2007-05-14",7.36
"92","2007-05-15",7.33
