"","date","LECO"
"1","2007-01-03",30.844999
"2","2007-01-04",30.775
"3","2007-01-05",29.985001
"4","2007-01-08",29.965
"5","2007-01-09",30.110001
"6","2007-01-10",30.315001
"7","2007-01-11",30.754999
"8","2007-01-12",30.6
"9","2007-01-16",30.639999
"10","2007-01-17",30.684999
"11","2007-01-18",30.49
"12","2007-01-19",30.709999
"13","2007-01-22",30.305
"14","2007-01-23",30.735001
"15","2007-01-24",30.74
"16","2007-01-25",30.375
"17","2007-01-26",30.125
"18","2007-01-29",29.975
"19","2007-01-30",30.145
"20","2007-01-31",30.385
"21","2007-02-01",31.6
"22","2007-02-02",31.620001
"23","2007-02-05",31.450001
"24","2007-02-06",32.110001
"25","2007-02-07",32.205002
"26","2007-02-08",32.415001
"27","2007-02-09",32.075001
"28","2007-02-12",32.02
"29","2007-02-13",32.389999
"30","2007-02-14",32.48
"31","2007-02-15",32.66
"32","2007-02-16",32.595001
"33","2007-02-20",33.529999
"34","2007-02-21",33.619999
"35","2007-02-22",32.580002
"36","2007-02-23",32.810001
"37","2007-02-26",32.465
"38","2007-02-27",31.014999
"39","2007-02-28",31.200001
"40","2007-03-01",31.049999
"41","2007-03-02",30.545
"42","2007-03-05",30.055
"43","2007-03-06",30.040001
"44","2007-03-07",30.049999
"45","2007-03-08",30.254999
"46","2007-03-09",30.245001
"47","2007-03-12",30.415001
"48","2007-03-13",30.110001
"49","2007-03-14",30
"50","2007-03-15",30.15
"51","2007-03-16",29.584999
"52","2007-03-19",29.870001
"53","2007-03-20",30.23
"54","2007-03-21",30.65
"55","2007-03-22",30.77
"56","2007-03-23",30.695
"57","2007-03-26",30.610001
"58","2007-03-27",30.055
"59","2007-03-28",29.780001
"60","2007-03-29",29.940001
"61","2007-03-30",29.780001
"62","2007-04-02",29.705
"63","2007-04-03",29.799999
"64","2007-04-04",29.9
"65","2007-04-05",29.875
"66","2007-04-09",29.9
"67","2007-04-10",30.129999
"68","2007-04-11",29.645
"69","2007-04-12",29.93
"70","2007-04-13",30.129999
"71","2007-04-16",30.465
"72","2007-04-17",29.985001
"73","2007-04-18",29.879999
"74","2007-04-19",29.805
"75","2007-04-20",30.004999
"76","2007-04-23",30.059999
"77","2007-04-24",30.025
"78","2007-04-25",30.025
"79","2007-04-26",31.764999
"80","2007-04-27",32.310001
"81","2007-04-30",31.865
"82","2007-05-01",33.064999
