"","date","MDIA"
"1","2020-01-06",1.92
"2","2020-01-07",9.5
"3","2020-01-08",9.52
"4","2020-01-09",7.65
"5","2020-01-10",5.888
"6","2020-01-13",4.75
"7","2020-01-14",4.7
"8","2020-01-15",4.744
"9","2020-01-16",4.5
"10","2020-01-17",4.55
"11","2020-01-21",4.38
"12","2020-01-22",4.464
"13","2020-01-23",4.36
"14","2020-01-24",5.9
"15","2020-01-27",5.26
"16","2020-01-28",5.4
"17","2020-01-29",6.82
"18","2020-01-30",7
"19","2020-01-31",7.227
"20","2020-02-03",7.21
"21","2020-02-04",6.41
"22","2020-02-05",6.59
"23","2020-02-06",6.8
"24","2020-02-07",6.89
"25","2020-02-10",7
"26","2020-02-11",7.05
"27","2020-02-12",7
"28","2020-02-13",6.98
"29","2020-02-14",7
"30","2020-02-18",6.61
"31","2020-02-19",6.85
"32","2020-02-20",6.63
"33","2020-02-21",6.61
"34","2020-02-24",6.649
"35","2020-02-25",6.25
"36","2020-02-26",6.24
"37","2020-02-27",6.18
"38","2020-02-28",6.75
"39","2020-03-02",6.15
"40","2020-03-03",5.85
"41","2020-03-04",5.56
"42","2020-03-05",5.91
"43","2020-03-06",5.74
"44","2020-03-09",5.5
"45","2020-03-10",5.5
"46","2020-03-11",5.23
"47","2020-03-12",5.36
"48","2020-03-13",5.36
"49","2020-03-16",4.82
"50","2020-03-17",4.75
"51","2020-03-18",4
"52","2020-03-19",3.5
"53","2020-03-20",3.42
"54","2020-03-23",3.15
"55","2020-03-24",3.58
"56","2020-03-25",3.5
"57","2020-03-26",4
"58","2020-03-27",4
"59","2020-03-30",3.3
"60","2020-03-31",4.24
"61","2020-04-01",3.9
"62","2020-04-02",3.8
"63","2020-04-03",4
"64","2020-04-06",3.6
"65","2020-04-07",3.6
"66","2020-04-08",3.67
"67","2020-04-09",3.67
"68","2020-04-13",3.64
"69","2020-04-14",3.32
"70","2020-04-15",3.525
"71","2020-04-16",3.56
"72","2020-04-17",3.55
"73","2020-04-20",3.41
"74","2020-04-21",3.4
"75","2020-04-22",3.6
"76","2020-04-23",3.45
"77","2020-04-24",3.75
"78","2020-04-27",3.6
"79","2020-04-28",3.65
"80","2020-04-29",3.65
"81","2020-04-30",3.75
"82","2020-05-01",3.75
"83","2020-05-04",3.35
"84","2020-05-05",3.26
"85","2020-05-06",3.26
"86","2020-05-07",3.26
"87","2020-05-08",3.75
"88","2020-05-11",5.6
"89","2020-05-12",5.14
"90","2020-05-13",5.5
"91","2020-05-14",5.03
"92","2020-05-15",5
"93","2020-05-18",5.15
"94","2020-05-19",5.05
"95","2020-05-20",4.77
"96","2020-05-21",5.4
"97","2020-05-22",5.4
"98","2020-05-26",4.8
"99","2020-05-27",4.5
"100","2020-05-28",4
"101","2020-05-29",4.25
"102","2020-06-01",4.16
"103","2020-06-02",4.39
"104","2020-06-03",4.69
"105","2020-06-04",4.31
"106","2020-06-05",4.22
"107","2020-06-08",4.334
"108","2020-06-09",4
"109","2020-06-10",4.05
"110","2020-06-11",4
"111","2020-06-12",3.998
"112","2020-06-15",4.4
"113","2020-06-16",6.65
"114","2020-06-17",7.05
"115","2020-06-18",6.99
"116","2020-06-19",6.95
"117","2020-06-22",6.07
"118","2020-06-23",5.75
"119","2020-06-24",6.36
"120","2020-06-25",6.5
"121","2020-06-26",5.54
"122","2020-06-29",5.26
"123","2020-06-30",5.21
"124","2020-07-01",5.21
"125","2020-07-02",4.81
"126","2020-07-06",4.96
"127","2020-07-07",5.35
"128","2020-07-08",5.25
"129","2020-07-09",4.84
"130","2020-07-10",4.75
"131","2020-07-13",4.5
"132","2020-07-14",4.51
"133","2020-07-15",5.09
"134","2020-07-16",5.67
"135","2020-07-17",5.71
"136","2020-07-20",5.246
"137","2020-07-21",5.06
"138","2020-07-22",5.15
"139","2020-07-23",4.95
"140","2020-07-24",4.87
"141","2020-07-27",5.15
"142","2020-07-28",5.1
"143","2020-07-29",5.11
"144","2020-07-30",4.85
"145","2020-07-31",4.94
"146","2020-08-03",5.244
"147","2020-08-04",5.314
"148","2020-08-05",7
"149","2020-08-06",6.07
"150","2020-08-07",5.27
"151","2020-08-10",5.46
"152","2020-08-11",5.52
"153","2020-08-12",6.04
"154","2020-08-13",6.11
"155","2020-08-14",5.41
"156","2020-08-17",5.17
"157","2020-08-18",5.05
"158","2020-08-19",5.05
"159","2020-08-20",4.577
"160","2020-08-21",4.56
"161","2020-08-24",4.22
"162","2020-08-25",3.83
"163","2020-08-26",3.43
"164","2020-08-27",3.45
"165","2020-08-28",3.55
"166","2020-08-31",3.64
"167","2020-09-01",3.55
"168","2020-09-02",3.85
"169","2020-09-03",3.66
