"","date","PANL"
"1","2013-12-19",9.62
"2","2013-12-20",9.62
"3","2013-12-23",9.62
"4","2013-12-24",9.62
"5","2013-12-26",9.62
"6","2013-12-27",9.62
"7","2013-12-30",9.62
"8","2013-12-31",9.62
"9","2014-01-02",9.62
"10","2014-01-03",9.62
"11","2014-01-06",9.62
"12","2014-01-07",9.62
"13","2014-01-08",9.62
"14","2014-01-09",9.62
"15","2014-01-10",9.62
"16","2014-01-13",9.62
"17","2014-01-14",9.62
"18","2014-01-15",9.62
"19","2014-01-16",9.62
"20","2014-01-17",9.62
"21","2014-01-21",9.62
"22","2014-01-22",9.62
"23","2014-01-23",9.6
"24","2014-01-24",9.6
"25","2014-01-27",9.89
"26","2014-01-28",9.74
"27","2014-01-29",9.74
"28","2014-01-30",9.76
"29","2014-01-31",9.74
"30","2014-02-03",9.72
"31","2014-02-04",9.72
"32","2014-02-05",9.73
"33","2014-02-06",9.71
"34","2014-02-07",9.72
"35","2014-02-10",9.72
"36","2014-02-11",9.72
"37","2014-02-12",9.71
"38","2014-02-13",9.72
"39","2014-02-14",9.8
"40","2014-02-18",9.75
"41","2014-02-19",9.72
"42","2014-02-20",9.72
"43","2014-02-21",9.72
"44","2014-02-24",9.74
"45","2014-02-25",9.72
"46","2014-02-26",9.72
"47","2014-02-27",9.72
"48","2014-02-28",9.72
"49","2014-03-03",9.72
"50","2014-03-04",9.72
"51","2014-03-05",9.72
"52","2014-03-06",9.72
"53","2014-03-07",9.72
"54","2014-03-10",9.72
"55","2014-03-11",9.72
"56","2014-03-12",9.72
"57","2014-03-13",9.72
"58","2014-03-14",9.72
"59","2014-03-17",9.72
"60","2014-03-18",9.79
"61","2014-03-19",9.72
"62","2014-03-20",9.81
"63","2014-03-21",9.74
"64","2014-03-24",9.87
"65","2014-03-25",9.79
"66","2014-03-26",9.81
"67","2014-03-27",9.76
"68","2014-03-28",9.75
"69","2014-03-31",9.8
"70","2014-04-01",9.76
"71","2014-04-02",9.75
"72","2014-04-03",9.75
"73","2014-04-04",9.75
"74","2014-04-07",9.83
"75","2014-04-08",9.8
"76","2014-04-09",9.79
"77","2014-04-10",9.78
"78","2014-04-11",9.795
"79","2014-04-14",9.795
"80","2014-04-15",9.83
"81","2014-04-16",9.84
"82","2014-04-17",9.82
"83","2014-04-21",9.86
"84","2014-04-22",9.85
"85","2014-04-23",9.86
"86","2014-04-24",9.86
"87","2014-04-25",9.86
"88","2014-04-28",9.9
"89","2014-04-29",9.87
"90","2014-04-30",9.87
"91","2014-05-01",9.98
"92","2014-05-02",10.01
"93","2014-05-05",10.04
"94","2014-05-06",10.06
"95","2014-05-07",10.06
"96","2014-05-08",10.07
"97","2014-05-09",10.07
"98","2014-05-12",10.03
"99","2014-05-13",10.1
"100","2014-05-14",10.08
"101","2014-05-15",10.08
"102","2014-05-16",10.1
"103","2014-05-19",10.1
"104","2014-05-20",10.1
"105","2014-05-21",10.1
"106","2014-05-22",10.1
"107","2014-05-23",10.1
"108","2014-05-27",10.01
