"","date","NESR"
"1","2017-06-05",9.51
"2","2017-06-06",9.55
"3","2017-06-07",9.48
"4","2017-06-08",9.48
"5","2017-06-09",9.48
"6","2017-06-12",9.52
"7","2017-06-13",9.55
"8","2017-06-14",9.52
"9","2017-06-15",9.5
"10","2017-06-16",9.5
"11","2017-06-19",9.52
"12","2017-06-20",9.54
"13","2017-06-21",9.53
"14","2017-06-22",9.53
"15","2017-06-23",9.55
"16","2017-06-26",9.541
"17","2017-06-27",9.55
"18","2017-06-28",9.55
"19","2017-06-29",9.55
"20","2017-06-30",9.55
"21","2017-07-03",9.53
"22","2017-07-05",9.54
"23","2017-07-06",9.55
"24","2017-07-07",9.53
"25","2017-07-10",9.52
"26","2017-07-11",9.56
"27","2017-07-12",9.561
"28","2017-07-13",9.561
"29","2017-07-14",9.561
"30","2017-07-17",9.6
"31","2017-07-18",9.55
"32","2017-07-19",9.56
"33","2017-07-20",9.57
"34","2017-07-21",9.59
"35","2017-07-24",9.55
"36","2017-07-25",9.58
"37","2017-07-26",9.58
"38","2017-07-27",9.59
"39","2017-07-28",9.59
"40","2017-07-31",9.58
"41","2017-08-01",9.58
"42","2017-08-02",9.61
"43","2017-08-03",9.65
"44","2017-08-04",9.59
"45","2017-08-07",9.59
"46","2017-08-08",9.59
"47","2017-08-09",9.6
"48","2017-08-10",9.57
"49","2017-08-11",9.58
"50","2017-08-14",9.57
"51","2017-08-15",9.58
"52","2017-08-16",9.6
"53","2017-08-17",9.54
"54","2017-08-18",9.56
"55","2017-08-21",9.57
"56","2017-08-22",9.57
"57","2017-08-23",9.58
"58","2017-08-24",9.58
"59","2017-08-25",9.58
"60","2017-08-28",9.59
"61","2017-08-29",9.58
"62","2017-08-30",9.6
"63","2017-08-31",9.58
"64","2017-09-01",9.58
"65","2017-09-05",9.58
"66","2017-09-06",9.58
"67","2017-09-07",9.59
"68","2017-09-08",9.62
"69","2017-09-11",9.62
"70","2017-09-12",9.62
"71","2017-09-13",9.62
"72","2017-09-14",9.6
"73","2017-09-15",9.58
"74","2017-09-18",9.6
"75","2017-09-19",9.59
"76","2017-09-20",9.6
"77","2017-09-21",9.67
"78","2017-09-22",9.67
"79","2017-09-25",9.6
"80","2017-09-26",9.61
"81","2017-09-27",9.625
"82","2017-09-28",9.625
"83","2017-09-29",9.62
"84","2017-10-02",9.62
"85","2017-10-03",9.61
"86","2017-10-04",9.61
"87","2017-10-05",9.64
"88","2017-10-06",9.64
"89","2017-10-09",9.69
"90","2017-10-10",9.69
"91","2017-10-11",9.69
"92","2017-10-12",9.69
"93","2017-10-13",9.69
"94","2017-10-16",9.69
"95","2017-10-17",9.69
"96","2017-10-18",9.72
"97","2017-10-19",9.72
"98","2017-10-20",9.74
"99","2017-10-23",9.74
"100","2017-10-24",9.79
"101","2017-10-25",9.79
"102","2017-10-26",9.78
"103","2017-10-27",9.78
"104","2017-10-30",9.78
"105","2017-10-31",9.78
"106","2017-11-01",9.77
"107","2017-11-02",9.75
"108","2017-11-03",9.75
"109","2017-11-06",9.75
"110","2017-11-07",9.8
"111","2017-11-08",9.8
"112","2017-11-09",9.8
"113","2017-11-10",9.79
"114","2017-11-13",9.95
"115","2017-11-14",9.9
"116","2017-11-15",9.9
"117","2017-11-16",9.9
"118","2017-11-17",9.934
"119","2017-11-20",9.93
"120","2017-11-21",9.9
"121","2017-11-22",9.93
"122","2017-11-24",9.904
"123","2017-11-27",9.9
"124","2017-11-28",9.887
"125","2017-11-29",9.87
"126","2017-11-30",9.87
"127","2017-12-01",9.87
"128","2017-12-04",9.93
"129","2017-12-05",9.95
"130","2017-12-06",9.94
"131","2017-12-07",9.88
"132","2017-12-08",9.91
"133","2017-12-11",9.94
"134","2017-12-12",9.94
"135","2017-12-13",9.94
"136","2017-12-14",9.93
"137","2017-12-15",9.94
"138","2017-12-18",9.94
"139","2017-12-19",9.91
"140","2017-12-20",9.92
"141","2017-12-21",9.9
"142","2017-12-22",9.94
"143","2017-12-26",9.91
"144","2017-12-27",9.92
"145","2017-12-28",9.92
"146","2017-12-29",9.95
"147","2018-01-02",9.96
"148","2018-01-03",9.96
"149","2018-01-04",9.95
"150","2018-01-05",9.9
"151","2018-01-08",9.96
"152","2018-01-09",9.945
"153","2018-01-10",9.941
"154","2018-01-11",9.96
"155","2018-01-12",9.95
"156","2018-01-16",9.96
"157","2018-01-17",9.935
"158","2018-01-18",9.935
"159","2018-01-19",9.94
"160","2018-01-22",9.94
"161","2018-01-23",9.92
"162","2018-01-24",9.95
"163","2018-01-25",9.95
"164","2018-01-26",9.946
"165","2018-01-29",9.94
"166","2018-01-30",9.95
"167","2018-01-31",9.98
"168","2018-02-01",9.95
"169","2018-02-02",9.95
"170","2018-02-05",9.94
"171","2018-02-06",9.92
"172","2018-02-07",9.93
"173","2018-02-08",9.93
"174","2018-02-09",9.94
"175","2018-02-12",9.94
"176","2018-02-13",9.926
"177","2018-02-14",9.93
"178","2018-02-15",9.93
"179","2018-02-16",9.935
"180","2018-02-20",9.935
"181","2018-02-21",9.92
"182","2018-02-22",9.93
"183","2018-02-23",9.93
"184","2018-02-26",9.92
"185","2018-02-27",9.92
"186","2018-02-28",9.93
"187","2018-03-01",9.93
"188","2018-03-02",9.92
"189","2018-03-05",9.9
"190","2018-03-06",9.93
"191","2018-03-07",9.95
"192","2018-03-08",9.95
"193","2018-03-09",9.95
"194","2018-03-12",9.95
"195","2018-03-13",9.93
"196","2018-03-14",9.92
"197","2018-03-15",9.92
"198","2018-03-16",9.95
"199","2018-03-19",9.92
"200","2018-03-20",9.92
"201","2018-03-21",9.92
"202","2018-03-22",9.92
"203","2018-03-23",9.96
"204","2018-03-26",9.96
"205","2018-03-27",9.93
"206","2018-03-28",9.92
"207","2018-03-29",9.93
"208","2018-04-02",9.94
"209","2018-04-03",9.95
"210","2018-04-04",9.95
"211","2018-04-05",10.02
"212","2018-04-06",10.02
"213","2018-04-09",10.04
"214","2018-04-10",10.03
"215","2018-04-11",9.99
"216","2018-04-12",10.02
"217","2018-04-13",10.04
"218","2018-04-16",10.03
"219","2018-04-17",10.05
"220","2018-04-18",10.09
"221","2018-04-19",10.04
"222","2018-04-20",10.06
"223","2018-04-23",10.04
"224","2018-04-24",10.03
"225","2018-04-25",10.04
"226","2018-04-26",10.04
"227","2018-04-27",10.09
"228","2018-04-30",10.06
"229","2018-05-01",10.06
"230","2018-05-02",10.06
"231","2018-05-03",10.08
"232","2018-05-04",10.08
"233","2018-05-07",10.09
"234","2018-05-08",10.09
"235","2018-05-09",10.08
"236","2018-05-10",10.08
"237","2018-05-11",10.085
"238","2018-05-14",10.06
"239","2018-05-15",10.06
"240","2018-05-16",10.07
"241","2018-05-17",10.13
"242","2018-05-18",10.13
"243","2018-05-21",10.16
"244","2018-05-22",10.08
"245","2018-05-23",10.05
"246","2018-05-24",10.1
"247","2018-05-25",10.01
"248","2018-05-29",9.97
"249","2018-05-30",10.19
"250","2018-05-31",10.19
"251","2018-06-01",10.2
"252","2018-06-04",10.1
"253","2018-06-05",10.01
"254","2018-06-06",10.185
"255","2018-06-07",10.255
"256","2018-06-08",10.23
"257","2018-06-11",10.49
"258","2018-06-12",10.39
"259","2018-06-13",10.59
"260","2018-06-14",10.35
"261","2018-06-15",10.35
"262","2018-06-18",10.31
"263","2018-06-19",10.59
"264","2018-06-20",10.35
"265","2018-06-21",10.39
"266","2018-06-22",10.59
