"","date","ARYA"
"1","2020-08-07",10.44
"2","2020-08-10",10.4
"3","2020-08-11",10.4
"4","2020-08-12",10.4
"5","2020-08-13",10.4
"6","2020-08-14",10.49
"7","2020-08-17",10.55
"8","2020-08-18",10.43
"9","2020-08-19",10.43
"10","2020-08-20",10.49
"11","2020-08-21",10.4
"12","2020-08-24",10.5
"13","2020-08-25",10.4
"14","2020-08-26",10.6
"15","2020-08-27",10.75
"16","2020-08-28",10.75
"17","2020-08-31",10.7
"18","2020-09-01",10.7
"19","2020-09-02",10.73
"20","2020-09-03",10.79
"21","2020-09-04",10.695
"22","2020-09-08",10.79
"23","2020-09-09",11.24
"24","2020-09-10",10.825
"25","2020-09-11",10.9
"26","2020-09-14",10.9
"27","2020-09-15",10.9
"28","2020-09-16",10.81
"29","2020-09-17",10.75
"30","2020-09-18",10.82
"31","2020-09-21",10.7
"32","2020-09-22",10.88
"33","2020-09-23",10.7
"34","2020-09-24",10.7
"35","2020-09-25",10.71
"36","2020-09-28",10.755
"37","2020-09-29",10.75
"38","2020-09-30",10.815
"39","2020-10-01",10.75
"40","2020-10-02",10.71
"41","2020-10-05",10.55
"42","2020-10-06",10.758
"43","2020-10-07",10.69
"44","2020-10-08",10.65
"45","2020-10-09",10.571
"46","2020-10-12",10.67
"47","2020-10-13",10.67
"48","2020-10-14",10.45
"49","2020-10-15",10.4
"50","2020-10-16",10.4
"51","2020-10-19",10.409
"52","2020-10-20",10.389
"53","2020-10-21",10.3
"54","2020-10-22",10.285
"55","2020-10-23",10.2
"56","2020-10-26",10.14
"57","2020-10-27",10.47
"58","2020-10-28",10.37
"59","2020-10-29",10.3
"60","2020-10-30",10.24
"61","2020-11-02",10.26
"62","2020-11-03",10.24
"63","2020-11-04",10.3
"64","2020-11-05",10.5
"65","2020-11-06",10.5
"66","2020-11-09",10.3
"67","2020-11-10",10.39
"68","2020-11-11",10.335
"69","2020-11-12",10.4
"70","2020-11-13",10.31
"71","2020-11-16",10.42
"72","2020-11-17",10.34
"73","2020-11-18",10.35
"74","2020-11-19",10.4
"75","2020-11-20",10.38
"76","2020-11-23",10.31
"77","2020-11-24",10.31
"78","2020-11-25",10.4
"79","2020-11-27",10.36
