"","date","AIG"
"1","2007-01-03",1443
"2","2007-01-04",1430.199951
"3","2007-01-05",1423.599976
"4","2007-01-08",1430.599976
"5","2007-01-09",1425.800049
"6","2007-01-10",1427.599976
"7","2007-01-11",1425.800049
"8","2007-01-12",1421.400024
"9","2007-01-16",1423.400024
"10","2007-01-17",1428.199951
"11","2007-01-18",1418.800049
"12","2007-01-19",1427.400024
"13","2007-01-22",1409.199951
"14","2007-01-23",1396
"15","2007-01-24",1397.599976
"16","2007-01-25",1377.800049
"17","2007-01-26",1371.800049
"18","2007-01-29",1367
"19","2007-01-30",1364
"20","2007-01-31",1369
"21","2007-02-01",1378.199951
"22","2007-02-02",1381.400024
"23","2007-02-05",1386
"24","2007-02-06",1390
"25","2007-02-07",1392.800049
"26","2007-02-08",1391.800049
"27","2007-02-09",1378.800049
"28","2007-02-12",1371.400024
"29","2007-02-13",1382.400024
"30","2007-02-14",1385.199951
"31","2007-02-15",1382.400024
"32","2007-02-16",1391.199951
"33","2007-02-20",1398.199951
"34","2007-02-21",1393.800049
"35","2007-02-22",1386.800049
"36","2007-02-23",1375.800049
"37","2007-02-26",1373.599976
"38","2007-02-27",1335.400024
"39","2007-02-28",1342.199951
"40","2007-03-01",1348.199951
"41","2007-03-02",1390.800049
"42","2007-03-05",1385.599976
"43","2007-03-06",1394.800049
"44","2007-03-07",1386
"45","2007-03-08",1387.199951
"46","2007-03-09",1381.400024
"47","2007-03-12",1375.599976
"48","2007-03-13",1347.199951
"49","2007-03-14",1340
"50","2007-03-15",1341
"51","2007-03-16",1337.400024
"52","2007-03-19",1357.199951
"53","2007-03-20",1367.599976
"54","2007-03-21",1373.800049
"55","2007-03-22",1364.199951
"56","2007-03-23",1362.400024
"57","2007-03-26",1359
"58","2007-03-27",1351.800049
"59","2007-03-28",1343
"60","2007-03-29",1344
"61","2007-03-30",1344.400024
"62","2007-04-02",1343
"63","2007-04-03",1352.800049
"64","2007-04-04",1346.400024
"65","2007-04-05",1344.599976
"66","2007-04-09",1344.599976
"67","2007-04-10",1338
"68","2007-04-11",1329.800049
"69","2007-04-12",1332.800049
"70","2007-04-13",1338.199951
"71","2007-04-16",1352.199951
