"","date","CBAT"
"1","2007-01-03",32.450001
"2","2007-01-04",32.049999
"3","2007-01-05",31.25
"4","2007-01-08",30.5
"5","2007-01-09",30.15
"6","2007-01-10",30.5
"7","2007-01-11",30.9
"8","2007-01-12",30.799999
"9","2007-01-16",29.85
"10","2007-01-17",29.9
"11","2007-01-18",29.299999
"12","2007-01-19",28.049999
"13","2007-01-22",28.200001
"14","2007-01-23",29.200001
"15","2007-01-24",30.4
"16","2007-01-25",28.700001
"17","2007-01-26",29.299999
"18","2007-01-29",28.9
"19","2007-01-30",28.35
"20","2007-01-31",28.5
"21","2007-02-01",28.35
"22","2007-02-02",28.65
"23","2007-02-05",27.85
"24","2007-02-06",27.5
"25","2007-02-07",26.450001
"26","2007-02-08",26.549999
"27","2007-02-09",27.5
"28","2007-02-12",20.549999
"29","2007-02-13",20.950001
"30","2007-02-14",20.299999
"31","2007-02-15",19.549999
"32","2007-02-16",19.700001
"33","2007-02-20",21
"34","2007-02-21",20.9
"35","2007-02-22",20.85
"36","2007-02-23",20.85
"37","2007-02-26",20.75
"38","2007-02-27",19.549999
"39","2007-02-28",19.4
"40","2007-03-01",18.9
"41","2007-03-02",19.15
"42","2007-03-05",18.85
"43","2007-03-06",19.549999
"44","2007-03-07",20.15
"45","2007-03-08",20.75
"46","2007-03-09",20.15
"47","2007-03-12",19.75
"48","2007-03-13",19.1
"49","2007-03-14",19.200001
"50","2007-03-15",19.75
"51","2007-03-16",19.1
"52","2007-03-19",19.6
"53","2007-03-20",19.25
"54","2007-03-21",19.5
"55","2007-03-22",19.549999
"56","2007-03-23",19.5
"57","2007-03-26",19.4
"58","2007-03-27",18.9
"59","2007-03-28",18.200001
"60","2007-03-29",17.049999
"61","2007-03-30",16.25
"62","2007-04-02",15.6
"63","2007-04-03",15.25
"64","2007-04-04",14.7
"65","2007-04-05",16
"66","2007-04-09",15.95
"67","2007-04-10",16.450001
"68","2007-04-11",15.45
"69","2007-04-12",15.6
"70","2007-04-13",15.8
"71","2007-04-16",16.4
"72","2007-04-17",18
"73","2007-04-18",19.5
"74","2007-04-19",18.65
"75","2007-04-20",19.299999
"76","2007-04-23",18.65
"77","2007-04-24",18.549999
"78","2007-04-25",19.200001
"79","2007-04-26",19.049999
"80","2007-04-27",19
"81","2007-04-30",17.9
"82","2007-05-01",18.299999
"83","2007-05-02",15.7
"84","2007-05-03",15.6
"85","2007-05-04",16.6
"86","2007-05-07",17.299999
"87","2007-05-08",16.4
"88","2007-05-09",16.5
"89","2007-05-10",16.1
"90","2007-05-11",16.450001
"91","2007-05-14",16.5
"92","2007-05-15",16.65
"93","2007-05-16",16.450001
"94","2007-05-17",16
"95","2007-05-18",16
"96","2007-05-21",16
"97","2007-05-22",16.1
"98","2007-05-23",16.25
"99","2007-05-24",15.95
"100","2007-05-25",16
"101","2007-05-29",15.95
"102","2007-05-30",16.299999
"103","2007-05-31",16.950001
"104","2007-06-01",17.25
"105","2007-06-04",17.200001
"106","2007-06-05",16.700001
"107","2007-06-06",16.299999
"108","2007-06-07",15.85
"109","2007-06-08",15.5
"110","2007-06-11",15.25
"111","2007-06-12",15.45
"112","2007-06-13",15.75
"113","2007-06-14",15.85
"114","2007-06-15",15.7
"115","2007-06-18",15.75
"116","2007-06-19",16.200001
"117","2007-06-20",16.1
"118","2007-06-21",16.700001
"119","2007-06-22",16.950001
"120","2007-06-25",16.75
"121","2007-06-26",17.1
"122","2007-06-27",19.450001
"123","2007-06-28",22.1
"124","2007-06-29",19.65
"125","2007-07-02",20
"126","2007-07-03",21.5
"127","2007-07-05",21.15
"128","2007-07-06",22
